,State_County_Tract_FIPS_Code
47149040901,19
47189030901,17
47187050904,15
47187051201,13
47037015401,13
47149040306,11
47037014400,10
47125101903,9
47037016400,8
47141000600,8
47147080103,7
47119010802,6
47165021205,6
47157010820,6
47113001300,6
47155080802,6
47037010802,6
47037019004,6
47157009902,5
47157020541,5
47021070201,5
47157002800,5
47157022500,5
47157020622,4
47141000200,4
47189030307,4
47037015900,4
47187050304,4
47157005000,4
47165021009,4
47189030500,4
47031970400,4
47037019500,4
47093004500,4
47037010303,4
47047060402,4
47017962100,4
47133950301,4
47011010200,4
47101970200,3
47037010302,3
47039955002,3
47149040701,3
47093005706,3
47037012600,3
47079969400,3
47037014800,3
47043060502,3
47105060301,3
47179062000,3
47031970802,3
47187051202,3
47009010700,3
47147080301,3
47065011201,3
47123925100,3
47093005808,3
47113001604,3
47157000300,3
47179060400,3
47099960402,3
47035970400,3
47037011900,3
47037018401,3
47149040902,3
47149040903,3
47125100602,3
47065010303,3
47179060800,2
47145030202,2
47131965700,2
47037015629,2
47049965100,2
47093006104,2
47163043401,2
47149040200,2
47157021333,2
47181950200,2
47043060601,2
47125101802,2
47125101804,2
47119010700,2
47037016500,2
47037014200,2
47187050102,2
47051960500,2
47157021311,2
47163041400,2
47099960501,2
47065011443,2
47037010402,2
47189030401,2
47155080202,2
47031970900,2
47037015402,2
47003950402,2
47125100601,2
47115050302,2
47007953200,2
47059090100,2
47157022111,2
47161110700,2
47189030309,2
47013950500,2
47165021008,2
47149040905,2
47045964200,2
47069950400,2
47157021135,2
47037015502,2
47163040200,2
47157021137,2
47081950302,2
47065000400,2
47037010401,2
47117955400,2
47065010307,2
47187050503,2
47035970502,2
47079969500,2
47149041600,2
47011011300,2
47149042200,2
47065012400,2
47165020902,2
47093003500,2
47001020202,2
47155080300,2
47103975300,2
47187050205,2
47149040307,2
47001021201,2
47093002600,2
47005963300,2
47043060501,2
47037016900,2
47189030800,2
47157003700,2
47059090400,2
47103975400,2
47167040303,2
47157021342,2
47125101304,2
47163042801,2
47065002900,2
47043060602,2
47011010800,1
47063100300,1
47065011446,1
47037018000,1
47057500402,1
47037011200,1
47051960202,1
47065011413,1
47065011402,1
47093006208,1
47149041302,1
47093004404,1
47151975300,1
47157003600,1
47029920600,1
47105060600,1
47113000300,1
47141000500,1
47157005600,1
47145030500,1
47067960600,1
47179061100,1
47113000200,1
47187050905,1
47165020102,1
47065010432,1
47065010433,1
47189030600,1
47037015628,1
47009011001,1
47157001200,1
47037018301,1
47157009600,1
47163040800,1
47055920200,1
47157011400,1
47183968202,1
47131965500,1
47125100500,1
47157021746,1
47179061300,1
47053967000,1
47157009500,1
47093004100,1
47157020632,1
47157007000,1
47165021204,1
47157020651,1
47037019114,1
47063100400,1
47187050800,1
47167040601,1
47001980100,1
47157021732,1
47141000100,1
47075930302,1
47167040700,1
47073050502,1
47009010500,1
47187050406,1
47009010600,1
47107970200,1
47065003400,1
47037011100,1
47183968400,1
47165021104,1
47065011321,1
47117955000,1
47157008500,1
47035970501,1
47037017401,1
47069950300,1
47093004200,1
47091956300,1
47037018201,1
47065010903,1
47147080401,1
47037015612,1
47157020210,1
47121960200,1
47069950500,1
47157003800,1
47157007900,1
47113001501,1
47037019112,1
47017962201,1
47045964300,1
47009011200,1
47093005803,1
47167041000,1
47143975401,1
47157011300,1
47037018700,1
47165021005,1
47119010500,1
47015960200,1
47157021312,1
47113001606,1
47113001605,1
47105060400,1
47093003902,1
47125101307,1
47149042300,1
47149040308,1
47157022322,1
47171080200,1
47157003000,1
47149040304,1
47073050301,1
47151975100,1
47155080801,1
47157010110,1
47187050208,1
47093005807,1
47113000400,1
47157021420,1
47119010600,1
47163042600,1
47009010100,1
47037016300,1
47093004800,1
47157002600,1
47065011002,1
47037015404,1
47167040302,1
47107970402,1
47157009800,1
47125100900,1
47157010620,1
47037012801,1
47187050307,1
47165020501,1
47063100200,1
47093005708,1
47093005704,1
47065001200,1
47125102001,1
47157008110,1
47163043301,1
47125101305,1
47149041403,1
47037015802,1
47139950400,1
47037010701,1
47125102004,1
47157021341,1
47037018904,1
47189030304,1
47001021202,1
47153060101,1
47189030700,1
47119010201,1
47009011101,1
47019070300,1
