id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US47001021302,,"Census Tract 213.02, Anderson County, Tennessee",160,0,17,28,0,18,22,0,32,42,42,15,528,92,0,0,15,14,0,57,0,96,190,20,44,608,18,0,0,103,10,142,35,0,44,106,57,93,440.92,376.08,424,271,1512,,
1400000US47001980100,,"Census Tract 9801, Anderson County, Tennessee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1400000US47003950100,,"Census Tract 9501, Bedford County, Tennessee",0,0,3,2,2,24,9,0,78,21,23,16,337,0,0,1,99,0,21,18,0,70,118,3,7,341,0,4,1,0,0,23,0,0,54,47,101,111,110.66,197.34,287,261,856,,
1400000US47003950200,,"Census Tract 9502, Bedford County, Tennessee",193,0,17,17,81,91,52,0,131,64,0,0,581,115,0,0,36,17,175,12,0,106,55,0,65,653,21,0,21,74,0,105,43,0,58,50,41,240,526.34,691.16,316.5,346,1880,,
1400000US47003950300,,"Census Tract 9503, Bedford County, Tennessee",34,0,30,32,28,0,26,48,39,0,37,33,355,21,0,39,50,0,25,28,11,116,27,25,13,283,0,0,60,60,0,11,0,0,82,20,0,50,335.24,286.26,165.5,158,945,,
1400000US47003950401,,"Census Tract 9504.01, Bedford County, Tennessee",30,6,49,13,53,34,0,49,48,70,0,18,403,38,6,41,28,53,65,0,0,74,98,0,0,809,36,74,57,81,100,94,0,28,84,100,10,145,526.98,511.02,371,173,1582,,
1400000US47003950402,,"Census Tract 9504.02, Bedford County, Tennessee",92,0,191,35,53,37,0,0,21,58,0,14,639,235,10,45,24,114,62,0,0,0,125,0,24,516,11,0,151,0,67,112,0,0,29,100,46,0,871.22,392.78,308,84,1656,,
1400000US47003950500,,"Census Tract 9505, Bedford County, Tennessee",47,0,144,51,263,103,0,43,145,8,58,0,724,174,0,22,17,125,33,9,0,249,24,58,13,654,22,14,0,116,207,23,9,15,170,31,0,47,803.35,915.65,345,176,2240,,
1400000US47003950600,,"Census Tract 9506, Bedford County, Tennessee",109,60,96,106,38,73,0,0,221,26,0,19,419,14,44,0,0,42,114,0,0,89,67,0,49,419,13,84,0,0,21,46,0,0,141,66,36,12,559.33,526.17,384.5,116,1586,,
1400000US47003950700,,"Census Tract 9507, Bedford County, Tennessee",47,0,15,39,4,5,2,0,20,21,0,21,289,148,2,6,38,0,16,21,0,7,11,14,26,235,47,7,20,4,0,10,24,0,26,40,0,57,374.32,107.18,98.5,118,698,,
