id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US05005950200,,"Census Tract 9502, Baxter County, Arkansas",47,0,41,0,0,0,0,0,0,80,92,52,233,25,0,0,0,0,0,0,0,14,17,117,60,148,3,0,0,0,0,0,0,0,30,17,0,98,116,7.04,150.96,419,693,,
1400000US05005950300,,"Census Tract 9503, Baxter County, Arkansas",55,0,6,0,7,30,0,0,121,44,0,0,370,12,0,0,21,9,0,0,5,189,92,0,42,227,61,0,12,0,27,0,0,11,22,8,18,68,210,99.12,422.88,128,860,,
1400000US05005950400,,"Census Tract 9504, Baxter County, Arkansas",0,0,0,57,27,0,0,9,0,0,16,56,217,0,10,50,0,35,0,0,11,22,47,28,14,214,1,7,27,0,0,0,0,0,51,48,47,33,214,31.68,156.32,194,596,,
1400000US05005950500,,"Census Tract 9505, Baxter County, Arkansas",22,13,7,48,16,2,0,0,19,14,14,73,274,5,0,26,11,0,10,0,16,73,21,65,47,405,3,4,47,102,2,8,0,22,73,29,68,47,306,84.4,202.6,314,907,,
1400000US05005950600,,"Census Tract 9506, Baxter County, Arkansas",0,7,2,52,0,0,0,0,0,10,0,0,208,0,0,3,0,0,89,0,44,53,0,0,19,182,4,0,0,4,14,0,0,29,71,14,6,40,86,181.84,128.16,65,461,,
1400000US05005950700,,"Census Tract 9507, Baxter County, Arkansas",7,81,0,0,0,43,0,0,9,18,0,19,171,0,55,0,0,0,64,0,0,15,0,15,22,107,52,25,0,0,0,19,0,0,0,0,0,11,220,129.84,38.16,67,455,,
1400000US05005950800,,"Census Tract 9508, Baxter County, Arkansas",11,42,11,0,53,3,6,3,5,29,0,63,126,4,22,0,19,37,0,2,6,14,20,2,0,406,7,148,0,13,31,0,0,3,47,128,23,6,398,33.56,232.44,94,758,,
1400000US05005950900,,"Census Tract 9509, Baxter County, Arkansas",32,39,117,34,18,0,6,29,33,5,69,7,342,17,25,18,54,14,54,23,11,57,54,5,10,535,27,77,24,54,4,11,20,7,158,76,62,15,554,200.68,343.32,168,1266,,
1400000US05007020101,,"Census Tract 201.01, Benton County, Arkansas",0,0,46,15,32,0,36,16,67,129,2,61,366,0,0,46,15,31,4,0,32,111,25,46,56,455,0,5,17,17,11,26,0,62,37,146,36,98,235,210.4,480.6,299,1225,,
1400000US05007020102,,"Census Tract 201.02, Benton County, Arkansas",4,5,0,0,0,15,0,38,163,145,1,118,937,0,57,0,2,5,131,132,18,112,111,24,345,1049,138,54,0,8,20,196,81,41,79,63,59,310,293,708.64,616.36,857,2475,,
