State_FIPS_Code,State,County,State_County_Tract_FIPS_Code,Primary_RUCA_Code,Secondary_RUCA_Code,Tract_Population,Land_Area,Population_Density
8001,CO,Adams County,8001009321,1,1.0,3782,0.50542859658037,7482.7582483
8001,CO,Adams County,8001009322,1,1.0,4246,0.498045164688022,8525.3312371
8001,CO,Adams County,8001009323,1,1.0,3728,0.814719604878478,4575.8074038
8001,CO,Adams County,8001009325,1,1.0,5063,1.47431725552396,3434.1319557
8001,CO,Adams County,8001009326,1,1.0,2554,0.4801462400598,5319.2127459
8001,CO,Adams County,8001009327,1,1.0,4124,0.976571706123735,4222.9361901
8001,CO,Adams County,8001009401,1,1.0,4903,1.33481197596282,3673.1765135
8001,CO,Adams County,8001009406,1,1.0,4259,0.66799575905371,6375.7889811
8001,CO,Adams County,8001009407,1,1.0,5227,0.731565551655066,7144.9509728
8001,CO,Adams County,8001009408,1,1.0,4260,1.46961221441953,2898.7238662
8001,CO,Adams County,8001009409,1,1.0,5248,1.48173080338596,3541.8039417
8001,CO,Adams County,8001009410,1,1.0,3316,1.05444272328675,3144.7891163
8001,CO,Adams County,8001009411,1,1.0,2959,0.495076425064518,5976.8549868
8001,CO,Adams County,8001009501,1,1.0,3156,0.429111640671694,7354.7294011
8001,CO,Adams County,8001009502,1,1.0,3633,1.62055113768867,2241.8299031
8001,CO,Adams County,8001009553,1,1.0,2959,2.89967019152212,1020.4608816
8001,CO,Adams County,8001009603,1,1.0,5921,0.838993462517973,7057.2659556
8001,CO,Adams County,8001009604,1,1.0,4569,0.861582756367983,5303.0309233
8001,CO,Adams County,8001009606,1,1.0,2794,0.718939624430692,3886.2790491
8001,CO,Adams County,8001009607,1,1.0,4931,0.881283233744712,5595.2499846
8001,CO,Adams County,8001009608,1,1.0,2849,0.517320929672261,5507.2196708
8001,CO,Adams County,8001009751,1,1.0,3626,1.1444323294162,3168.3830549
8001,CO,Adams County,8001009752,1,1.0,3061,0.782903241250539,3909.8062682
8001,CO,Adams County,8001015000,1,1.0,2495,5.63730642767457,442.58725901
8001,CO,Adams County,8001060000,1,1.0,4747,7.96480948946482,595.99667842
8001,CO,Adams County,8001060100,1,1.0,6170,2.50777107847604,2460.3521641
8001,CO,Adams County,8001060200,1,1.0,3681,1.88611453026037,1951.6312191
8001,CO,Adams County,8001061200,1,1.0,1294,4.09833288802882,315.73813923
8001,CO,Adams County,8001988700,10,10.0,0,26.1244739357866,0.0
8003,CO,Alamosa County,8003960000,8,8.0,1775,537.326469080166,3.3033920757
8003,CO,Alamosa County,8003960100,8,8.0,2532,162.307181732116,15.600049073
8003,CO,Alamosa County,8003960200,7,7.0,6342,8.87162604614384,714.86331446
8003,CO,Alamosa County,8003960300,7,7.0,4796,14.1378002523564,339.23240634
8005,CO,Arapahoe County,8005004951,1,1.0,1883,0.0600902398003388,31336.203787
8005,CO,Arapahoe County,8005004952,1,1.0,2301,0.490664435510898,4689.5593678
8005,CO,Arapahoe County,8005005551,1,1.0,3224,1.20920135537308,2666.2226152
8005,CO,Arapahoe County,8005005552,1,1.0,2414,0.794253486888742,3039.3319511
8005,CO,Arapahoe County,8005005553,1,1.0,3594,0.933611661521212,3849.5663113
8005,CO,Arapahoe County,8005005611,1,1.0,4747,1.54962532644939,3063.3211261
8005,CO,Arapahoe County,8005005612,1,1.0,3616,1.49641388299869,2416.4437667
8005,CO,Arapahoe County,8005005614,1,1.0,3146,0.898817677919743,3500.1536766
8005,CO,Arapahoe County,8005005619,1,1.0,4574,1.47936940248372,3091.8579175
8005,CO,Arapahoe County,8005005620,1,1.0,2539,0.380716049649651,6669.0122529
8005,CO,Arapahoe County,8005005621,1,1.0,2899,1.00254248282231,2891.6480345
8005,CO,Arapahoe County,8005005622,1,1.0,2326,2.31087904654385,1006.5433773
8005,CO,Arapahoe County,8005005623,1,1.0,3547,1.55568713059674,2280.0214325
8005,CO,Arapahoe County,8005005624,1,1.0,2106,0.771714386321481,2728.9889075
8005,CO,Arapahoe County,8005005625,1,1.0,2899,0.724264745628165,4002.6799834
8005,CO,Arapahoe County,8005005626,1,1.0,3210,0.777489316552818,4128.6740945
8005,CO,Arapahoe County,8005005627,1,1.0,4271,1.00237800329577,4260.8676427
8005,CO,Arapahoe County,8005005628,1,1.0,5609,0.991611930248326,5656.4466692
8005,CO,Arapahoe County,8005005629,1,1.0,2215,0.992409617341856,2231.9412884
8005,CO,Arapahoe County,8005005630,1,1.0,5322,0.996523922118558,5340.5642171
8005,CO,Arapahoe County,8005005631,1,1.0,3028,0.646105696242608,4686.5397064
8005,CO,Arapahoe County,8005005632,1,1.0,3189,0.853047195585462,3738.3629142
8005,CO,Arapahoe County,8005005633,1,1.0,3002,0.754688438710913,3977.8004353
8005,CO,Arapahoe County,8005005634,1,1.0,2959,1.5617010580744,1894.7288181
8005,CO,Arapahoe County,8005005635,1,1.0,4789,1.04138436162639,4598.686303
8005,CO,Arapahoe County,8005005636,1,1.0,1825,1.97380065081383,924.61211787
8005,CO,Arapahoe County,8005005700,1,1.0,3593,0.882492505756783,4071.4226767
8005,CO,Arapahoe County,8005005800,1,1.0,2391,0.468346571489906,5105.1937722
8005,CO,Arapahoe County,8005005951,1,1.0,4032,0.554954308668612,7265.4630066
8005,CO,Arapahoe County,8005005952,1,1.0,3091,0.387355076548617,7979.7585914
8005,CO,Arapahoe County,8005006000,1,1.0,2693,0.990867911357118,2717.8193674
8005,CO,Arapahoe County,8005006100,1,1.0,2672,0.4382927642908,6096.3817286
8005,CO,Arapahoe County,8005006200,1,1.0,2864,0.960658891083665,2981.2871422
8005,CO,Arapahoe County,8005006300,1,1.0,2621,0.501926263751029,5221.8825538
8005,CO,Arapahoe County,8005006400,1,1.0,2975,0.900892591008144,3302.2804602
8005,CO,Arapahoe County,8005006501,1,1.0,1678,0.649253201173133,2584.5078576
8005,CO,Arapahoe County,8005006502,1,1.0,3171,0.74644438507051,4248.1396651
8005,CO,Arapahoe County,8005006601,1,1.0,5610,0.749130111799746,7488.6857592
8005,CO,Arapahoe County,8005006603,1,1.0,3210,0.715377059662052,4487.1441663
8005,CO,Arapahoe County,8005006604,1,1.0,3761,0.729531565397214,5155.3629457
8005,CO,Arapahoe County,8005006704,1,1.0,4239,4.25560465917217,996.09816689
8005,CO,Arapahoe County,8005006705,1,1.0,1748,1.95132757371849,895.8003892
8005,CO,Arapahoe County,8005006706,1,1.0,4720,0.872928754882262,5407.0850268
8005,CO,Arapahoe County,8005006707,1,1.0,4530,1.24673820882568,3633.4813259
8005,CO,Arapahoe County,8005006708,1,1.0,4979,0.997229330792266,4992.83349
8005,CO,Arapahoe County,8005006709,1,1.0,4882,1.62166658687222,3010.4831903
8005,CO,Arapahoe County,8005006711,1,1.0,3869,1.00117915604242,3864.4432184
8005,CO,Arapahoe County,8005006712,1,1.0,1219,1.96214268174215,621.25961142
8005,CO,Arapahoe County,8005006713,1,1.0,1209,0.201601706262732,5996.9730535
8005,CO,Arapahoe County,8005006808,1,1.0,5475,1.49524206289759,3661.6144876
8005,CO,Arapahoe County,8005006815,1,1.0,4057,1.22846862610946,3302.4856425
8005,CO,Arapahoe County,8005006854,1,1.0,2383,3.27390590226673,727.87675368
8005,CO,Arapahoe County,8005006855,1,1.0,5097,3.01636996001526,1689.7794593
8005,CO,Arapahoe County,8005006856,1,1.0,7648,7.36164453271598,1038.8983013
8005,CO,Arapahoe County,8005006857,1,1.0,2158,0.772168828581445,2794.7256094
8005,CO,Arapahoe County,8005006858,1,1.0,4143,1.08634441549536,3813.7076427
8005,CO,Arapahoe County,8005007101,2,2.0,5107,462.418208887454,11.044115266
8005,CO,Arapahoe County,8005007103,2,2.0,1585,63.8439290066209,24.826166319
8005,CO,Arapahoe County,8005007104,1,1.0,4958,21.4475603747971,231.16848319
8005,CO,Arapahoe County,8005007105,1,1.0,3103,33.7225319190668,92.015629415
8005,CO,Arapahoe County,8005007106,1,1.0,4294,64.4223228061288,66.653914559
8005,CO,Arapahoe County,8005007107,1,1.0,4430,5.45316657837797,812.37202941
8005,CO,Arapahoe County,8005007201,1,1.0,3589,0.514790802119547,6971.7640355
8005,CO,Arapahoe County,8005007202,1,1.0,3915,0.642578266771892,6092.6430327
8005,CO,Arapahoe County,8005007301,1,1.0,2548,0.331644393719199,7682.9280044
8005,CO,Arapahoe County,8005007302,1,1.0,4927,0.503885732289107,9778.0105375
8005,CO,Arapahoe County,8005007400,1,1.0,4992,0.746938981956673,6683.2768413
8005,CO,Arapahoe County,8005007500,1,1.0,2458,0.330749794979745,7431.5994668
8005,CO,Arapahoe County,8005007600,1,1.0,3256,0.512309709543056,6355.5305304
8005,CO,Arapahoe County,8005007702,1,1.0,4168,1.0733447413656,3883.1885408
8005,CO,Arapahoe County,8005007703,1,1.0,4075,0.711637273995092,5726.2318163
8005,CO,Arapahoe County,8005007704,1,1.0,4797,0.324458646140445,14784.626815
8005,CO,Arapahoe County,8005015100,1,1.0,2521,0.573808063975586,4393.4551608
8005,CO,Arapahoe County,8005080000,1,1.0,3437,0.514099293124138,6685.4789453
8005,CO,Arapahoe County,8005080100,1,1.0,4277,0.554637318782944,7711.3455138
8005,CO,Arapahoe County,8005080200,1,1.0,5086,1.00268572672924,5072.3769816
8005,CO,Arapahoe County,8005080300,1,1.0,5701,0.97551224175556,5844.1091316
8005,CO,Arapahoe County,8005080400,1,1.0,4500,0.933735214217209,4819.3534221
8005,CO,Arapahoe County,8005080500,1,1.0,3059,0.488245505384581,6265.2906504
8005,CO,Arapahoe County,8005080600,1,1.0,3730,0.484478692565371,7698.9969987
8005,CO,Arapahoe County,8005080700,1,1.0,5545,0.976092167222396,5680.8159989
8005,CO,Arapahoe County,8005080800,1,1.0,2661,0.354742184133672,7501.2223497
8005,CO,Arapahoe County,8005080900,1,1.0,3977,0.649879845003143,6119.5927687
8005,CO,Arapahoe County,8005081000,1,1.0,5450,0.915996135889433,5949.8067584
8005,CO,Arapahoe County,8005081100,1,1.0,5376,0.937660328928165,5733.4194848
8005,CO,Arapahoe County,8005081200,1,1.0,4462,0.514592345601601,8670.941257
8005,CO,Arapahoe County,8005081300,1,1.0,3119,0.453662719672832,6875.1516595
8005,CO,Arapahoe County,8005081400,1,1.0,4171,1.02441825985294,4071.579123
8005,CO,Arapahoe County,8005081500,1,1.0,3039,0.69833837067971,4351.7585852
8005,CO,Arapahoe County,8005081600,1,1.0,4859,1.21204692840276,4008.920683
