X,Y,med_indicator,chip_indicator,Specialty_keys,BOD_Formatted_Name,Latitude,Longitude,CensusYear,CensusTract,CensusCountyFips,CensusStateFips,CensusTract100,CensusStateFips2,State_county_tract,State_FIPS_Code,State,County,State_County_Tract_FIPS_Code,Primary_RUCA_Code,Secondary_RUCA_Code,Tract_Population,Land_Area,Population_Density
39.72566931,-104.8216792,1.0,0.0,general,Robert D Jeffers,39.72628510000001,-104.82206629999999,TwoThousandTen,818.0,005,8.0,081800,8,8005081800,8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
39.72566931,-104.8216792,1.0,0.0,general,Saffa Falah Alani,39.72628510000001,-104.82206629999999,TwoThousandTen,818.0,005,8.0,081800,8,8005081800,8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
39.72566931,-104.8216792,1.0,0.0,general,Ahmad Kassabji,39.72628510000001,-104.82206629999999,TwoThousandTen,818.0,005,8.0,081800,8,8005081800,8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
39.72566931,-104.8216792,1.0,0.0,general,Tatiana Lehnert,39.72628510000001,-104.82206629999999,TwoThousandTen,818.0,005,8.0,081800,8,8005081800,8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
39.72566931,-104.8216792,1.0,0.0,general,Nathaniel C Cejka,39.72628510000001,-104.82206629999999,TwoThousandTen,818.0,005,8.0,081800,8,8005081800,8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
39.72566931,-104.8216792,1.0,0.0,general,Shalyn Philip,39.72628510000001,-104.82206629999999,TwoThousandTen,818.0,005,8.0,081800,8,8005081800,8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
39.72566931,-104.8216792,1.0,0.0,general,Krista Nene Duran,39.72628510000001,-104.82206629999999,TwoThousandTen,818.0,005,8.0,081800,8,8005081800,8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
39.72566931,-104.8216792,1.0,0.0,specialist,Kamran Dastoury,39.72628510000001,-104.82206629999999,TwoThousandTen,818.0,005,8.0,081800,8,8005081800,8005,CO,Arapahoe County,8005081800,1,1.0,5421,0.818201474292545,6625.5074946
38.96475626,-104.7348908,1.0,0.0,general,Rahul Batra,38.9671574,-104.7383102,TwoThousandTen,71.01,041,8.0,007101,8,8041007101,8041,CO,El Paso County,8041007101,1,1.0,4565,6.11718780164232,746.25794532
38.96475626,-104.7348908,1.0,0.0,general,Toan Quoc Chung,38.9671574,-104.7383102,TwoThousandTen,71.01,041,8.0,007101,8,8041007101,8041,CO,El Paso County,8041007101,1,1.0,4565,6.11718780164232,746.25794532
