IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"3501 TERRACE ST STE 3189,PITTSBURGH,PA,15261-0001",3.075,5.833333333333332,0.8333333333333333,1.0,1.5,13.0,6.15,11.666666666666664,1.6666666666666663,2.0,40.4428609,-79.96200008,40.4428609,-79.96200008,1.0,0.0,0.0,1.0
"3501 TERRACE ST,PITTSBURGH,PA,15213-2523",4.074999999999998,3.333333333333333,1.8333333333333333,0.0,4.333333333333333,1.7,8.149999999999997,6.666666666666666,3.6666666666666665,0.0,40.44237548,-79.96241405,40.44237548,-79.96241405,1.0,0.0,0.0,1.0
"3501 TERRACE STREET SUITE 3189,PITTSBURGH,PA,15261-0001",0.0,,0.0,,0.3333333333333333,,0.0,,0.0,,40.4428609,-79.96200008,,,1.0,0.0,,
"3506 WASHINGTON AVE,FINLEYVILLE,PA,15332-1328",1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,40.25178702,-80.00542369,40.25178702,-80.00542369,1.0,0.0,0.0,1.0
"3509 N BROAD ST # 6,PHILADELPHIA,PA,19140-4105",1.4688375350140055,,0.8888888888888888,,0.0,,2.937675070028011,,1.7777777777777777,,40.00629902,-75.15180541,,,1.0,0.0,,
"3509 N BROAD ST FL 6,PHILADELPHIA,PA,19140-4105",1.0174486461251169,0.16666666666666666,0.3055555555555555,0.2909090909090909,0.0,0.16666666666666666,2.0348972922502337,0.3333333333333333,0.6111111111111109,0.5818181818181818,40.00629902,-75.15180541,40.00629902,-75.15180541,1.0,0.0,0.0,1.0
"3509 N BROAD ST,PHILADELPHIA,PA,19140-4105",0.5438897488820089,2.2822362278244634,1.6666666666666663,1.0274170274170271,0.0,0.9833333333333334,1.0877794977640178,4.564472455648927,3.3333333333333326,2.0548340548340542,40.00646038,-75.15177015,40.00646038,-75.15177015,1.0,0.0,0.0,1.0
"351 LOUCKS RD STE 4E,YORK,PA,17404-1740",4.416666666666666,4.294408207974321,0.0,0.0,0.0,0.0,8.833333333333332,8.588816415948642,0.0,0.0,39.98362006,-76.74010226,39.98362006,-76.74010226,1.0,0.0,0.0,1.0
"351 LOUCKS RD STE E4,YORK,PA,17404-1740",0.5,,0.0,,0.0,,1.0,,0.0,,39.98362006,-76.74010226,,,1.0,0.0,,
"351 LOUCKS RD,YORK,PA,17404-1740",1.75,0.6585839598997494,0.0,0.0,0.5,0.0,3.5,1.3171679197994988,0.0,0.0,39.98362006,-76.74010226,39.98362006,-76.74010226,1.0,0.0,0.0,1.0
"351 W SCHUYLKILL RD STE G,POTTSTOWN,PA,19465-7438",0.4777777777777778,,0.0,,0.0,,0.9555555555555556,,0.0,,40.23563400000001,-75.66252749,,,1.0,0.0,,
