idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
42,"10 E SCHOOL HOUSE LN,PHILADELPHIA,PA,19144-2235",1.125,0.0,0.0,40.03476437,-75.17222735,0,1,2.25,0.0
43,"10 HERRING ALY,KUTZTOWN,PA,19530-1630",0.0,0.0,1.0,40.51604481,-75.77731735,0,1,0.0,0.0
44,"10 LIBERTY LN,LATROBE,PA,15650",0.5,0.0,0.0,40.29074798,-79.3939063,0,1,1.0,0.0
45,"10 LINNIPPI TRL,LOCK HAVEN,PA,17745-3115",0.0,0.0,0.6666666666666666,41.15006564,-77.35267409999999,0,1,0.0,0.0
46,"10 MORGAN TER,WELLSBORO,PA,16901-1803",1.0,0.0,0.0,41.74387392,-77.29900029,0,1,2.0,0.0
47,"10 OLD MILL BLVD,WASHINGTON,PA,15301-6738",1.0,0.0,0.0,40.18840733,-80.22085884,0,1,2.0,0.0
48,"10 PRESIDENTIAL BLVD STE 102,BALA CYNWYD,PA,19004-1107",1.0,0.0,0.0,40.01128472,-75.21211422,0,1,2.0,0.0
49,"10 RITTENHOUSE PL,DRUMS,PA,18222-7000",0.8333333333333333,0.0,0.0,41.01105177,-75.96559074,0,1,1.6666666666666663,0.0
50,"10 S CLINTON ST STE 204,DOYLESTOWN,PA,18901-4220",0.0,0.16666666666666666,0.8333333333333333,40.30852772,-75.1329141,0,1,0.0,0.3333333333333333
51,"10 S CLINTON ST,DOYLESTOWN,PA,18901-4220",0.0,0.125,0.0,40.30852772,-75.1329141,0,1,0.0,0.25
52,"10 SHADY LN,JENKINTOWN,PA,19046-4289",1.0,0.0,0.0,40.08705274,-75.07667449,0,1,2.0,0.0
53,"10 SHERATON DR,ALTOONA,PA,16601-9316",1.0,0.0,0.0,40.45881632,-78.41055388,0,1,2.0,0.0
54,"10 TAYLOR LN,MONTROSE,PA,18801-6702",0.5,0.0,0.0,41.83005888,-75.87385702,0,1,1.0,0.0
55,"10 W DORRANCE ST,KINGSTON,PA,18704-3790",0.0,0.0,0.3333333333333333,41.27105199,-75.8880357,0,1,0.0,0.0
56,"10 W NORTHAMPTON ST STE 1000,WILKES BARRE,PA,18701-1710",1.0,0.0,0.0,41.24425844,-75.88502629,0,1,2.0,0.0
57,"10 W NORTHAMPTON ST,WILKES BARRE,PA,18701-1710",1.0,0.0,0.0,41.24425844,-75.88502629,0,1,2.0,0.0
58,"100 ALEXANDER ST,MONONGAHELA,PA,15063-1002",1.0,0.0,0.0,40.17342582,-79.91410673,0,1,2.0,0.0
