idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,hygienist_for_general,hygienist_for_pediatric
3391," 3506 FIFTH AVE,-,-,PITTSBURGH,PENNSYLVANIA,15213",1.0,0.0,0.0,3.0,40.4405693,40.4405693,2.0,0.0
3392," 3506 FIFTH AVENUE,-,-,PITTSBURGH,PENNSYLVANIA,15213",0.0,0.0,1.0,3.0,40.4405693,40.4405693,0.0,0.0
3393," 3506 HIGH HILL RD,-,-,EFFORT,PENNSYLVANIA,18330",1.0,0.0,0.0,89.0,40.97074028,40.97074028,2.0,0.0
3394," 3509 HELLER DRIVE,-,-,STROUDSBURG,PENNSYLVANIA,18360",1.0,0.0,0.0,89.0,40.97433584,40.97433584,2.0,0.0
3395," 351 E 3RD STREET,-,-,BOYERTOWN,PENNSYLVANIA,19512",0.0,0.0,1.0,11.0,40.32942429999999,40.32942429999999,0.0,0.0
3396," 3516 FIFTH AVENUE,SUITE 101,-,PITTSBURGH,PENNSYLVANIA,15213",0.0,0.0,1.0,3.0,40.4408104,40.4408104,0.0,0.0
3397," 3516 NEW QUEEN STREET,-,-,PHILADELPHIA,PENNSYLVANIA,19129",0.0,0.0,1.0,101.0,40.01256951,40.01256951,0.0,0.0
3398," 3518 ST LAWRENCE AVE,-,-,READING,PENNSYLVANIA,19606",1.0,0.0,0.0,11.0,40.3256893,40.3256893,2.0,0.0
3399," 352 SLISH RD,-,-,HONESDALE,PENNSYLVANIA,18431",1.0,0.0,0.0,127.0,41.60996231,41.60996231,2.0,0.0
3400," 352 TALL MEADOW LN,-,-,YARDLEY,PENNSYLVANIA,19067",1.0,0.0,0.0,17.0,40.20888185,40.20888185,2.0,0.0
3401," 3520 FIFTH AVE,SUITE 500,-,PITTSBURGH,PENNSYLVANIA,15213",0.0,0.0,1.0,3.0,40.4409171,40.4409171,0.0,0.0
3402," 3525 CHERRY STREET,-,-,WEST MIFFLIN,PENNSYLVANIA,15122",1.0,0.0,0.0,3.0,40.3937123,40.3937123,2.0,0.0
3403," 3529 OLD 22,-,-,HAMBURG,PENNSYLVANIA,19526",1.0,0.0,0.0,11.0,40.56259657,40.56259657,2.0,0.0
3404," 353 FARMERS DR,-,120 SOUTH TAN ALLEY,LEBANON,PENNSYLVANIA,17046",1.0,0.0,0.0,75.0,40.38267167,40.38267167,2.0,0.0
3405," 353 S BROAD MOUNTAIN AVE,-,-,FRACKVILLE,PENNSYLVANIA,17931",1.0,0.0,0.0,107.0,40.78112314,40.78112314,2.0,0.0
3406," 3530 SHEFFIELD AVENUE,-,-,PHILADELPHIA,PENNSYLVANIA,19136",0.0,1.0,0.0,101.0,40.04048188,40.04048188,0.0,2.0
3407," 3541 CAREY ROAD,-,-,PHILADELPHIA,PENNSYLVANIA,19154",1.0,0.0,0.0,101.0,40.08120314,40.08120314,2.0,0.0
3408," 355 5TH AVE,SUITE 1520,-,PITTSBURGH,PENNSYLVANIA,15222",1.0,0.0,0.0,3.0,40.440366999999995,40.440366999999995,2.0,0.0
3409," 355 DICKENS DRIVE,-,-,LANCASTER,PENNSYLVANIA,17603",1.0,0.0,0.0,71.0,40.01309728,40.01309728,2.0,0.0
3410," 355 EDGEMONT AVE,-,-,QUAKERTOWN,PENNSYLVANIA,18951",1.0,0.0,0.0,17.0,40.43332281,40.43332281,2.0,0.0
3411," 355 FIFTH AVE,SUITE 617,-,PITTSBURGH,PENNSYLVANIA,15222",1.0,0.0,0.0,3.0,40.440366999999995,40.440366999999995,2.0,0.0
3412," 355 KENT LN,-,-,PERKASIE,PENNSYLVANIA,18944",1.0,0.0,0.0,17.0,40.36971802,40.36971802,2.0,0.0
3413," 355 N 1ST ST,-,-,JEANNETTE,PENNSYLVANIA,15644",1.0,0.0,0.0,129.0,40.33204576,40.33204576,2.0,0.0
3414," 355 VALLEY ROAD,-,-,MERION STATION,PENNSYLVANIA,19066",0.0,0.0,1.0,91.0,40.0019812,40.0019812,0.0,0.0
3415," 3554 HULMEVILLE ROAD,SUITE 111,-,BENSALEM,PENNSYLVANIA,19020",1.0,0.0,0.0,17.0,40.1031189,40.1031189,2.0,0.0
3416," 3555 BRODHEAD ROAD,-,-,MONACA,PENNSYLVANIA,15061",1.0,0.0,0.0,7.0,40.6564961,40.6564961,2.0,0.0
3417," 356 SPRINGHOUSE DR,-,-,LEWISBURG,PENNSYLVANIA,17837",1.0,0.0,0.0,119.0,40.93856052,40.93856052,2.0,0.0
3418," 3564 CRESSON STREET,-,-,PHILADELPHIA,PENNSYLVANIA,19129",1.0,0.0,0.0,101.0,40.0134863,40.0134863,2.0,0.0
3419," 357 CREAMERY ROAD,-,-,TUNKHANNOCK,PENNSYLVANIA,18657",1.0,0.0,0.0,131.0,41.43615029,41.43615029,2.0,0.0
3420," 357 IRVING STREET,-,-,OLYPHANT,PENNSYLVANIA,18447",1.0,0.0,0.0,69.0,41.49587961,41.49587961,2.0,0.0
3421," 357 S. GULPH RD #250,-,-,KING OF PRUSSIA,PENNSYLVANIA,19406",1.0,0.0,0.0,91.0,40.07957437,40.07957437,2.0,0.0
3422," 357 SWANAGE DR,-,-,BROOMALL,PENNSYLVANIA,19008",1.0,0.0,0.0,45.0,39.96249939,39.96249939,2.0,0.0
3423," 357 WEST GOVERNOR ROAD,-,-,HERSHEY,PENNSYLVANIA,17033",1.0,0.0,0.0,43.0,40.27269122,40.27269122,2.0,0.0
3424," 3570 HAMILTON BOULEVARD,SUITE 302,-,ALLENTOWN,PENNSYLVANIA,18103",1.0,0.0,0.0,77.0,40.57640466,40.57640466,2.0,0.0
3425," 3573 LINDBERG AVENUE,-,-,ALLENTOWN,PENNSYLVANIA,18103",1.0,0.0,0.0,77.0,40.57636943,40.57636943,2.0,0.0
3426," 3577 EAST STATE ST,-,-,HERMITAGE,PENNSYLVANIA,16148",1.0,0.0,0.0,85.0,41.23382452,41.23382452,2.0,0.0
3427," 358 BROWN SWISS CRICLE,-,-,DUNCANSVILLE,PENNSYLVANIA,16635",1.0,0.0,0.0,13.0,40.41489225,40.41489225,2.0,0.0
3428," 358 W FIRST AVENUE,-,-,PARKESBURG,PENNSYLVANIA,19365",2.0,0.0,0.0,29.0,39.959062,39.959062,4.0,0.0
3429," 3582 BRODHEAD ROAD,-,-,MONACA,PENNSYLVANIA,15061",1.0,0.0,0.0,7.0,40.65845520000001,40.65845520000001,2.0,0.0
3430," 3584 CHURCHILL LN,-,-,PHILADELPHIA,PENNSYLVANIA,19114",0.0,0.0,1.0,101.0,40.07212970000001,40.07212970000001,0.0,0.0
3431," 3586 MITCHELL ROAD,-,-,NEW CASTLE,PENNSYLVANIA,16105",0.0,0.0,1.0,73.0,41.06414595,41.06414595,0.0,0.0
3432," 359 FOX HUNT DR.,-,-,NOTTINGHAM,PENNSYLVANIA,19362",1.0,0.0,0.0,71.0,39.75875187,39.75875187,2.0,0.0
3433," 359 INDIAN CREEK DRIVE,-,-,LEVITTOWN,PENNSYLVANIA,19057",1.0,0.0,0.0,17.0,40.14910938,40.14910938,2.0,0.0
3434," 359 KILLINGTON LANE,-,-,SHIPPENSBURG,PENNSYLVANIA,17257",1.0,0.0,0.0,41.0,40.04912708,40.04912708,2.0,0.0
3435," 359 LITTLE CREEK DRIVE,-,-,NAZARETH,PENNSYLVANIA,18064",1.0,0.0,0.0,95.0,40.69526175,40.69526175,2.0,0.0
3436," 36 BAKER ROAD,-,-,HONESDALE,PENNSYLVANIA,18431",1.0,0.0,0.0,127.0,41.67537425,41.67537425,2.0,0.0
3437," 36 E MAIN AVENUE,-,-,MYERSTOWN,PENNSYLVANIA,17067",1.0,0.0,0.0,75.0,40.37535234,40.37535234,2.0,0.0
3438," 36 KELSEY DRIVE,-,-,SCHUYLKILL HAVEN,PENNSYLVANIA,17972",1.0,0.0,0.0,107.0,40.64724294,40.64724294,2.0,0.0
3439," 36 N 3RD ST,APT #2F,-,PHILADELPHIA,PENNSYLVANIA,19106",1.0,0.0,0.0,101.0,39.95087635,39.95087635,2.0,0.0
3440," 36 N MAIN STREET,-,-,STEWARTSTOWN,PENNSYLVANIA,17363",1.0,0.0,0.0,133.0,39.75703721,39.75703721,2.0,0.0
3441," 36 SLOCUM STREET,-,-,FORTY FORT,PENNSYLVANIA,18704",0.0,0.0,1.0,79.0,41.27916457,41.27916457,0.0,0.0
3442," 36 SUSSEX DRIVE,-,-,CARLISLE,PENNSYLVANIA,17013",1.0,0.0,0.0,41.0,40.21070523,40.21070523,2.0,0.0
3443," 36 W LODGES LANE,-,-,BALA CYNWYD,PENNSYLVANIA,19004",1.0,0.0,0.0,91.0,40.00937129,40.00937129,2.0,0.0
3444," 360 SOUTH MAIN STREET,-,-,PLEASANT GAP,PENNSYLVANIA,16823",1.0,0.0,0.0,27.0,40.86026116,40.86026116,2.0,0.0
3445," 360 SOUTH THIRD STREET,-,-,FRACKVILLE,PENNSYLVANIA,17931",1.0,0.0,0.0,107.0,40.77795436,40.77795436,2.0,0.0
3446," 3600 CONSHOHOCKEN AVENUE,NUMBER 1903,-,PHILADELPHIA,PENNSYLVANIA,19131",1.0,0.0,0.0,101.0,40.00363654,40.00363654,2.0,0.0
3447," 3600 NORTHWOOD AVENUE,-,-,EASTON,PENNSYLVANIA,18045",1.0,0.0,0.0,95.0,40.70878015,40.70878015,2.0,0.0
3448," 3600 RIDGEWOOD DR,-,-,HERMITAGE,PENNSYLVANIA,16148",1.0,0.0,0.0,85.0,41.25378408,41.25378408,2.0,0.0
3449," 3601 OLD ERIE PIKE,-,-,WEST DECATUR,PENNSYLVANIA,16878",1.0,0.0,0.0,33.0,40.92879753,40.92879753,2.0,0.0
3450," 3602 OLD YORK ROAD,-,-,PHILADELPHIA,PENNSYLVANIA,19140",1.0,0.0,0.0,101.0,40.00735642,40.00735642,2.0,0.0
3451," 3604 MORRELL AVE,-,-,PHILADELPHIA,PENNSYLVANIA,19114",1.0,0.0,0.0,101.0,40.06991885,40.06991885,2.0,0.0
3452," 3605 N PROGRESS AVE,SUITE 101,3605 N. PROGRESS AVE.,HARRISBURG,PENNSYLVANIA,17110",1.0,0.0,0.0,43.0,40.31559552,40.31559552,2.0,0.0
3453," 3605 STATE ROUTE 257,PO BOX 227,-,SENECA,PENNSYLVANIA,16346",1.0,0.0,0.0,121.0,41.39305726,41.39305726,2.0,0.0
3454," 3607 PERKIOMEN AVENUE,-,-,READING,PENNSYLVANIA,19606",1.0,0.0,0.0,11.0,40.3185649,40.3185649,2.0,0.0
3455," 3609 SPRING RUN ROAD,-,-,HUNTINGDON VALLEY,PENNSYLVANIA,19006",0.0,0.0,1.0,91.0,40.14483239,40.14483239,0.0,0.0
3456," 361 HILLTOP DR,-,-,EPHRATA,PENNSYLVANIA,17522",1.0,0.0,0.0,71.0,40.12642753,40.12642753,2.0,0.0
3457," 361 MEADOWBROOK DRIVE,-,-,HUNTINGDON VALLEY,PENNSYLVANIA,19006",0.0,0.0,1.0,91.0,40.11346298,40.11346298,0.0,0.0
