IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1200 S CEDAR CREST BLVD,ALLENTOWN,PA,18103-6202",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.56673064,-75.51865475,,,1.0,0.0,,
"1223 SCALP AVE,JOHNSTOWN,PA,15904-3150",0.0,,0.0,,1.0,,0.0,,0.0,,40.27791515,-78.86124996,,,1.0,0.0,,
"1229 SILVER LN,MC KEES ROCKS,PA,15136-1063",0.0,,0.5,,0.0,,0.0,,1.0,,40.46978626,-80.1364444,,,1.0,0.0,,
"1235 BRIDGETOWN PIKE,FEASTERVILLE TREVOSE,PA,19053-4301",0.5,,0.0,,0.0,,1.0,,0.0,,40.15435873,-75.00035141,,,1.0,0.0,,
"1247 S CEDAR CREST BLVD STE 30,ALLENTOWN,PA,18103-6298",5.078556138628814,,0.16285714285714284,,0.8922733184689706,,10.157112277257628,,0.3257142857142857,,40.56668461,-75.51852867,,,1.0,0.0,,
"125 FAIRWAY LANDINGS DR,CANONSBURG,PA,15317-9568",0.027777777777777776,,0.0,,0.0,,0.05555555555555555,,0.0,,40.28519267,-80.16812956,,,1.0,0.0,,
"1253 SCALP AVE,JOHNSTOWN,PA,15904-3137",1.0,,0.0,,0.0,,2.0,,0.0,,40.27594521,-78.86022812,,,1.0,0.0,,
"1259 S CEDAR CREST BLVD STE 30,ALLENTOWN,PA,18103-6372",0.0,,0.0,,1.0,,0.0,,0.0,,40.56452692,-75.51807648,,,1.0,0.0,,
"128 W 12TH ST STE 300,ERIE,PA,16501-1753",0.0,,0.5,,0.0,,0.0,,1.0,,42.12259449,-80.08373386,,,1.0,0.0,,
"128 W 12TH ST,ERIE,PA,16501-1750",0.0,,0.5,,0.0,,0.0,,1.0,,42.12259449,-80.08373386,,,1.0,0.0,,
"129 HILLCREST SHOPPING CTR,NEW KENSINGTON,PA,15068-3504",2.191059757236228,,0.05882352941176471,,0.3958333333333333,,4.382119514472456,,0.11764705882352942,,40.58402175,-79.70890645,,,1.0,0.0,,
"132 E BROAD ST,TAMAQUA,PA,18252-2016",1.0,,0.0,,0.0,,2.0,,0.0,,40.79732657,-75.96828846,,,1.0,0.0,,
"132 GRAHAM PARK DR,CRANBERRY TOWNSHIP,PA,16066-8330",0.0,,0.0,,1.0,,0.0,,0.0,,40.6989338,-80.12219338,,,1.0,0.0,,
"1320 MILL RD,QUAKERTOWN,PA,18951-1137",0.2,,0.0,,0.0,,0.4,,0.0,,40.43686963,-75.35262885,,,1.0,0.0,,
"1320 W RITNER ST,PHILADELPHIA,PA,19148-3525",1.0,,0.0,,0.0,,2.0,,0.0,,39.92044471,-75.16916570000002,,,1.0,0.0,,
"134 S STATE RD,UPPER DARBY,PA,19082-2902",1.0,,0.0,,0.0,,2.0,,0.0,,39.96123334,-75.27745631,,,1.0,0.0,,
"1399 S QUEEN ST STE A,YORK,PA,17403-3801",0.5,,1.0,,0.0,,1.0,,2.0,,39.94657609,-76.70971251,,,1.0,0.0,,
"14 MACDADE BLVD STE A # 20,COLLINGDALE,PA,19023-1806",0.14285714285714285,,0.0,,0.0,,0.2857142857142857,,0.0,,39.91695901,-75.26552182,,,1.0,0.0,,
"14-20 MACDADE BLVD STE A,DARBY,PA,19023-1822",0.6428571428571428,,0.0,,0.0,,1.2857142857142856,,0.0,,39.91686001,-75.26574232,,,1.0,0.0,,
"140 N BEESON AVE,UNIONTOWN,PA,15401",0.28525641025641024,,0.0,,0.0,,0.5705128205128205,,0.0,,39.90610466,-79.72546681,,,1.0,0.0,,
"1401 S 31ST ST FL 1,PHILADELPHIA,PA,19146-3506",2.094444444444444,,0.0196078431372549,,0.0,,4.188888888888888,,0.0392156862745098,,39.93608588,-75.19549789,,,1.0,0.0,,
"1412 BYWOOD AVE,UPPER DARBY,PA,19082-3720",0.5,,0.0,,0.0,,1.0,,0.0,,39.9558479,-75.27334555,,,1.0,0.0,,
"145 N 6TH ST FL,READING,PA,19601-3096",0.5,,0.0,,0.0,,1.0,,0.0,,40.33760851,-75.92579801,,,1.0,0.0,,
"1500 JFK BLVD,PHILADELPHIA,PA,19102",0.2,,0.0,,0.0,,0.4,,0.0,,39.95368864,-75.16582672,,,1.0,0.0,,
"1521 LOCUST ST STE 600,PHILADELPHIA,PA,19102-3715",0.0,,0.0,,1.0,,0.0,,0.0,,39.948539399999994,-75.16699118,,,1.0,0.0,,
"154 MONTGOMERY MALL STE 230,NORTH WALES,PA,19454-3909",0.0,,0.0,,0.3206349206349206,,0.0,,0.0,,40.23457755,-75.24183329,,,1.0,0.0,,
"155 S ARCH ST STE B,MILTON,PA,17847-1172",0.5,,0.3333333333333333,,0.0,,1.0,,0.6666666666666666,,41.01781767,-76.85424169,,,1.0,0.0,,
"1555 HIGHLANDS DR STE PEDO,LITITZ,PA,17543-2800",0.020408163265306117,,0.02,,0.0,,0.040816326530612235,,0.04,,40.1320055,-76.30990706,,,1.0,0.0,,
"1575 N 52ND ST STE 105,PHILADELPHIA,PA,19131-4729",0.07692307692307693,,0.0,,0.0,,0.15384615384615385,,0.0,,39.97865147,-75.22581234,,,1.0,0.0,,
