IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1428 WOODED ACRES DR STE 126,WACO,TX,76710-4466",2.645634920634921,1.4920024420024418,0.0,0.0,0.0,0.0,5.291269841269842,2.984004884004884,0.0,0.0,31.53365262,-97.18997601,31.53365262,-97.18997601,1,0,0,1
"1429 CLEAR LAKE RD STE 300,WEATHERFORD,TX,76086-8802",0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,32.74034824,-97.77831125,32.74034824,-97.77831125,1,0,0,1
"1429 CLEAR LAKE RD STE 700,WEATHERFORD,TX,76086-8806",1.0,0.0,1.0,0.3333333333333333,0.0,0.0,2.0,0.0,2.0,0.6666666666666666,32.74034824,-97.77831125,32.74034824,-97.77831125,1,0,0,1
"1431 PALO ALTO RD STE 104,SAN ANTONIO,TX,78211-4027",3.2095238095238097,2.847985347985348,0.0,0.0,0.0,0.0,6.419047619047619,5.695970695970696,0.0,0.0,29.33816544,-98.55237149999999,29.33816544,-98.55237149999999,1,0,0,1
"14315 E SAM HOUSTON PKWY N STE 100,HOUSTON,TX,77044-7008",2.4027777777777777,1.288034188034188,0.09583333333333333,0.02325581395348837,0.0,0.0,4.8055555555555545,2.576068376068376,0.19166666666666665,0.04651162790697674,29.92614392,-95.20108347,29.92614392,-95.20108347,1,0,0,1
"1434 N CENTRAL EXPY STE 121,MCKINNEY,TX,75070-3108",4.4717956819216615,0.05844155844155844,1.0,0.0,0.3333333333333333,0.0,8.943591363843321,0.11688311688311688,2.0,0.0,33.21152339,-96.63714158,33.21152339,-96.63714158,1,0,0,1
"1437 HIGHWAY 6 STE 200,SUGAR LAND,TX,77478-5131",0.5773809523809523,0.8091991341991343,0.0,0.0,0.35719507101086045,0.3990252427752428,1.1547619047619049,1.6183982683982685,0.0,0.0,29.6017651,-95.63143355,29.6017651,-95.63143355,1,0,0,1
"1437 S VALLEY MILLS DR,WACO,TX,76711-1682",4.0444851444851455,0.7631951381951383,0.0,0.0,0.2,0.125,8.088970288970291,1.5263902763902766,0.0,0.0,31.52539071,-97.14402268,31.52539071,-97.14402268,1,0,0,1
"1439 N HIGHWAY 77 STE 101,WAXAHACHIE,TX,75165-5120",0.2,3.033333333333333,0.0,0.0,0.0,0.0,0.4,6.066666666666666,0.0,0.0,32.4245638,-96.83961386,32.4245638,-96.83961386,1,0,0,1
"1440 N MACARTHUR BLVD STE 105,IRVING,TX,75061-4494",0.5,0.5476190476190477,1.0434782608695652,0.037037037037037035,0.0,0.0,1.0,1.0952380952380951,2.0869565217391304,0.07407407407407407,32.82830954,-96.95905041,32.82830954,-96.95905041,1,0,0,1
"1441 N COCKRELL HILL RD,DALLAS,TX,75211-1303",3.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,32.76192159,-96.89470734,32.76192159,-96.89470734,1,0,0,1
"1441 S MIDLOTHIAN PKWY STE 150,MIDLOTHIAN,TX,76065-6156",0.03125,0.023809523809523808,0.0,0.0,0.0,0.0,0.0625,0.047619047619047616,0.0,0.0,32.46673222,-96.97702962,32.46673222,-96.97702962,1,0,0,1
"14411 BELLAIRE BLVD,HOUSTON,TX,77083-7521",2.25,2.3666666666666667,1.5,0.3333333333333333,0.0,0.0,4.5,4.733333333333333,3.0,0.6666666666666666,29.70390562,-95.63894148,29.70390562,-95.63894148,1,0,0,1
"1443 FM 1463 RD STE 400,KATY,TX,77494-5438",1.6899429073342116,1.316619228336496,0.2,0.0,0.0,0.017543859649122806,3.3798858146684236,2.633238456672992,0.4,0.0,29.76511866,-95.84124265,29.76511866,-95.84124265,1,0,0,1
"14438 BELLAIRE BLVD,HOUSTON,TX,77083-7520",1.1,0.16666666666666666,0.0,0.0,0.0,0.0,2.2,0.3333333333333333,0.0,0.0,29.70417883,-95.64056716,29.70417883,-95.64056716,1,0,0,1
"1445 NORTH LOOP W STE 1000,HOUSTON,TX,77008-1680",6.812968975468974,4.575954812096116,0.05263157894736842,0.017543859649122806,1.8154761904761905,0.9788220551378446,13.625937950937947,9.151909624192232,0.10526315789473684,0.03508771929824561,29.81227849,-95.42609083,29.81227849,-95.42609083,1,0,0,1
"1445 SOMERSET RD STE 4,SAN ANTONIO,TX,78211-3007",1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,29.36183743,-98.54536234,29.36183743,-98.54536234,1,0,0,1
