id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US22005030101,,"Census Tract 301.01, Ascension Parish, Louisiana",64,0,116,0,0,37,16,23,141,121,218,263,1025,36,25,89,46,0,0,0,21,142,360,134,172,479,36,23,0,0,0,42,0,0,27,72,44,235,435,294,708,1066,2503,
1400000US22005030102,,"Census Tract 301.02, Ascension Parish, Louisiana",0,32,11,0,0,0,0,10,10,83,43,128,514,20,0,23,13,23,52,0,54,89,79,95,66,383,20,37,27,0,34,0,0,9,49,79,34,94,240,199,315,460,1214,
1400000US22005030103,,"Census Tract 301.03, Ascension Parish, Louisiana",93,0,0,0,64,0,0,0,0,106,108,25,542,50,0,0,0,57,0,0,0,99,91,71,174,543,51,0,0,0,0,0,0,0,183,199,67,43,315,141,537,488,1481,
1400000US22005030203,,"Census Tract 302.03, Ascension Parish, Louisiana",139,0,0,0,38,0,0,25,140,98,136,428,923,27,0,0,0,0,0,0,42,65,100,167,522,1344,97,0,0,19,36,0,0,44,121,284,94,649,356,274,645,1996,3271,
1400000US22005030204,,"Census Tract 302.04, Ascension Parish, Louisiana",66,0,85,18,0,0,0,0,260,199,227,440,989,38,0,0,0,0,0,0,16,233,213,76,413,1157,0,0,17,0,0,0,63,30,69,166,103,709,224,390,859,1968,3441,
1400000US22005030205,,"Census Tract 302.05, Ascension Parish, Louisiana",19,0,0,25,71,22,5,39,62,111,109,257,1171,51,14,0,14,33,73,0,0,241,85,35,625,1201,45,0,0,0,0,147,0,0,234,109,166,500,272,554.5,573.5,1692,3092,
1400000US22005030206,,"Census Tract 302.06, Ascension Parish, Louisiana",33,26,33,0,0,14,106,0,341,271,229,259,1141,9,31,43,105,48,180,120,17,182,108,120,178,988,3,0,138,209,60,0,0,94,76,96,130,182,738,830.5,774.5,1098,3441,
1400000US22005030300,,"Census Tract 303, Ascension Parish, Louisiana",0,0,0,0,0,15,0,0,62,289,568,353,1927,71,0,0,15,0,24,0,88,65,326,312,1026,1559,94,0,0,15,0,28,0,0,187,48,128,1059,195,312,820,3446,4773,
1400000US22005030401,,"Census Tract 304.01, Ascension Parish, Louisiana",20,16,0,10,4,4,0,0,46,121,40,27,235,0,0,16,23,0,37,13,0,56,52,38,0,491,163,0,0,0,0,82,12,0,133,10,60,31,252,265.5,300.5,196,1014,
1400000US22005030402,,"Census Tract 304.02, Ascension Parish, Louisiana",0,26,154,17,0,0,0,0,203,43,53,26,664,0,26,27,93,0,0,0,60,162,114,37,145,587,0,125,0,0,32,16,0,36,233,75,63,7,500,411,531,331,1773,
1400000US22005030500,,"Census Tract 305, Ascension Parish, Louisiana",0,0,38,15,267,0,0,0,180,77,120,187,856,66,14,0,44,67,0,0,0,55,22,265,323,656,0,23,42,0,19,15,15,0,143,72,99,228,595,219,360,1222,2396,
1400000US22005030600,,"Census Tract 306, Ascension Parish, Louisiana",102,0,0,16,53,12,9,9,76,53,34,44,616,264,0,0,17,16,0,13,29,125,80,18,54,637,160,68,3,43,19,0,0,0,114,106,90,34,761,229.5,396.5,274,1661,
1400000US22005030900,,"Census Tract 309, Ascension Parish, Louisiana",132,79,0,33,0,62,9,0,40,0,0,0,430,241,51,36,61,0,0,0,15,20,0,0,6,590,59,304,0,0,35,42,0,54,0,25,11,60,1031,212,55,77,1375,
1400000US22005031000,,"Census Tract 310, Ascension Parish, Louisiana",279,10,0,0,53,0,0,0,58,0,11,37,480,284,37,64,0,22,0,0,14,46,0,0,13,362,115,77,0,58,0,0,0,18,36,14,0,44,999,102,84,105,1290,
1400000US22007050100,,"Census Tract 501, Assumption Parish, Louisiana",8,0,0,16,38,112,0,47,62,14,0,54,265,0,27,0,37,21,64,12,0,66,27,0,11,205,18,54,0,18,0,0,0,0,82,0,0,33,237,340,146,98,821,
1400000US22007050200,,"Census Tract 502, Assumption Parish, Louisiana",42,0,0,0,0,0,0,0,29,0,70,99,112,33,0,0,0,0,0,0,0,63,16,0,0,278,0,0,0,0,21,0,0,0,0,18,26,213,96,46,80,408,630,
1400000US22007050300,,"Census Tract 503, Assumption Parish, Louisiana",0,0,0,0,0,43,0,0,28,65,46,0,335,11,98,0,28,0,0,0,0,27,106,47,18,339,27,0,57,43,0,0,0,0,56,84,0,72,264,98.5,310.5,183,856,
1400000US22007050400,,"Census Tract 504, Assumption Parish, Louisiana",0,0,19,5,30,15,0,0,10,42,0,66,295,0,21,12,0,9,99,0,0,28,43,28,55,255,0,30,21,3,37,40,0,0,22,20,12,70,187,184,135,231,737,
1400000US22007050500,,"Census Tract 505, Assumption Parish, Louisiana",108,0,0,64,61,0,0,0,34,37,0,32,312,197,0,0,32,0,0,0,0,30,16,0,37,341,118,0,24,167,0,11,0,0,0,0,21,0,771,43,85,90,989,
1400000US22007050600,,"Census Tract 506, Assumption Parish, Louisiana",16,25,38,0,0,41,0,0,0,0,9,0,393,89,36,15,104,17,0,0,0,15,74,11,32,385,81,58,28,54,54,20,0,0,0,13,16,61,615,68.5,94.5,129,907,
1400000US22009030100,,"Census Tract 301, Avoyelles Parish, Louisiana",0,0,0,0,0,0,0,0,28,40,37,12,291,62,44,0,0,0,0,0,18,92,15,38,22,197,80,0,0,0,0,0,0,0,72,14,12,19,186,114,165,140,605,
