id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US20009971500,,"Census Tract 9715, Barton County, Kansas",33,32,30,32,8,10,19,0,55,46,29,4,238,11,26,0,25,0,8,19,40,48,0,16,45,178,4,0,0,12,0,28,0,66,13,41,0,14,209,240.4,156.6,108,714,
1400000US20009971600,,"Census Tract 9716, Barton County, Kansas",0,0,7,10,56,0,0,0,16,65,0,14,249,0,0,0,0,28,47,0,0,16,144,9,5,257,19,0,0,18,20,28,0,0,14,115,28,15,106,145.4,351.6,71,674,
1400000US20009971700,,"Census Tract 9717, Barton County, Kansas",46,36,25,32,13,0,0,28,7,79,0,53,255,84,20,0,42,11,0,18,13,58,9,0,0,342,97,20,0,0,19,0,22,0,90,0,23,71,423.5,164.5,181,147,916,
1400000US20009971800,,"Census Tract 9718, Barton County, Kansas",27,0,129,18,56,27,15,0,67,28,57,70,446,13,0,265,16,47,14,14,0,48,14,15,0,428,0,0,113,0,0,0,0,0,142,120,0,53,632.5,224.3,316.2,195,1368,
1400000US20011955600,,"Census Tract 9556, Bourbon County, Kansas",112,17,2,15,3,11,0,29,33,9,3,26,242,100,27,0,1,0,10,0,0,78,25,0,1,262,21,25,0,7,89,42,0,0,28,47,0,3,373,193.6,164.4,33,764,
1400000US20011955700,,"Census Tract 9557, Bourbon County, Kansas",21,3,16,7,3,10,1,5,21,26,3,0,191,4,10,19,18,3,22,0,12,33,39,16,15,191,16,1,1,2,12,25,0,0,17,37,21,59,127,112.4,144.6,114,498,
1400000US20011955800,,"Census Tract 9558, Bourbon County, Kansas",0,17,0,16,96,39,0,0,43,42,29,0,290,0,15,0,30,102,0,0,0,78,37,0,28,232,31,0,0,62,51,12,0,0,18,58,0,0,295.5,231.1,220.4,57,804,
1400000US20011955900,,"Census Tract 9559, Bourbon County, Kansas",63,33,25,19,77,15,0,14,62,9,0,0,286,53,30,0,17,50,0,0,18,12,75,23,8,431,10,50,0,129,7,26,0,18,55,51,39,46,496,209.6,212.4,116,1034,
1400000US20011956000,,"Census Tract 9560, Bourbon County, Kansas",6,26,5,0,6,29,13,8,58,0,25,0,195,24,23,21,0,18,9,0,8,60,20,0,12,226,0,21,12,0,35,46,0,0,80,16,4,12,167.5,221.7,154.8,53,597,
1400000US20013480600,,"Census Tract 4806, Brown County, Kansas",17,39,12,9,1,47,0,41,80,48,6,1,276,11,41,5,11,3,9,0,37,106,37,6,10,195,11,12,11,7,4,5,0,7,83,16,0,39,190,257.6,262.4,62,772,
