IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_med,X_med,Y_chip,X_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1010 GREELEY AVE N,GLENCOE,MN,55336-2128",1.0,1.0,0.0,0.0,0.0,0.0,44.76914044,-94.15303381,44.76914044,-94.15303381,1,0,0,1
"10100 6TH AVE N STE 102B,PLYMOUTH,MN,55441-6534",1.0,1.0,0.0,0.0,0.0,0.0,44.98458249,-93.40937854,44.98458249,-93.40937854,1,0,0,1
"1011 E CENTRAL ENTRANCE,DULUTH,MN,55811-5545",2.0,2.0,0.0,0.0,0.0,0.0,46.79913242,-92.11299064,46.79913242,-92.11299064,1,0,0,1
"1012 5TH AVE,WINDOM,MN,56101",0.02696278604652984,0.027044972198163292,0.0,0.0,0.0,0.0,43.82661759,-95.20098401,43.82661759,-95.20098401,1,0,0,1
"1015 GREELEY AVE N,GLENCOE,MN,55336",0.25,0.3333333333333333,0.0,0.0,0.0,0.0,44.76918566,-94.15310923,44.76918566,-94.15310923,1,0,0,1
"1015 GREELEY AVE N,GLENCOE,MN,55336-2129",0.5,0.6666666666666666,0.0,0.0,0.0,0.0,44.76918566,-94.15310923,44.76918566,-94.15310923,1,0,0,1
"1015 HIGHWAY 15 S,HUTCHINSON,MN,55350-3153",0.0,0.0,0.0,0.0,1.0053571428571428,1.0337662337662337,44.87766108,-94.37549313,44.87766108,-94.37549313,1,0,0,1
"1015 MN-15 N,HUTCHINSON,MN,55350",0.0,0.0,0.0,0.0,1.925865800865801,1.8766233766233764,44.87766108,-94.37549313,44.87766108,-94.37549313,1,0,0,1
"1015 SNELLING AVE S,SAINT PAUL,MN,55116-2447",0.05589797123171504,0.05598015738334848,0.0,0.0,0.0,0.0,44.91107617,-93.16709882,44.91107617,-93.16709882,1,0,0,1
"10150 CITY WALK DR APT C,WOODBURY,MN,55129-9270",3.833333333333333,3.6666666666666665,0.0,0.0,0.0,0.0,44.94367649,-92.90144094,44.94367649,-92.90144094,1,0,0,1
"10150 CITY WALK DR,SAINT PAUL,MN,55129",0.45,0.5333333333333333,0.0,0.0,0.0,0.0,44.94367649,-92.90144094,44.94367649,-92.90144094,1,0,0,1
"10182 LANCASTER LN N,MAPLE GROVE,MN,55369-3562",2.0,2.0,0.0,0.0,0.0,0.0,45.13933442,-93.40353296,45.13933442,-93.40353296,1,0,0,1
"102 26TH ST NW,BEMIDJI,MN,56601-2411",0.5,0.5,0.0,0.0,0.0,0.0,47.49372956,-94.880381,47.49372956,-94.880381,1,0,0,1
"102 4TH ST,CLOQUET,MN,55720-1763",0.05589797123171504,0.05598015738334848,0.0,0.0,0.0,0.0,46.71951179,-92.45937062,46.71951179,-92.45937062,1,0,0,1
"102 N BROADWAY,CROOKSTON,MN,56716-1731",0.02696278604652984,0.027044972198163292,0.0,0.0,0.0,0.0,47.77397655,-96.60660319,47.77397655,-96.60660319,1,0,0,1
"1020 4TH AVE,WINDOM,MN,56101",0.5,0.5,0.0,0.0,0.0,0.0,43.86683281,-95.11780623,43.86683281,-95.11780623,1,0,0,1
"1020 4TH AVE,WINDOM,MN,56101-1440",1.5,1.5,0.0,0.0,0.0,0.0,43.86683281,-95.11780623,43.86683281,-95.11780623,1,0,0,1
"1021 BANDANA BLVD E STE 105,SAINT PAUL,MN,55108-5109",2.125,2.125,0.0,0.0,0.0,0.0,44.971677,-93.15264034,44.971677,-93.15264034,1,0,0,1
"1021 BANDANA BLVD E STE 121,SAINT PAUL,MN,55108-5128",0.7,0.7,3.033333333333333,2.9761904761904763,0.0,0.0,44.971677,-93.15264034,44.971677,-93.15264034,1,0,0,1
"1021 BANDANA BLVD E,SAINT PAUL,MN,55108",0.2,0.2,0.8,1.1333333333333333,0.0,0.0,44.971677,-93.15264034,44.971677,-93.15264034,1,0,0,1
"10210 BALTIMORE ST NE STE 100,BLAINE,MN,55449-6050",0.5,0.3333333333333333,0.0,0.0,0.0,0.0,45.15549202,-93.23359042,45.15549202,-93.23359042,1,0,0,1
"10210 BALTIMORE ST NE,MINNEAPOLIS,MN,55449",0.25,0.3333333333333333,0.0,0.0,0.0,0.0,45.15549202,-93.23359042,45.15549202,-93.23359042,1,0,0,1
"1023 OSCEOLA AVE,SAINT PAUL,MN,55105-3233",0.0071428571428571435,0.0071428571428571435,0.0,0.0,0.0,0.0,44.93574345,-93.14342999,44.93574345,-93.14342999,1,0,0,1
"10248 E OLSON RD,COOK,MN,55723-8184",0.05589797123171504,0.05598015738334848,0.0,0.0,0.0,0.0,47.8920915,-92.77550335,47.8920915,-92.77550335,1,0,0,1
"1025 10TH AVE,CLARKFIELD,MN,56223",0.25,0.25,0.0,0.0,0.0,0.0,44.7906185,-95.80475533,44.7906185,-95.80475533,1,0,0,1
"1025 10TH AVE,CLARKFIELD,MN,56223-1301",5.116666666666666,5.199999999999998,0.2,0.2,0.0,0.0,44.7906185,-95.80475533,44.7906185,-95.80475533,1,0,0,1
"1025 EVERGREEN LN N,PLYMOUTH,MN,55441-4869",1.0,1.0,0.0,0.0,0.0,0.0,44.99025325,-93.42692181,44.99025325,-93.42692181,1,0,0,1
"1026 3RD ST,INTERNATIONAL FALLS,MN,56649",1.0,1.0,0.0,0.0,0.0,0.0,48.60077434,-93.41700691,48.60077434,-93.41700691,1,0,0,1
"1026 4TH ST SE STE 200,SAINT CLOUD,MN,56304-1371",1.5,1.5,0.0,0.0,0.0,0.0,45.56293466,-94.13770776,45.56293466,-94.13770776,1,0,0,1
"1026 7TH ST W,SAINT PAUL,MN,55102-3828",3.9,3.833333333333333,0.0,0.0,0.0,0.0,44.92680786,-93.12796717,44.92680786,-93.12796717,1,0,0,1
"1026 W 7TH ST,SAINT PAUL,MN,55102",0.7,0.8333333333333333,0.0,0.0,0.0,0.0,44.92680786,-93.12796717,44.92680786,-93.12796717,1,0,0,1
"1027 2ND AVE,WORTHINGTON,MN,56187",2.0,2.0,0.0,0.0,0.0,0.0,43.61937516,-95.59471725,43.61937516,-95.59471725,1,0,0,1
"1027 N 8TH AVE E,DULUTH,MN,55805-1427",0.02696278604652984,0.027044972198163292,0.0,0.0,0.0,0.0,46.80178074,-92.10000684,46.80178074,-92.10000684,1,0,0,1
"1029 19TH AVE SW,WILLMAR,MN,56201",0.0,0.0,0.0,0.0,0.5,0.5,45.10335953,-95.05572405,45.10335953,-95.05572405,1,0,0,1
"1029 19TH AVE SW,WILLMAR,MN,56201-5005",0.0,0.0,0.0,0.0,0.5,0.5,45.10335953,-95.05572405,45.10335953,-95.05572405,1,0,0,1
"1029 3RD AVE,WORTHINGTON,MN,56187",1.0,1.0,0.0,0.0,0.0,0.0,43.62020996,-95.59554758,43.62020996,-95.59554758,1,0,0,1
"1029 3RD AVE,WORTHINGTON,MN,56187-2398",2.0,2.0,0.0,0.0,0.0,0.0,43.62020996,-95.59554758,43.62020996,-95.59554758,1,0,0,1
"1033 HELMO AVE N,OAKDALE,MN,55128-6032",0.5,0.5,0.0,0.0,0.0,0.0,44.96424599,-92.95173091,44.96424599,-92.95173091,1,0,0,1
"1036 1ST AVE E STE 100,SHAKOPEE,MN,55379-1607",1.0,1.0,0.0,0.0,0.0,0.0,44.80015544,-93.51350235,44.80015544,-93.51350235,1,0,0,1
