IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"1021 BANDANA BLVD E STE 121,SAINT PAUL,MN,55108-5128",0.7,2.9761904761904763,0.0,-93.15264034,44.971677,0,1
"1021 BANDANA BLVD E,SAINT PAUL,MN,55108",0.2,1.1333333333333333,0.0,-93.15264034,44.971677,0,1
"10210 BALTIMORE ST NE STE 100,BLAINE,MN,55449-6050",0.3333333333333333,0.0,0.0,-93.23359042,45.15549202,0,1
"10210 BALTIMORE ST NE,MINNEAPOLIS,MN,55449",0.3333333333333333,0.0,0.0,-93.23359042,45.15549202,0,1
"1023 OSCEOLA AVE,SAINT PAUL,MN,55105-3233",0.0071428571428571435,0.0,0.0,-93.14342999,44.93574345,0,1
"10248 E OLSON RD,COOK,MN,55723-8184",0.05598015738334848,0.0,0.0,-92.77550335,47.8920915,0,1
"1025 10TH AVE,CLARKFIELD,MN,56223",0.25,0.0,0.0,-95.80475533,44.7906185,0,1
"1025 10TH AVE,CLARKFIELD,MN,56223-1301",5.199999999999998,0.2,0.0,-95.80475533,44.7906185,0,1
"1025 EVERGREEN LN N,PLYMOUTH,MN,55441-4869",1.0,0.0,0.0,-93.42692181,44.99025325,0,1
"1026 3RD ST,INTERNATIONAL FALLS,MN,56649",1.0,0.0,0.0,-93.41700691,48.60077434,0,1
"1026 4TH ST SE STE 200,SAINT CLOUD,MN,56304-1371",1.5,0.0,0.0,-94.13770776,45.56293466,0,1
"1026 7TH ST W,SAINT PAUL,MN,55102-3828",3.833333333333333,0.0,0.0,-93.12796717,44.92680786,0,1
"1026 W 7TH ST,SAINT PAUL,MN,55102",0.8333333333333333,0.0,0.0,-93.12796717,44.92680786,0,1
"1027 2ND AVE,WORTHINGTON,MN,56187",2.0,0.0,0.0,-95.59471725,43.61937516,0,1
"1027 N 8TH AVE E,DULUTH,MN,55805-1427",0.02704497219816329,0.0,0.0,-92.10000684,46.80178074,0,1
"1029 19TH AVE SW,WILLMAR,MN,56201",0.0,0.0,0.5,-95.05572405,45.10335953,0,1
"1029 19TH AVE SW,WILLMAR,MN,56201-5005",0.0,0.0,0.5,-95.05572405,45.10335953,0,1
"1029 3RD AVE,WORTHINGTON,MN,56187",1.0,0.0,0.0,-95.59554758,43.62020996,0,1
"1029 3RD AVE,WORTHINGTON,MN,56187-2398",2.0,0.0,0.0,-95.59554758,43.62020996,0,1
"1033 HELMO AVE N,OAKDALE,MN,55128-6032",0.5,0.0,0.0,-92.95173091,44.96424599,0,1
"1036 1ST AVE E STE 100,SHAKOPEE,MN,55379-1607",1.0,0.0,0.0,-93.51350235,44.80015544,0,1
"104 PLAINVIEW ST,EAGLE LAKE,MN,56024",1.0,0.0,0.0,-93.88436976,44.16427803,0,1
"104 W 2ND ST,CHASKA,MN,55318-2625",2.0,0.0,0.0,-93.60084615,44.78525323,0,1
"1041 MARION ST,SAINT PAUL,MN,55117-5175",0.010416666666666666,0.0,0.0,-93.10981981,44.97267625,0,1
"1043 E US HIGHWAY 169,GRAND RAPIDS,MN,55744-3165",1.0,0.0,0.0,-93.51262594,47.23608922,0,1
"10440 185TH ST W STE 200,LAKEVILLE,MN,55044-6680",0.0,0.0,0.6000000000000001,-93.27609385,44.68120264,0,1
