id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US31013951100,,"Census Tract 9511, Box Butte County, Nebraska",0,22,0,0,2,25,13,7,92,27,35,13,160,0,11,3,0,0,7,0,11,79,32,9,8,104,0,18,8,0,0,0,0,12,30,15,14,7,63,116.2,234.8,86,500,
1400000US31013951200,,"Census Tract 9512, Box Butte County, Nebraska",52,0,0,20,4,0,0,0,46,113,17,22,537,51,36,0,29,2,50,28,23,56,192,54,16,511,0,0,0,37,0,50,0,20,178,90,82,54,228,230,619,245,1322,
1400000US31013951300,,"Census Tract 9513, Box Butte County, Nebraska",31,128,18,5,6,4,41,7,17,59,6,11,270,0,0,22,0,27,1,40,14,23,60,70,13,358,13,56,0,41,36,0,42,0,102,35,21,12,348.5,211.9,267.6,133,961,
1400000US31015975800,,"Census Tract 9758, Boyd County, Nebraska",0,0,8,12,2,5,0,0,34,26,20,7,142,3,5,4,27,11,13,0,4,29,18,15,13,187,5,5,0,6,7,10,75,2,36,7,14,20,85,138.8,130.2,89,443,
1400000US31017975000,,"Census Tract 9750, Brown County, Nebraska",19,26,2,1,3,15,0,12,74,9,0,8,211,7,17,27,9,30,13,5,0,56,8,22,17,211,2,0,27,0,68,7,16,0,37,7,21,26,187.5,151.9,157.6,94,591,
1400000US31019968900,,"Census Tract 9689, Buffalo County, Nebraska",4,2,5,13,37,0,11,5,82,14,14,39,316,39,0,15,13,36,0,4,21,83,41,21,43,409,44,8,5,10,48,34,6,21,72,69,30,62,218.5,209.9,313.6,209,951,
1400000US31019969000,,"Census Tract 9690, Buffalo County, Nebraska",2,0,5,20,30,17,4,30,104,67,64,50,438,0,9,14,4,5,12,15,24,153,56,48,98,382,0,3,13,0,48,19,4,12,75,21,61,126,111.5,244.9,409.6,447,1213,
1400000US31019969100,,"Census Tract 9691, Buffalo County, Nebraska",63,0,53,11,49,7,45,13,142,82,17,25,414,27,7,24,31,70,12,9,15,108,63,17,31,439,17,3,7,51,18,18,0,10,119,102,39,55,362.5,271.3,542.2,184,1360,
1400000US31019969202,,"Census Tract 9692.02, Buffalo County, Nebraska",0,0,0,0,0,24,0,0,39,63,36,61,291,0,0,0,0,0,0,25,0,76,101,38,51,255,0,0,0,0,26,13,0,0,36,68,0,112,13,105.2,352.8,298,769,
1400000US31019969203,,"Census Tract 9692.03, Buffalo County, Nebraska",0,0,125,0,31,0,0,27,52,77,88,26,562,0,0,44,0,0,63,0,16,123,97,106,113,326,36,0,15,0,0,0,0,0,68,77,82,48,235.5,170.1,445.4,463,1314,
1400000US31019969204,,"Census Tract 9692.04, Buffalo County, Nebraska",0,0,0,19,0,0,0,0,33,100,48,169,338,0,0,0,35,0,15,0,0,56,85,68,79,519,0,0,0,16,0,15,0,0,91,132,70,195,70,66,461,629,1226,
1400000US31019969300,,"Census Tract 9693, Buffalo County, Nebraska",16,15,10,0,3,26,8,32,22,15,5,0,211,25,13,6,5,8,16,4,35,75,12,12,0,142,0,4,0,25,22,3,0,0,65,11,12,0,135.5,172.9,167.6,29,505,
1400000US31019969400,,"Census Tract 9694, Buffalo County, Nebraska",15,16,5,30,0,50,96,0,67,115,0,50,329,6,0,8,18,35,9,64,0,83,82,14,10,252,0,0,3,0,15,0,25,0,78,29,55,47,126,314.6,408.4,176,1025,
1400000US31019969500,,"Census Tract 9695, Buffalo County, Nebraska",75,10,1,0,18,0,0,17,0,5,25,0,101,57,8,3,0,0,5,0,10,18,0,0,0,70,23,0,0,0,0,0,0,0,42,0,5,0,186,53,53,30,322,
1400000US31019969600,,"Census Tract 9696, Buffalo County, Nebraska",29,21,41,70,26,0,7,12,31,26,25,0,204,6,49,61,0,33,0,0,5,20,17,4,9,351,7,0,99,49,61,0,0,21,24,51,13,26,492,120,154,77,843,
1400000US31019969700,,"Census Tract 9697, Buffalo County, Nebraska",0,51,201,38,84,0,139,0,59,117,112,36,503,0,25,95,17,15,12,9,0,79,128,97,26,296,30,0,0,35,15,0,20,0,21,43,31,101,549,268.8,415.2,403,1636,
1400000US31021963200,,"Census Tract 9632, Burt County, Nebraska",5,21,6,9,2,5,11,1,27,18,9,21,224,17,22,8,16,10,10,0,13,55,43,11,19,171,6,5,4,15,11,4,0,13,29,24,31,29,145.5,90.7,173.8,120,530,
1400000US31021963300,,"Census Tract 9633, Burt County, Nebraska",26,0,13,6,23,11,13,0,53,40,11,0,195,18,14,0,0,26,15,7,0,51,44,11,9,224,17,0,10,4,20,10,5,0,65,41,4,48,142.5,129.3,260.2,83,615,
1400000US31021963400,,"Census Tract 9634, Burt County, Nebraska",0,2,5,5,2,7,0,3,27,31,8,5,152,0,6,9,8,19,4,0,3,57,29,12,5,63,3,1,4,2,7,9,0,0,10,4,9,14,59,58.8,139.2,53,310,
1400000US31023967600,,"Census Tract 9676, Butler County, Nebraska",11,1,8,5,13,0,7,7,91,19,4,58,159,6,2,4,5,14,1,23,14,54,14,6,16,259,5,1,3,3,0,31,12,3,104,56,23,18,67.5,161.3,288.2,125,642,
1400000US31023967700,,"Census Tract 9677, Butler County, Nebraska",27,0,0,26,11,7,0,5,101,31,9,33,317,35,5,0,20,27,0,23,0,141,15,46,5,235,19,21,3,0,22,0,0,9,84,22,38,17,186,139.2,328.8,148,802,
