id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US18003004101,,"Census Tract 41.01, Allen County, Indiana",47,0,0,0,23,19,0,0,85,0,12,0,165,12,5,0,0,32,55,14,10,13,0,18,6,102,5,32,0,0,0,11,7,0,15,25,7,0,209.125,132.935,67.94,43,453,
1400000US18003004103,,"Census Tract 41.03, Allen County, Indiana",19,47,0,3,20,88,95,22,268,0,92,0,615,0,42,0,0,0,0,55,33,470,15,0,0,220,0,0,0,0,0,0,0,0,132,57,12,19,186,777.4,402.6,123,1489,
1400000US18003004300,,"Census Tract 43, Allen County, Indiana",49,64,31,0,6,3,0,0,16,0,0,0,264,58,50,38,48,20,14,0,0,36,0,0,0,159,52,26,9,38,15,12,0,0,0,7,0,0,522.125,43.115,26.76,0,592,
1400000US18003004400,,"Census Tract 44, Allen County, Indiana",23,96,156,38,18,17,0,0,61,38,0,9,518,66,104,131,36,16,31,0,0,86,38,0,10,348,93,29,135,47,13,0,15,0,0,6,0,10,1031,124.14,137.86,29,1322,
1400000US18003000500,,"Census Tract 5, Allen County, Indiana",81,76,55,28,0,30,0,0,39,16,7,33,163,38,12,31,24,5,17,0,0,27,9,0,0,356,103,7,134,8,13,27,0,46,18,0,0,0,661.25,125.83,56.92,40,884,
1400000US18003000600,,"Census Tract 6, Allen County, Indiana",54,12,32,9,33,0,25,15,14,6,0,13,186,28,13,3,37,10,11,49,7,20,0,0,8,99,26,5,6,27,19,3,0,3,7,3,0,0,322.75,129.67,24.58,21,498,
1400000US18003000701,,"Census Tract 7.01, Allen County, Indiana",39,99,0,18,22,9,0,9,28,16,26,0,244,0,34,8,28,21,30,0,0,84,0,34,5,270,42,94,25,20,31,10,0,0,23,21,0,4,511.625,111.075,88.3,69,780,
1400000US18003000704,,"Census Tract 7.04, Allen County, Indiana",68,19,0,0,17,0,0,5,13,0,0,0,118,31,0,0,0,0,61,18,0,0,0,0,8,243,31,0,0,56,0,61,11,0,48,0,12,24,298.25,117.57,23.18,44,483,
1400000US18003000800,,"Census Tract 8, Allen County, Indiana",107,0,0,17,13,88,0,22,154,67,10,0,352,0,9,10,25,41,79,21,8,64,49,37,9,159,0,0,9,52,21,10,0,0,51,16,0,0,414.625,284.155,234.22,56,989,
1400000US18003000900,,"Census Tract 9, Allen County, Indiana",18,40,19,33,0,0,0,0,105,17,0,0,294,62,0,8,120,15,0,0,14,24,23,0,28,214,0,0,34,116,32,7,0,14,0,11,0,0,501.375,110.605,100.02,28,740,
