,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
850,1400000US40047000200,"Census Tract 2, Garfield County, Oklahoma",2,5,0,0,14,0,0,3,57,28,51,19,255,0,12,0,8,21,11,19,0,82,73,22,7,256,8,8,9,0,45,14,6,0,53,70,16,27,132,72.2,343.8,142,690,
851,1400000US40047000600,"Census Tract 6, Garfield County, Oklahoma",7,0,0,135,138,0,0,0,58,96,6,16,742,6,17,0,5,13,82,4,0,222,80,73,240,441,0,0,51,0,0,25,10,0,65,209,40,41,372,155.5,695.5,416,1639,
852,1400000US40047000700,"Census Tract 7, Garfield County, Oklahoma",65,45,92,71,132,179,0,90,39,20,15,0,665,127,131,134,21,95,118,0,0,31,8,0,0,562,66,109,0,39,18,111,0,116,95,8,0,0,1145,630.5,184.5,15,1975,
448,1400000US40049681100,"Census Tract 6811, Garvin County, Oklahoma",75,10,7,53,19,19,3,8,36,5,18,6,305,16,28,15,48,19,20,7,7,120,2,10,13,274,8,14,24,19,14,18,17,7,116,9,2,26,369,133.2,260.8,75,838,
449,1400000US40049681200,"Census Tract 6812, Garvin County, Oklahoma",23,0,10,8,31,28,11,28,105,29,18,20,364,23,2,2,18,12,18,32,12,96,62,69,18,311,37,0,31,26,12,50,2,2,38,38,33,42,235,206.9,344.1,200,986,
450,1400000US40049681300,"Census Tract 6813, Garvin County, Oklahoma",0,11,18,43,62,36,0,0,9,33,0,10,192,10,11,0,16,62,22,0,11,31,14,9,6,293,18,10,0,30,98,12,0,10,44,14,28,29,389,99.4,136.6,82,707,
451,1400000US40049681400,"Census Tract 6814, Garvin County, Oklahoma",134,11,130,13,3,0,44,0,37,47,47,54,372,66,0,32,25,35,60,0,25,9,76,41,3,376,24,2,16,21,0,40,0,0,55,114,34,70,512,179.1,327.9,249,1268,
452,1400000US40049681500,"Census Tract 6815, Garvin County, Oklahoma",13,21,60,15,14,11,0,0,8,19,0,19,185,3,14,8,16,16,21,7,0,35,25,9,31,197,7,9,27,9,11,25,16,0,31,31,21,10,243,87.4,141.6,90,562,
453,1400000US40049681600,"Census Tract 6816, Garvin County, Oklahoma",22,12,9,10,6,16,24,3,15,13,0,10,141,43,6,2,18,13,14,0,11,5,16,5,8,140,14,0,5,14,11,23,3,20,5,18,17,10,185,116.5,69.5,50,421,
454,1400000US40049681700,"Census Tract 6817, Garvin County, Oklahoma",0,4,8,0,26,3,0,5,26,42,30,39,129,0,16,23,0,15,7,8,4,13,26,12,5,215,3,4,4,5,9,0,4,5,38,15,24,104,117,43.7,152.3,214,527,
455,1400000US40049681800,"Census Tract 6818, Garvin County, Oklahoma",16,4,0,21,0,40,22,0,56,17,21,9,200,0,5,0,43,0,20,11,0,65,47,9,0,198,8,0,0,23,9,8,0,35,90,9,0,16,129,157.1,262.9,55,604,
456,1400000US40049681900,"Census Tract 6819, Garvin County, Oklahoma",25,2,17,15,88,2,0,0,44,58,18,10,386,83,6,35,14,88,2,5,1,41,67,23,21,292,24,11,5,37,4,0,6,6,64,91,32,12,454,36.9,350.1,116,957,
904,1400000US40051000100,"Census Tract 1, Grady County, Oklahoma",22,0,11,5,0,45,0,4,6,0,0,0,111,47,0,21,11,9,14,0,4,0,0,5,0,93,25,0,25,14,0,9,0,4,12,0,0,4,190,81.8,16.2,9,297,
457,1400000US40051001000,"Census Tract 10, Grady County, Oklahoma",86,57,7,27,10,70,0,12,35,0,0,10,201,0,58,21,0,52,49,0,0,11,0,10,0,288,11,0,32,13,14,63,0,31,23,9,23,69,388,231.9,71.1,112,803,
864,1400000US40051000400,"Census Tract 4, Grady County, Oklahoma",0,40,71,21,26,25,0,0,36,14,20,74,299,9,38,53,0,12,0,0,11,78,41,25,32,326,20,6,31,11,11,41,19,22,48,34,27,56,349,134.2,234.8,234,952,
901,1400000US40051000500,"Census Tract 5, Grady County, Oklahoma",68,53,0,90,18,0,0,49,147,125,29,18,412,0,44,0,57,4,0,0,29,105,126,47,0,669,14,51,45,78,24,4,15,17,129,128,151,13,546,152.1,721.9,258,1678,
902,1400000US40051000600,"Census Tract 6, Grady County, Oklahoma",40,7,40,14,29,32,14,27,47,100,59,25,488,42,23,22,15,28,49,18,35,36,104,71,45,414,50,15,30,9,40,13,22,6,41,77,58,53,404,228.4,392.6,311,1336,
865,1400000US40051000700,"Census Tract 7, Grady County, Oklahoma",22,58,12,65,52,14,1,22,59,53,68,56,538,6,27,25,43,81,28,0,45,86,84,61,52,662,55,13,33,75,53,38,9,35,79,100,70,102,620,214.4,438.6,409,1682,
866,1400000US40051000800,"Census Tract 8, Grady County, Oklahoma",33,0,44,35,23,10,25,15,137,59,44,92,544,42,0,18,47,41,30,9,56,128,50,25,98,628,42,0,37,47,41,26,2,19,122,61,65,166,450,230.7,518.3,490,1689,
899,1400000US40051000901,"Census Tract 9.01, Grady County, Oklahoma",18,6,0,27,4,2,4,0,30,20,14,34,223,22,0,6,33,5,7,6,7,56,25,19,37,208,15,2,7,7,4,15,16,22,33,21,23,43,156,90.9,173.1,170,590,
903,1400000US40051000902,"Census Tract 9.02, Grady County, Oklahoma",0,0,0,27,50,57,13,56,29,60,108,31,420,0,0,0,21,20,15,8,25,81,50,82,118,709,0,26,0,48,30,0,0,0,150,96,143,216,222,200,440,698,1560,
900,1400000US40051000903,"Census Tract 9.03, Grady County, Oklahoma",0,1,0,0,15,0,22,11,103,235,53,123,777,17,15,13,0,55,12,11,84,176,129,27,238,1181,13,9,81,20,47,35,52,110,150,250,69,345,286,379.9,1000.1,855,2521,
335,1400000US40053956400,"Census Tract 9564, Grant County, Oklahoma",0,0,17,23,0,17,6,13,9,9,4,30,164,0,0,0,28,4,8,17,14,32,13,32,16,171,0,6,0,6,4,6,16,6,23,64,19,21,88,109.4,143.6,122,463,
334,1400000US40053956500,"Census Tract 9565, Grant County, Oklahoma",0,0,6,0,3,0,0,0,88,15,29,16,201,41,5,3,2,16,8,0,0,34,51,27,14,220,29,14,4,40,34,7,0,3,10,25,35,19,197,31.2,209.8,140,578,
337,1400000US40055967100,"Census Tract 9671, Greer County, Oklahoma",35,0,7,1,0,7,19,6,0,9,8,33,117,0,0,4,2,10,13,0,5,15,24,24,20,119,25,0,6,0,0,0,0,10,16,26,20,16,90,63.1,86.9,121,361,
336,1400000US40055967200,"Census Tract 9672, Greer County, Oklahoma",45,15,23,101,10,0,24,0,25,0,11,16,266,101,9,11,31,16,10,0,5,33,0,17,33,250,18,10,0,46,0,47,8,16,76,11,14,4,436,123.4,131.6,95,786,
585,1400000US40057967800,"Census Tract 9678, Harmon County, Oklahoma",24,19,6,51,6,2,3,4,32,38,0,0,291,16,20,4,50,23,6,9,5,78,43,0,37,169,4,0,15,5,2,24,0,2,29,21,32,35,245,68.9,227.1,104,645,
479,1400000US40059952100,"Census Tract 9521, Harper County, Oklahoma",0,0,0,13,29,29,0,0,33,6,10,12,152,12,0,0,18,13,30,0,12,46,0,15,6,100,7,0,0,0,26,0,0,9,20,7,4,27,118,89.9,102.1,74,384,
480,1400000US40059952200,"Census Tract 9522, Harper County, Oklahoma",22,30,14,5,52,0,0,0,4,5,55,29,243,0,15,20,13,13,0,0,0,100,37,28,17,170,22,8,0,8,21,0,0,0,53,51,0,7,243,15.7,234.3,136,629,
458,1400000US40061279100,"Census Tract 2791, Haskell County, Oklahoma",47,6,9,6,13,5,12,10,25,3,10,5,210,40,8,13,12,7,4,12,4,47,15,40,8,178,25,13,22,15,14,2,12,0,42,11,5,17,250,72.4,131.6,85,539,
459,1400000US40061279200,"Census Tract 2792, Haskell County, Oklahoma",84,34,70,27,14,12,0,12,72,20,12,17,295,28,51,14,5,4,33,34,9,26,25,49,17,344,21,31,29,33,23,21,17,13,48,22,36,50,468,165.6,198.4,181,1013,
460,1400000US40061279300,"Census Tract 2793, Haskell County, Oklahoma",19,3,8,18,15,21,11,4,35,16,6,14,266,17,9,17,17,25,28,15,8,49,44,8,29,301,19,10,23,47,46,10,8,10,58,33,16,21,293,129.2,220.8,94,737,
461,1400000US40061279400,"Census Tract 2794, Haskell County, Oklahoma",20,18,6,27,8,24,0,0,55,25,5,9,268,33,36,5,20,6,11,2,8,95,21,6,25,237,6,14,16,41,23,7,3,32,30,24,30,11,279,105,232,86,702,
462,1400000US40063484600,"Census Tract 4846, Hughes County, Oklahoma",24,35,2,7,10,0,2,0,27,8,8,0,200,19,15,30,18,25,4,8,8,20,35,18,0,262,21,33,58,34,12,1,5,0,48,32,4,14,343,37.5,160.5,44,585,
463,1400000US40063484700,"Census Tract 4847, Hughes County, Oklahoma",9,0,16,13,33,0,6,0,30,30,8,43,181,15,3,13,3,9,6,0,7,34,31,42,18,210,9,19,10,4,16,20,8,8,50,40,10,16,172,66.4,203.6,137,579,
464,1400000US40063484800,"Census Tract 4848, Hughes County, Oklahoma",0,18,53,11,39,7,10,7,18,0,0,5,216,19,13,41,52,21,0,7,14,34,15,0,0,190,43,32,37,3,19,0,0,0,56,0,0,0,401,55.8,112.2,5,574,
465,1400000US40063484900,"Census Tract 4849, Hughes County, Oklahoma",27,0,23,22,0,25,0,0,20,40,0,0,185,19,6,8,23,0,38,0,11,9,71,0,0,178,19,7,5,0,12,25,0,16,43,25,0,26,171,122.2,200.8,26,520,
466,1400000US40063485000,"Census Tract 4850, Hughes County, Oklahoma",24,52,22,10,4,8,0,5,66,9,7,38,205,26,21,33,9,7,0,8,5,46,42,0,8,205,8,5,30,13,34,6,2,3,35,43,5,21,298,51.7,226.3,79,655,
516,1400000US40065968100,"Census Tract 9681, Jackson County, Oklahoma",0,28,26,0,29,0,0,0,45,43,0,37,286,10,30,34,0,25,4,0,0,23,46,18,96,201,5,0,0,0,30,0,0,3,35,69,14,45,217,17.3,250.7,210,695,
514,1400000US40065968200,"Census Tract 9682, Jackson County, Oklahoma",22,36,18,0,0,0,0,0,34,25,16,0,192,10,41,23,0,0,0,0,0,49,53,16,0,136,0,8,9,5,0,0,3,6,38,35,28,4,172,21.1,221.9,64,479,
515,1400000US40065968300,"Census Tract 9683, Jackson County, Oklahoma",30,20,0,4,0,30,8,8,64,13,8,18,171,51,16,0,4,0,21,18,5,42,0,6,8,180,22,14,2,10,0,8,17,9,50,16,26,6,173,139.6,169.4,72,554,
519,1400000US40065968400,"Census Tract 9684, Jackson County, Oklahoma",50,0,0,61,0,23,0,0,104,152,26,32,289,0,0,0,0,52,34,0,0,47,57,0,99,417,0,0,0,118,0,29,0,0,99,35,37,99,281,111,469,293,1154,
517,1400000US40065968500,"Census Tract 9685, Jackson County, Oklahoma",22,0,0,0,0,55,22,13,169,71,14,0,308,0,0,0,15,0,74,22,15,90,67,11,14,265,0,0,0,13,22,0,0,32,67,59,48,24,72,265.6,490.4,111,939,
520,1400000US40065968600,"Census Tract 9686, Jackson County, Oklahoma",143,87,74,26,0,63,0,0,166,15,0,37,405,81,50,142,11,12,34,0,0,57,11,0,7,304,29,44,0,38,28,25,0,0,124,10,0,6,765,156.7,348.3,50,1320,
521,1400000US40065968700,"Census Tract 9687, Jackson County, Oklahoma",52,0,0,28,5,12,0,0,34,0,0,0,81,22,0,9,14,0,2,0,5,10,0,3,16,144,16,15,8,35,0,23,0,0,21,12,0,14,204,48.5,70.5,33,356,
518,1400000US40065968800,"Census Tract 9688, Jackson County, Oklahoma",23,50,0,47,29,23,15,0,17,30,7,0,239,60,21,0,10,23,48,0,0,61,7,0,9,291,36,35,0,0,11,50,56,14,18,29,33,9,345,215.6,152.4,58,771,
362,1400000US40067371600,"Census Tract 3716, Jefferson County, Oklahoma",21,13,7,11,15,21,0,0,22,13,3,3,168,28,8,29,10,10,15,3,1,41,21,2,0,174,29,6,16,15,16,14,3,3,25,28,14,5,234,68.8,141.2,27,471,
363,1400000US40067371700,"Census Tract 3717, Jefferson County, Oklahoma",28,13,5,12,30,8,3,2,20,11,2,5,146,29,6,7,18,12,19,6,2,15,7,19,6,121,19,3,11,31,4,10,4,5,8,17,9,0,228,63.3,73.7,41,406,
364,1400000US40067371800,"Census Tract 3718, Jefferson County, Oklahoma",72,27,15,12,0,5,11,12,22,19,0,12,164,28,10,34,23,15,1,17,0,31,0,0,5,220,19,6,9,44,17,19,20,12,28,18,3,25,331,105.1,109.9,45,591,
365,1400000US40069660198,"Census Tract 6601.98, Johnston County, Oklahoma",27,13,18,7,24,22,5,0,44,18,7,11,312,29,13,36,7,53,32,6,0,67,28,35,6,276,16,19,22,5,10,25,8,1,86,37,42,5,299,118.7,260.3,106,784,
366,1400000US40069660200,"Census Tract 6602, Johnston County, Oklahoma",65,74,20,51,39,0,0,0,41,50,0,9,324,14,108,0,27,33,15,0,2,39,63,0,23,389,50,43,42,44,5,60,0,0,33,48,3,61,615,88.3,262.7,96,1062,
367,1400000US40069660300,"Census Tract 6603, Johnston County, Oklahoma",29,13,20,29,21,15,14,12,41,26,6,9,262,8,14,20,11,15,19,15,23,71,31,17,18,218,7,17,14,7,9,46,6,19,42,37,9,5,234,184.4,232.6,64,715,
485,1400000US40071000100,"Census Tract 1, Kay County, Oklahoma",91,38,11,26,42,35,0,44,40,32,30,0,466,98,48,11,36,35,49,41,0,64,63,0,21,474,15,56,18,51,48,102,40,0,67,77,0,0,624,328.1,325.9,51,1329,
482,1400000US40071001100,"Census Tract 11, Kay County, Oklahoma",54,22,44,45,16,7,3,10,55,51,15,22,314,16,9,20,22,25,21,5,31,58,45,44,18,373,38,7,27,17,35,16,6,16,68,69,32,42,397,133.1,327.9,173,1031,
368,1400000US40071001200,"Census Tract 12, Kay County, Oklahoma",42,9,25,31,35,26,7,11,84,20,21,18,332,22,15,28,27,12,26,9,22,79,50,21,21,382,29,7,28,30,27,33,20,21,75,46,33,33,367,198.8,330.2,147,1043,
369,1400000US40071001301,"Census Tract 13.01, Kay County, Oklahoma",21,21,14,0,37,0,0,11,29,32,0,14,277,45,9,14,0,55,0,0,9,126,19,0,0,359,33,29,22,1,49,49,0,31,67,58,20,0,350,122.2,308.8,34,815,
370,1400000US40071001302,"Census Tract 13.02, Kay County, Oklahoma",0,106,0,27,60,2,6,0,110,157,4,28,285,1,13,21,2,23,2,6,4,120,66,15,12,288,25,34,39,10,4,20,9,3,81,32,17,14,365,83.1,534.9,90,1073,
487,1400000US40071000201,"Census Tract 2.01, Kay County, Oklahoma",9,7,0,15,0,20,0,0,120,53,0,9,235,0,6,15,0,0,21,16,20,64,52,22,19,254,8,0,0,48,0,19,8,20,54,35,34,28,108,147.8,354.2,112,722,
484,1400000US40071000202,"Census Tract 2.02, Kay County, Oklahoma",105,20,31,14,14,19,0,0,176,48,10,0,356,86,0,0,26,31,32,7,14,99,28,19,14,482,78,0,37,12,0,0,8,14,136,62,100,35,454,135.1,507.9,178,1275,
488,1400000US40071000300,"Census Tract 3, Kay County, Oklahoma",23,18,0,21,34,7,0,0,93,75,77,8,333,0,26,42,65,35,9,8,7,56,31,26,28,371,0,12,6,43,29,44,0,7,24,53,42,111,354,99.3,314.7,292,1060,
486,1400000US40071000400,"Census Tract 4, Kay County, Oklahoma",25,16,18,34,14,0,0,4,13,30,6,5,182,40,19,22,15,18,23,4,27,9,0,5,0,211,51,11,3,51,5,9,8,22,18,11,9,13,342,101,77,38,558,
483,1400000US40071000500,"Census Tract 5, Kay County, Oklahoma",79,19,46,6,34,23,0,9,20,39,22,46,474,111,64,57,15,70,79,0,20,37,21,0,0,364,87,44,11,19,63,37,0,8,43,32,20,0,725,186,182,88,1181,
481,1400000US40071000600,"Census Tract 6, Kay County, Oklahoma",12,24,15,14,6,15,0,4,60,15,52,27,305,48,37,29,10,4,17,0,11,75,18,18,38,372,33,16,31,28,5,9,0,24,67,31,30,98,312,100.2,245.8,263,921,
341,1400000US40073958100,"Census Tract 9581, Kingfisher County, Oklahoma",16,96,0,13,22,30,0,0,38,61,0,90,476,11,59,0,24,136,51,12,0,25,6,0,152,453,67,21,63,2,115,24,0,0,46,41,0,74,645,127.9,206.1,316,1295,
340,1400000US40073958200,"Census Tract 9582, Kingfisher County, Oklahoma",6,0,0,20,24,3,0,12,74,37,18,40,180,9,0,14,35,17,0,0,0,21,23,37,24,190,2,17,0,0,50,0,9,7,15,17,42,31,194,42,176,192,604,
339,1400000US40073958300,"Census Tract 9583, Kingfisher County, Oklahoma",0,0,0,7,36,25,80,0,99,80,36,80,707,230,0,0,0,18,0,146,0,229,56,0,28,560,0,9,12,12,0,0,0,12,193,63,87,172,324,315.1,667.9,403,1710,
338,1400000US40073958400,"Census Tract 9584, Kingfisher County, Oklahoma",10,14,10,10,0,0,0,3,53,39,29,17,205,32,6,0,12,0,5,0,0,87,18,15,30,197,2,15,14,2,0,16,0,0,28,44,44,32,127,40.8,252.2,167,587,
90,1400000US40075963600,"Census Tract 9636, Kiowa County, Oklahoma",26,0,0,9,20,0,0,0,21,11,0,5,96,38,0,0,3,0,3,0,3,23,17,0,9,74,10,0,0,19,0,0,0,3,8,18,10,6,125,14.2,92.8,30,262,
89,1400000US40075963700,"Census Tract 9637, Kiowa County, Oklahoma",103,12,0,17,11,0,61,0,87,0,0,12,219,112,22,0,15,8,2,15,0,36,0,0,9,330,98,20,6,62,13,4,44,0,54,19,0,10,499,143.7,178.3,31,852,
88,1400000US40075964200,"Census Tract 9642, Kiowa County, Oklahoma",43,48,10,5,9,17,21,38,92,29,14,13,249,16,19,9,19,26,5,2,47,59,10,17,20,324,9,28,12,1,37,9,22,50,103,24,18,11,291,236.4,291.6,93,912,
371,1400000US40077087100,"Census Tract 871, Latimer County, Oklahoma",7,8,19,6,4,11,0,0,9,9,7,15,165,4,18,7,8,23,16,5,16,25,21,16,6,190,7,21,0,4,8,24,12,9,42,18,15,30,144,100.6,116.4,89,450,
372,1400000US40077087200,"Census Tract 872, Latimer County, Oklahoma",72,22,61,71,4,46,0,50,58,61,0,1,346,39,35,55,9,21,8,7,23,75,59,5,10,466,27,14,56,20,37,17,16,32,150,36,49,12,543,227.3,410.7,77,1258,
373,1400000US40077087300,"Census Tract 873, Latimer County, Oklahoma",22,7,13,29,5,0,9,0,41,21,12,7,179,28,0,17,6,9,0,24,3,57,8,9,18,170,33,9,18,0,11,6,9,15,52,0,14,3,207,81,164,63,515,
127,1400000US40079040102,"Census Tract 401.02, Le Flore County, Oklahoma",95,48,44,48,15,21,0,4,54,44,34,28,407,77,39,25,37,6,62,2,21,74,22,19,23,316,53,7,19,13,15,28,1,14,77,46,33,10,541,173.5,296.5,147,1158,
129,1400000US40079040198,"Census Tract 401.98, Le Flore County, Oklahoma",13,30,8,0,13,0,0,29,18,7,0,0,206,8,15,54,35,0,23,0,26,15,23,7,0,153,39,14,22,9,11,11,0,16,15,5,11,0,271,109.8,78.2,18,477,
374,1400000US40079040299,"Census Tract 402.99, Le Flore County, Oklahoma",24,14,20,41,50,0,0,0,72,26,34,17,268,36,24,32,24,10,0,0,8,65,28,22,19,337,19,47,26,46,32,10,0,0,67,43,24,23,445,38.4,280.6,139,903,
128,1400000US40079040301,"Census Tract 403.01, Le Flore County, Oklahoma",69,25,24,59,32,27,52,27,43,28,55,50,455,66,16,16,40,41,39,0,77,49,37,74,0,492,55,39,27,43,29,9,24,69,43,65,73,16,581,337.5,251.5,268,1438,
130,1400000US40079040302,"Census Tract 403.02, Le Flore County, Oklahoma",71,14,8,16,4,23,6,14,31,33,55,7,385,58,13,66,12,21,8,3,23,64,37,31,49,325,35,8,15,12,27,39,16,16,72,12,34,39,380,164.7,232.3,215,992,
375,1400000US40079040303,"Census Tract 403.03, Le Flore County, Oklahoma",10,66,20,22,24,5,9,2,31,15,8,54,298,33,30,13,18,20,16,31,0,76,61,0,0,296,29,21,6,3,26,17,10,0,66,24,58,36,341,107.3,255.7,156,860,
376,1400000US40079040401,"Census Tract 404.01, Le Flore County, Oklahoma",136,0,0,30,34,51,18,14,21,16,0,56,411,48,75,54,15,50,12,0,0,50,85,0,22,337,7,47,26,20,39,11,10,0,97,27,0,53,581,132.8,279.2,131,1124,
377,1400000US40079040402,"Census Tract 404.02, Le Flore County, Oklahoma",75,13,49,8,63,15,25,0,28,9,18,0,336,33,0,55,41,52,24,0,0,48,47,23,13,237,52,0,12,19,15,54,0,0,29,27,12,17,487,128.5,177.5,83,876,
131,1400000US40079040500,"Census Tract 405, Le Flore County, Oklahoma",78,29,10,12,14,27,2,4,46,77,8,21,387,20,25,32,25,13,12,4,9,85,95,23,44,519,27,33,12,53,21,6,8,14,99,50,99,97,404,109,429,292,1234,
378,1400000US40079040601,"Census Tract 406.01, Le Flore County, Oklahoma",42,36,65,24,44,7,7,34,37,19,16,0,253,27,53,43,9,32,7,6,10,53,10,3,0,269,21,30,42,12,26,21,9,5,59,17,9,18,506,120.9,180.1,46,853,
379,1400000US40079040602,"Census Tract 406.02, Le Flore County, Oklahoma",46,9,16,28,10,35,6,16,33,55,33,7,356,54,17,34,11,69,25,24,20,21,49,30,2,525,58,49,10,26,106,14,2,6,136,81,26,11,543,167,356,109,1175,
126,1400000US40079040700,"Census Tract 407, Le Flore County, Oklahoma",30,16,31,21,0,5,0,3,29,28,11,7,229,34,18,13,66,13,14,17,3,20,14,7,10,234,27,14,3,27,15,7,12,15,55,33,8,18,328,86.4,168.6,61,644,
380,1400000US40081961100,"Census Tract 9611, Lincoln County, Oklahoma",20,29,22,23,0,42,0,0,113,77,0,18,332,38,7,30,22,0,33,0,6,86,56,26,28,374,43,9,6,3,22,5,0,31,108,57,63,27,274,147.7,466.3,162,1050,
381,1400000US40081961200,"Census Tract 9612, Lincoln County, Oklahoma",39,34,22,24,35,21,29,12,36,40,18,32,387,38,14,14,28,55,29,0,4,119,51,6,29,321,22,42,23,16,43,4,23,10,65,45,9,19,449,154,334,113,1050,
382,1400000US40081961300,"Census Tract 9613, Lincoln County, Oklahoma",39,7,29,51,52,12,18,16,76,32,22,23,414,39,5,35,19,64,25,13,8,126,40,34,6,483,31,21,19,30,29,31,31,9,102,74,63,43,470,193.4,419.6,191,1274,
383,1400000US40081961400,"Census Tract 9614, Lincoln County, Oklahoma",14,28,58,22,32,5,42,43,162,44,13,31,634,31,33,48,16,52,24,40,10,210,69,36,65,771,42,69,31,38,32,61,18,27,161,96,105,91,546,323.3,688.7,341,1899,
384,1400000US40081961500,"Census Tract 9615, Lincoln County, Oklahoma",9,0,0,52,38,18,0,0,40,38,0,22,332,19,0,0,52,57,20,18,14,42,61,40,9,318,21,0,16,14,11,9,0,26,73,27,40,81,289,120.5,265.5,192,867,
385,1400000US40081961600,"Census Tract 9616, Lincoln County, Oklahoma",17,7,12,10,3,42,7,0,54,26,17,8,259,9,1,6,14,18,14,5,0,54,71,16,51,260,5,3,17,14,30,27,4,8,21,25,34,72,166,119.9,238.1,198,722,
386,1400000US40081961700,"Census Tract 9617, Lincoln County, Oklahoma",106,17,40,21,16,83,7,6,70,57,11,29,483,55,12,59,28,24,71,0,58,92,23,42,19,449,11,26,9,36,39,31,7,13,123,45,27,82,499,304.5,381.5,210,1395,
490,1400000US40083600100,"Census Tract 6001, Logan County, Oklahoma",0,0,9,0,13,74,0,11,126,25,14,0,383,28,7,50,0,8,33,0,7,186,30,16,18,400,0,23,86,0,38,37,0,0,144,58,14,0,262,207.6,523.4,62,1055,
493,1400000US40083600200,"Census Tract 6002, Logan County, Oklahoma",42,0,0,0,0,2,0,32,34,30,0,27,112,9,0,17,12,6,0,8,0,37,0,0,23,315,119,15,0,19,13,0,0,0,83,0,0,66,252,57.4,168.6,116,594,
494,1400000US40083600300,"Census Tract 6003, Logan County, Oklahoma",8,47,54,0,13,17,16,0,45,29,31,7,234,0,23,92,0,25,19,0,0,34,23,6,12,162,0,27,11,16,44,8,0,0,26,11,19,0,360,70.5,157.5,75,663,
867,1400000US40083600400,"Census Tract 6004, Logan County, Oklahoma",32,15,0,0,107,0,57,0,109,78,95,215,909,77,9,134,28,28,0,72,0,121,13,83,344,702,70,0,30,18,10,0,31,0,95,90,54,304,558,192.5,473.5,1095,2319,
491,1400000US40083600500,"Census Tract 6005, Logan County, Oklahoma",0,0,21,68,137,36,0,16,224,96,90,117,742,43,0,33,127,36,0,0,0,245,77,72,109,547,25,0,41,5,0,0,0,0,213,0,212,51,536,120.2,786.8,651,2094,
489,1400000US40083600600,"Census Tract 6006, Logan County, Oklahoma",49,0,6,2,5,5,5,3,44,65,33,20,294,48,4,15,1,90,5,0,6,17,74,14,20,231,23,2,29,15,0,11,0,14,58,44,14,21,289,60.9,290.1,122,762,
492,1400000US40083600700,"Census Tract 6007, Logan County, Oklahoma",50,0,3,11,16,8,28,0,16,70,29,14,319,79,0,12,12,42,11,3,0,70,21,18,51,392,62,7,40,38,59,21,41,0,60,37,12,15,431,126.6,259.4,139,956,
868,1400000US40083600800,"Census Tract 6008, Logan County, Oklahoma",10,0,0,0,44,15,0,0,129,139,84,242,750,3,0,59,0,3,0,15,0,147,152,89,282,855,1,0,19,0,0,0,5,39,156,242,101,292,139,117.2,921.8,1090,2268,
387,1400000US40085094100,"Census Tract 941, Love County, Oklahoma",44,36,15,32,21,79,39,14,32,16,0,0,311,40,37,0,45,51,24,16,14,52,32,0,0,269,57,45,0,27,15,6,23,18,24,43,6,5,465,243.8,188.2,11,908,
388,1400000US40085094200,"Census Tract 942, Love County, Oklahoma",9,0,11,26,37,6,0,4,40,73,53,13,429,13,6,16,9,58,19,19,2,134,107,10,36,404,17,9,7,18,19,13,0,12,124,132,15,38,255,104.8,580.2,165,1105,
389,1400000US40085094300,"Census Tract 943, Love County, Oklahoma",0,0,0,0,0,14,0,0,23,42,11,20,133,14,0,12,6,0,5,0,0,51,24,21,0,163,26,0,23,7,0,0,0,0,27,43,20,17,88,29.1,199.9,89,406,
