,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
513,1400000US40009966500,"Census Tract 9665, Beckham County, Oklahoma",0,32,22,9,0,9,0,0,33,28,0,6,139,0,34,7,36,0,6,0,0,31,17,0,8,140,0,7,53,20,0,7,0,0,5,20,11,17,220,28.9,127.1,42,418,
511,1400000US40009966800,"Census Tract 9668, Beckham County, Oklahoma",62,10,14,0,0,0,3,0,59,62,25,91,445,55,0,9,37,0,0,3,20,111,105,84,21,379,50,0,64,24,0,14,0,12,87,50,43,35,325,77.7,448.3,299,1150,
331,1400000US40011958600,"Census Tract 9586, Blaine County, Oklahoma",3,0,0,25,41,7,0,0,46,3,2,4,150,0,2,16,29,12,11,0,0,63,6,4,7,76,2,21,4,4,20,0,0,0,12,5,0,8,179,30.1,122.9,25,357,
332,1400000US40011958700,"Census Tract 9587, Blaine County, Oklahoma",23,0,0,1,17,0,0,0,37,6,14,17,146,8,0,8,20,36,0,8,0,0,32,25,9,134,0,8,16,1,29,0,7,0,12,44,0,17,167,19.9,126.1,82,395,
330,1400000US40011958800,"Census Tract 9588, Blaine County, Oklahoma",13,0,1,22,0,0,0,0,14,26,0,0,58,4,0,2,2,0,0,0,0,30,0,14,6,90,3,0,0,0,3,0,0,0,11,18,30,25,50,5.5,93.5,75,224,
333,1400000US40011958900,"Census Tract 9589, Blaine County, Oklahoma",5,31,0,2,113,0,0,0,10,0,0,0,165,0,14,10,1,1,20,0,0,29,0,33,57,181,0,8,11,3,2,4,0,0,41,30,48,34,201,32,102,172,507,
329,1400000US40011959000,"Census Tract 9590, Blaine County, Oklahoma",1,31,0,44,0,0,8,11,74,17,9,7,185,8,32,0,36,9,15,10,1,37,17,12,8,140,1,32,0,12,15,2,0,0,18,19,12,29,221,59.9,169.1,77,527,
206,1400000US40013795600,"Census Tract 7956, Bryan County, Oklahoma",8,2,14,15,12,6,0,15,36,19,16,12,124,8,9,13,2,16,4,0,0,34,15,20,3,212,11,20,6,4,18,7,0,5,62,16,47,16,158,50.2,168.8,114,491,
207,1400000US40013795700,"Census Tract 7957, Bryan County, Oklahoma",35,6,9,24,33,3,8,8,34,52,2,0,287,64,9,27,27,49,0,8,7,41,32,8,15,423,25,31,27,49,56,24,4,2,90,56,18,41,471,80.5,288.5,84,924,
279,1400000US40013795900,"Census Tract 7959, Bryan County, Oklahoma",6,2,23,8,3,3,0,1,28,16,6,0,115,8,8,21,11,8,4,0,0,32,12,11,0,105,10,5,6,7,9,10,2,7,19,12,13,5,135,34.9,111.1,35,316,
280,1400000US40013796001,"Census Tract 7960.01, Bryan County, Oklahoma",3,38,12,88,60,63,3,0,130,72,60,103,494,8,88,7,59,37,22,6,6,101,22,61,77,613,21,103,6,49,30,30,58,5,164,46,14,87,609,232.5,495.5,402,1739,
281,1400000US40013796002,"Census Tract 7960.02, Bryan County, Oklahoma",67,24,6,33,39,16,0,4,70,40,16,28,398,41,16,22,98,25,26,6,4,75,55,25,5,381,46,6,17,24,73,18,27,15,53,35,30,37,537,135.8,308.2,141,1122,
282,1400000US40013796100,"Census Tract 7961, Bryan County, Oklahoma",78,59,87,81,24,31,0,0,183,97,29,94,752,107,52,79,125,31,64,0,0,93,45,102,54,741,33,30,12,51,39,81,50,0,178,54,64,149,888,271.4,604.6,492,2256,
283,1400000US40013796200,"Census Tract 7962, Bryan County, Oklahoma",39,25,25,31,41,28,0,0,30,63,19,10,267,0,11,69,48,27,45,0,0,20,11,36,0,173,5,11,33,19,0,24,0,34,18,0,29,0,384,137.8,135.2,94,751,
284,1400000US40013796300,"Census Tract 7963, Bryan County, Oklahoma",36,23,0,39,12,5,2,10,38,10,4,4,163,22,29,0,32,6,17,6,5,33,0,7,6,153,7,41,0,19,5,9,0,14,34,8,0,16,271,78.5,112.5,37,499,
285,1400000US40013796400,"Census Tract 7964, Bryan County, Oklahoma",30,19,16,27,26,20,0,5,26,23,0,0,271,34,38,5,36,26,5,0,15,70,25,0,17,158,22,15,30,11,12,7,0,21,30,0,0,10,347,85.6,161.4,27,621,
286,1400000US40013796500,"Census Tract 7965, Bryan County, Oklahoma",51,0,14,5,15,6,0,8,26,6,26,0,163,10,0,6,6,20,3,0,0,68,22,7,21,192,13,7,20,12,25,0,4,17,28,33,0,33,204,50.2,170.8,87,512,
287,1400000US40013796600,"Census Tract 7966, Bryan County, Oklahoma",12,12,11,22,62,10,0,0,63,74,56,0,363,18,5,1,31,66,46,0,0,78,17,66,35,494,13,22,4,43,31,100,1,0,46,64,83,87,353,175.7,323.3,327,1179,
288,1400000US40015161600,"Census Tract 1616, Caddo County, Oklahoma",18,13,18,23,20,66,29,8,176,34,63,34,477,6,11,19,23,52,54,25,6,116,27,84,54,505,33,4,11,21,70,68,37,9,97,41,53,61,342,340.9,452.1,349,1484,
289,1400000US40015161700,"Census Tract 1617, Caddo County, Oklahoma",0,12,37,9,20,7,12,21,60,13,15,7,189,12,4,20,6,8,14,6,5,52,23,13,26,152,23,3,18,3,15,6,4,3,39,13,15,10,190,93.1,184.9,86,554,
290,1400000US40015161800,"Census Tract 1618, Caddo County, Oklahoma",16,46,32,34,12,12,7,3,35,10,12,16,304,23,62,72,24,3,8,2,4,41,20,15,30,281,11,18,49,40,13,14,6,7,44,27,23,29,455,75,165,125,820,
291,1400000US40015161900,"Census Tract 1619, Caddo County, Oklahoma",8,16,12,13,6,0,4,0,20,3,10,0,120,19,10,9,0,19,0,0,11,28,10,9,5,146,9,0,28,9,3,29,0,11,13,21,12,11,161,61.1,88.9,47,358,
292,1400000US40015162000,"Census Tract 1620, Caddo County, Oklahoma",50,2,34,23,0,15,12,19,51,19,8,11,249,25,9,17,17,0,12,14,21,72,26,7,29,280,23,0,12,12,2,20,0,16,64,62,18,51,226,147.7,275.3,124,773,
293,1400000US40015162100,"Census Tract 1621, Caddo County, Oklahoma",98,118,148,105,72,4,0,84,92,15,52,23,698,53,77,66,45,82,79,33,74,87,28,30,44,705,34,64,103,54,33,47,21,53,102,47,80,67,1152,423.1,342.9,296,2214,
294,1400000US40015162200,"Census Tract 1622, Caddo County, Oklahoma",28,0,5,31,0,0,18,11,22,29,0,0,153,28,26,5,41,0,0,0,13,5,35,0,0,192,27,46,16,24,0,11,0,0,27,26,10,5,277,58.4,138.6,15,489,
295,1400000US40015162300,"Census Tract 1623, Caddo County, Oklahoma",36,37,0,13,12,19,13,0,33,17,7,7,202,37,10,0,14,21,14,14,0,37,43,8,4,220,7,0,0,39,9,51,11,15,14,44,13,17,235,145.4,179.6,56,616,
567,1400000US40017300100,"Census Tract 3001, Canadian County, Oklahoma",40,12,18,0,2,22,22,26,64,36,9,26,218,26,8,9,0,7,2,0,11,93,30,16,16,228,0,22,12,4,24,0,21,7,47,44,11,36,184,131.4,293.6,114,723,
580,1400000US40017300201,"Census Tract 3002.01, Canadian County, Oklahoma",0,0,0,0,18,43,0,24,96,123,55,136,640,0,0,23,31,4,10,0,0,75,107,149,241,717,2,0,32,0,21,0,0,36,95,41,162,328,131,139.6,510.4,1071,1852,
568,1400000US40017300202,"Census Tract 3002.02, Canadian County, Oklahoma",16,10,0,51,18,30,25,0,55,44,13,45,365,0,8,16,25,39,16,9,21,102,39,45,45,398,8,3,11,90,28,4,11,5,112,48,29,49,323,147.9,373.1,226,1070,
581,1400000US40017300300,"Census Tract 3003, Canadian County, Oklahoma",0,16,9,20,61,45,14,0,99,0,0,0,428,27,9,127,0,39,46,0,0,135,36,9,0,394,62,0,75,0,0,9,0,0,112,121,10,5,445,148.6,468.4,24,1086,
569,1400000US40017300400,"Census Tract 3004, Canadian County, Oklahoma",13,0,0,18,0,0,0,0,0,0,0,0,121,72,6,0,12,0,0,0,5,26,0,0,0,69,0,0,0,12,0,4,0,0,38,5,0,10,133,15.4,62.6,10,221,
570,1400000US40017300500,"Census Tract 3005, Canadian County, Oklahoma",92,42,298,61,52,0,0,17,62,36,49,0,396,51,0,136,97,27,0,0,16,18,0,51,0,223,26,0,102,7,0,0,0,0,24,64,0,0,991,43.4,193.6,100,1328,
