idx,IKN_addr,general,hygienist,pediatric,specialist,X,Y,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
37,"101 HAMILTON CREEK RD,FRISCO,CO,80443",0.3928571428571429,0.25,0.0,0.0,39.57574,-106.10368999999999,0,1,0.7857142857142858,0.0
39,"101 S MAPLE ST STE B,CORTEZ,CO,81321-3562",1.0,0.0,0.0,0.0,37.34726363,-108.59038500000001,0,1,2.0,0.0
40,"101 S MESA AVE,MONTROSE,CO,81401-3943",0.3333333333333333,0.0,0.0,0.0,38.48076126,-107.87245039999999,0,1,0.6666666666666666,0.0
41,"101 SUNDIAL DR STE A,WOODLAND PARK,CO,80863-7769",1.0,0.0,0.0,0.05882352941176471,38.97239836,-105.0357513,0,1,2.0,0.0
42,"101 W HAMPDEN AVE UNIT A,ENGLEWOOD,CO,80110-2475",0.8333333333333333,0.0,0.0,0.0,39.65302168,-104.98995149999999,0,1,1.6666666666666665,0.0
44,"10103 RIDGEGATE PKWY STE 214,LONE TREE,CO,80124-5525",0.0,0.0,0.0,1.0,39.52826472,-104.87311580000001,0,1,0.0,0.0
45,"10106 W SAN JUAN WAY STE 120,LITTLETON,CO,80127-6333",1.3333333333333333,0.0,0.0,0.05882352941176471,39.56328515,-105.11195579999999,0,1,2.6666666666666665,0.0
46,"1012 BELMONT AVE,LA JUNTA,CO,81050-2101",0.6,0.0,0.0,0.0,37.97970553,-103.5555619,0,1,1.2,0.0
47,"10120 E DRY CREEK RD STE 100,ENGLEWOOD,CO,80112-2772",0.0,0.0,0.0,0.6666666666666666,39.58035755,-104.8720696,0,1,0.0,0.0
48,"1013 S FEDERAL BLVD,DENVER,CO,80219-4101",1.0,0.0,0.0,0.0,39.698127,-105.02512820000001,0,1,2.0,0.0
49,"10146 W SAN JUAN WAY UNIT 210,LITTLETON,CO,80127-6326",0.0,0.0,0.0,0.6666666666666666,39.56397172,-105.11217690000001,0,1,0.0,0.0
50,"10146 W SAN JUAN WAY UNIT 220,LITTLETON,CO,80127-6326",0.0,0.0,0.5,0.0,39.56397172,-105.11217690000001,0,1,0.0,1.0
51,"1015 S TAFT HILL RD STE K,FORT COLLINS,CO,80521-4240",1.0,0.0,0.0,0.0,40.57432208,-105.1151197,0,1,2.0,0.0
52,"1016 MIDDLE CREEK PKWY,COLORADO SPRINGS,CO,80921-2544",1.0,0.0,0.0,0.0,39.01156915,-104.807061,0,1,2.0,0.0
53,"10160 W 50TH AVE UNIT 1,WHEAT RIDGE,CO,80033-2339",0.3333333333333333,0.0,0.0,0.25,39.78683594,-105.1113074,0,1,0.6666666666666666,0.0
54,"1017 CHESTNUT ST,CANON CITY,CO,81212-4733",0.0,1.0,0.0,0.0,38.43123097,-105.246556,0,1,0.0,0.0
