idx,IKN_addr,general,hygienist,pediatric,specialist,X,Y,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
424,"2020 WADSWORTH BLVD STE 18A,LAKEWOOD,CO,80214-5730",0.25,0.0,0.0,0.6845238095238095,39.74808552,-105.0813747,1,0,0.5,0.0
425,"2020 WADSWORTH BLVD STE 9,LAKEWOOD,CO,80214-5730",4.791341991341992,0.14285714285714285,0.0,0.2,39.74808552,-105.0813747,1,0,9.582683982683983,0.0
426,"2025 W EVANS AVE,DENVER,CO,80223-3815",0.25,0.0,0.0,0.0,39.6786935,-105.01176129999999,1,0,0.5,0.0
427,"2025 W US HIGHWAY 50 STE 100A,PUEBLO,CO,81008-1571",3.2,0.0,0.0,0.0,38.31016744,-104.6335935,1,0,6.4,0.0
428,"20269 E SMOKY HILL RD UNIT H,CENTENNIAL,CO,80015-3112",1.0,0.0,0.0,0.0,39.61152899,-104.7515625,1,0,2.0,0.0
429,"203 S ROLLIE AVE,FORT LUPTON,CO,80621-1508",1.8798533767574008,0.18181818181818185,0.2060897435897436,0.0,40.07778258,-104.8047184,1,0,3.7597067535148017,0.4121794871794872
430,"2030 LAKE AVE,PUEBLO,CO,81004-3536",7.333333333333332,3.0,0.0,1.5,38.23201069,-104.6246304,1,0,14.666666666666664,0.0
431,"2041 PEPPER LN,PUEBLO,CO,81005-3276",3.1166666666666663,0.0,0.0,0.3689655172413793,38.22955216,-104.6646285,1,0,6.2333333333333325,0.0
432,"2044 CLINTON ST UNIT B,AURORA,CO,80010-1003",0.3333333333333333,1.0,0.0,0.0,39.74822952,-104.8775183,1,0,0.6666666666666666,0.0
434,"2045 SHERIDAN BLVD,EDGEWATER,CO,80214-1304",0.08333333333333333,0.0,0.0,0.0,39.74844938,-105.05329990000001,1,0,0.16666666666666666,0.0
435,"2047 COLUMBIA DR STE A,PUEBLO,CO,81005-3279",0.3333333333333333,0.0,0.0,0.0,38.22927316,-104.6633185,1,0,0.6666666666666666,0.0
436,"2047 COLUMBIA DR,PUEBLO,CO,81005-3279",1.0,0.0,0.0,0.0,38.22927316,-104.6633185,1,0,2.0,0.0
437,"2055 KEN PRATT BLVD STE B,LONGMONT,CO,80501-6596",0.0,0.0,0.625,0.0,40.14344974,-105.12809920000001,1,0,0.0,1.25
438,"206 E PABOR AVE,FRUITA,CO,81521-2223",0.0,0.0,0.0,0.4,39.16066253,-108.732141,1,0,0.0,0.0
439,"209 W LITTLETON BLVD STE B,LITTLETON,CO,80120-2371",3.6666666666666665,0.0,0.0,0.0,39.61332747,-104.990751,1,0,7.333333333333333,0.0
