,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
105,1400000US33003955400,"Census Tract 9554, Carroll County, New Hampshire",66,22,0,8,27,0,0,11,171,0,7,19,382,0,43,0,9,16,9,10,0,162,86,31,16,271,25,43,12,36,31,0,0,9,50,56,9,0,377,425.6,99.4,82,984,
97,1400000US33003955500,"Census Tract 9555, Carroll County, New Hampshire",0,0,0,21,0,0,0,0,37,31,7,57,116,7,22,0,22,0,5,0,0,22,14,0,24,226,23,0,0,6,6,0,0,7,93,73,7,11,119,187.4,82.6,106,495,
102,1400000US33003955600,"Census Tract 9556, Carroll County, New Hampshire",21,17,0,21,4,21,4,0,55,67,3,21,304,0,8,30,58,4,3,2,10,99,0,19,71,259,3,6,25,55,2,6,0,4,12,18,32,96,304,191.5,59.5,242,797,
98,1400000US33003955800,"Census Tract 9558, Carroll County, New Hampshire",8,0,11,39,0,6,0,29,14,25,5,0,190,7,0,25,23,0,15,0,8,28,58,6,20,192,15,0,16,26,10,20,0,0,46,31,13,15,258,122.2,79.8,59,519,
99,1400000US33003955900,"Census Tract 9559, Carroll County, New Hampshire",0,38,70,0,0,0,14,40,28,29,0,8,196,0,26,19,0,28,0,28,0,56,32,0,7,161,0,0,0,0,0,0,14,0,16,22,43,66,277,124.9,58.1,124,584,
96,1400000US33003956000,"Census Tract 9560, Carroll County, New Hampshire",0,0,0,62,0,90,0,10,38,46,21,17,291,0,0,0,7,0,13,0,16,116,80,6,53,254,0,4,0,0,19,3,0,0,64,24,103,37,224,263,105,237,829,
101,1400000US33003956100,"Census Tract 9561, Carroll County, New Hampshire",0,0,0,0,117,0,22,0,0,0,0,34,288,0,0,0,24,0,39,0,0,0,132,74,19,394,0,0,0,46,0,0,0,0,0,131,59,158,248,78.9,184.1,344,855,
104,1400000US33003956300,"Census Tract 9563, Carroll County, New Hampshire",0,0,0,50,23,0,0,0,54,8,0,15,220,14,7,0,20,24,0,0,0,37,84,0,34,329,35,0,16,0,48,0,0,0,49,26,0,155,237,175.4,82.6,204,699,
100,1400000US33003956400,"Census Tract 9564, Carroll County, New Hampshire",0,0,7,0,64,0,6,0,24,4,0,0,89,0,0,9,4,10,0,0,0,18,34,3,11,135,0,0,0,5,0,0,0,0,67,24,23,16,105,127.6,43.4,53,329,
214,1400000US33005970100,"Census Tract 9701, Cheshire County, New Hampshire",57,0,6,12,27,0,0,6,42,41,41,39,235,21,6,1,32,6,0,0,4,43,41,31,50,306,47,6,0,20,11,7,0,33,35,56,49,42,302,161.4,96.6,252,812,
209,1400000US33005970200,"Census Tract 9702, Cheshire County, New Hampshire",0,0,0,0,0,0,0,0,36,35,0,76,197,0,0,0,0,0,0,0,0,17,32,57,91,354,0,0,0,0,0,0,0,14,60,109,93,78,14,165.8,123.2,395,698,
210,1400000US33005970400,"Census Tract 9704, Cheshire County, New Hampshire",4,0,2,22,18,29,8,13,53,49,56,43,318,19,9,2,11,15,16,0,2,44,79,58,63,284,10,0,8,9,10,0,2,0,56,69,60,60,209,212.1,137.9,340,899,
217,1400000US33005970500,"Census Tract 9705, Cheshire County, New Hampshire",0,0,31,0,38,21,0,0,0,0,19,0,478,0,0,108,13,28,0,0,0,73,149,37,70,535,0,28,65,0,59,0,0,0,227,12,72,72,391,348.3,112.7,270,1122,
219,1400000US33005970600,"Census Tract 9706, Cheshire County, New Hampshire",0,0,0,12,35,23,0,68,58,74,27,121,522,0,0,6,48,34,0,0,44,134,191,44,21,311,0,23,0,25,10,37,0,0,51,86,32,47,365,348.3,245.7,292,1251,
211,1400000US33005970700,"Census Tract 9707, Cheshire County, New Hampshire",0,0,38,12,13,34,0,51,4,59,27,12,188,0,0,11,9,11,14,6,5,31,56,15,30,204,4,0,5,2,0,0,5,0,43,59,39,47,220,130.2,121.8,170,642,
220,1400000US33005970800,"Census Tract 9708, Cheshire County, New Hampshire",0,0,0,15,7,0,0,0,79,11,9,46,268,28,0,14,17,25,21,0,4,15,84,11,49,333,0,32,19,60,8,5,0,0,12,129,14,54,255,173.2,156.8,183,768,
212,1400000US33005970900,"Census Tract 9709, Cheshire County, New Hampshire",49,0,56,0,45,0,0,0,39,83,157,74,410,0,9,0,0,0,16,0,60,81,80,124,40,273,45,0,0,0,0,19,0,0,13,81,52,63,299,206.2,170.8,510,1186,
218,1400000US33005971000,"Census Tract 9710, Cheshire County, New Hampshire",0,0,84,39,0,42,0,0,22,125,36,68,260,0,0,15,23,0,0,13,0,53,51,20,85,412,0,0,16,0,0,20,13,0,36,128,55,144,265,202.2,212.8,408,1088,
222,1400000US33005971100,"Census Tract 9711, Cheshire County, New Hampshire",0,0,0,0,0,78,22,0,41,23,66,133,226,51,3,0,0,0,41,0,0,27,36,0,68,201,15,3,12,0,0,0,0,0,58,28,20,65,225,152.1,60.9,352,790,
221,1400000US33005971300,"Census Tract 9713, Cheshire County, New Hampshire",13,0,0,0,15,0,0,0,0,64,28,0,139,20,6,0,0,0,0,0,0,0,27,11,75,297,12,7,0,0,40,0,0,25,31,57,30,95,138,75.4,103.6,239,556,
216,1400000US33005971401,"Census Tract 9714.01, Cheshire County, New Hampshire",0,0,0,0,0,0,0,0,45,23,41,0,153,19,0,0,0,0,32,0,0,8,57,10,27,86,0,11,0,0,0,0,0,0,38,24,0,13,62,122.2,72.8,91,348,
208,1400000US33005971402,"Census Tract 9714.02, Cheshire County, New Hampshire",22,22,0,0,0,0,0,8,110,21,0,37,211,24,21,7,16,0,2,0,9,19,12,17,84,184,0,36,0,0,0,4,0,0,33,0,34,77,171,171.9,23.1,249,615,
213,1400000US33005971500,"Census Tract 9715, Cheshire County, New Hampshire",0,0,4,0,0,22,0,0,27,94,45,104,400,8,0,3,0,0,43,0,0,93,124,65,64,427,23,0,0,0,0,19,0,0,97,120,60,108,122,318.4,236.6,446,1123,
223,1400000US33005971600,"Census Tract 9716, Cheshire County, New Hampshire",0,87,0,0,0,0,0,0,97,9,2,0,254,28,0,0,0,0,0,0,0,74,89,52,11,284,14,0,48,0,0,0,18,0,11,74,12,107,195,233.6,120.4,184,733,
215,1400000US33005971700,"Census Tract 9717, Cheshire County, New Hampshire",0,15,122,28,71,0,0,0,25,68,15,0,329,0,23,45,0,94,23,0,12,21,81,30,0,191,21,0,45,0,10,0,15,12,21,9,27,31,536,114.4,110.6,103,864,
90,1400000US33007950100,"Census Tract 9501, Coos County, New Hampshire",0,0,0,14,19,0,0,0,0,4,7,4,99,0,0,5,19,18,4,0,8,4,19,11,11,58,0,2,0,6,11,0,0,0,9,5,10,15,106,21.4,19.6,58,205,
93,1400000US33007950200,"Census Tract 9502, Coos County, New Hampshire",20,3,13,0,12,3,0,0,4,5,13,3,206,24,3,32,0,14,16,2,0,19,40,23,33,135,0,7,0,11,2,32,0,0,16,29,23,15,194,61.2,51.8,110,417,
86,1400000US33007950300,"Census Tract 9503, Coos County, New Hampshire",0,9,2,0,6,10,1,0,15,3,20,0,124,0,11,5,0,25,15,4,0,24,17,14,9,115,0,0,5,0,18,6,1,1,27,26,13,18,119,79.8,32.2,74,305,
94,1400000US33007950400,"Census Tract 9504, Coos County, New Hampshire",8,5,0,0,17,25,13,13,54,25,38,3,241,11,10,9,7,6,45,11,6,36,44,21,35,255,12,6,9,9,42,23,16,5,78,9,6,40,308,191.4,54.6,143,697,
87,1400000US33007950500,"Census Tract 9505, Coos County, New Hampshire",7,0,0,0,44,0,0,16,42,41,10,7,198,0,0,12,0,28,0,0,20,31,59,27,21,324,0,0,12,14,20,0,0,50,104,49,31,44,223,221.7,104.3,140,689,
91,1400000US33007950600,"Census Tract 9506, Coos County, New Hampshire",17,41,0,10,0,0,0,20,0,46,0,26,137,10,56,0,13,0,0,0,24,9,0,0,25,243,31,89,0,13,28,0,25,0,19,9,6,23,377,44.5,38.5,80,540,
88,1400000US33007950700,"Census Tract 9507, Coos County, New Hampshire",17,0,0,21,23,0,38,0,83,7,0,0,155,20,0,0,31,20,12,0,0,72,0,0,0,256,31,15,0,0,36,12,0,0,24,18,90,30,276,186.5,17.5,120,600,
84,1400000US33007950800,"Census Tract 9508, Coos County, New Hampshire",15,0,18,0,0,11,19,0,23,9,4,0,97,0,27,11,6,0,0,22,3,12,0,16,0,89,21,20,8,0,0,7,0,21,7,5,0,0,209,46.2,9.8,20,285,
