IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"102 W MONROE ST,BANGOR,MI,49013-1333",1.0,0.0,0.0,-86.11092104,42.31301568,0,1
"1020 E ILLINOIS ST,MT PLEASANT,MI,48858-2911",1.0,0.0,0.0,-84.76395316,43.60265154,0,1
"1021 KARL GREIMEL DR STE 103,BRIGHTON,MI,48116-9465",1.0,0.0,0.0,-83.79601878,42.54083745,0,1
"1024 FLEMING AVE,JACKSON,MI,49202-2536",0.5,0.0,0.0,-84.38686809,42.26531642,0,1
"1024 N GENESEE RD,BURTON,MI,48509-1433",1.0,0.0,0.0,-83.61510173,43.01940232,0,1
"10241 JOY RD,DETROIT,MI,48204-3004",1.0,0.0,0.0,-83.16159329999998,42.35878155,0,1
"1025 N 3RD ST,MARQUETTE,MI,49855-3564",1.0,1.0,0.0,-87.39481136,46.55299218,0,1
"1025 W GENESEE ST,FRANKENMUTH,MI,48734-1302",1.0,0.0,0.0,-83.75562976,43.33584254,0,1
"1025 W HERBISON RD,DEWITT,MI,48820-7966",1.0,0.0,0.0,-84.54454233,42.8275855,0,1
"1026 SUPERIOR ST,PORT HURON,MI,48060-3748",0.0,1.0,0.0,-82.42558499,42.98442434,0,1
"1028 PINE GROVE AVE,PORT HURON,MI,48060-3733",1.0,0.0,0.0,-82.42611323,42.98461014,0,1
"1029 LINCOLN AVE STE 4,MARQUETTE,MI,49855-2680",0.5,0.0,1.0,-87.41223099,46.55340849,0,1
"103 E MAIN ST,LOWELL,MI,49331-1758",1.0,0.0,0.0,-85.33855701,42.93435628,0,1
"103 S ELM ST,THREE OAKS,MI,49128-1123",1.0,0.0,0.0,-86.61041617,41.79953666,0,1
"103 W CLINTON ST,DURAND,MI,48429-1157",2.0,0.0,0.0,-83.98475955,42.91188452,0,1
"103 W FRONT ST,OVID,MI,48866-9601",1.0,0.0,0.0,-84.37207016,43.0052495,0,1
"10300 W 9 MILE RD,OAK PARK,MI,48237-2993",1.0,0.0,0.0,-83.16614194,42.46009346,0,1
"1031 MALL DR E,LANSING,MI,48917-3121",1.0,0.0,0.0,-84.62099147,42.74513948,0,1
"1032 4TH AVE,LAKE ODESSA,MI,48849-1004",1.5,0.0,0.0,-85.13811606,42.78338999,0,1
"1035 E WILCOX AVE,WHITE CLOUD,MI,49349-8794",1.3928571428571426,0.0,0.0,-85.775733,43.55014646,0,1
"1035 S MERRIMAN RD,WESTLAND,MI,48186-5311",1.1428571428571428,0.0,0.0,-83.34942637,42.302771299999996,0,1
"104 DUNCAN AVE,CHEBOYGAN,MI,49721-1312",1.0,0.0,0.0,-84.46632095,45.64327659,0,1
"104 NORTHLAND DR,SAND LAKE,MI,49343-5119",0.5,0.0,0.0,-85.51640167,43.28906645,0,1
"104 W WHEATON AVE,CLARE,MI,48617-1247",1.5,0.0,0.0,-84.76941052,43.82334747,0,1
"1040 CHARLEVOIX DR STE A,GRAND LEDGE,MI,48837-2417",2.5,0.0,0.0,-84.72894659,42.74152567,0,1
"1040 CHARLEVOIX DR STE B,GRAND LEDGE,MI,48837-2417",0.0,0.0,0.6666666666666666,-84.72894659,42.74152567,0,1
"1040 S LINDEN RD,FLINT,MI,48532-3405",1.0,0.0,0.0,-83.77305407,43.01504812,0,1
"10407 GRAND RIVER RD STE 600,BRIGHTON,MI,48116-6532",0.0,2.0,0.0,-83.74893876,42.51884222,0,1
"10407 GRAND RIVER RD STE 900,BRIGHTON,MI,48116-6532",1.0,0.0,0.0,-83.74893876,42.51884222,0,1
"1044 N IRISH RD STE B,DAVISON,MI,48423-3181",1.0,0.0,0.0,-83.55586598,43.02076497,0,1
"10470 W 9 MILE RD,OAK PARK,MI,48237-2914",1.0,0.0,0.0,-83.16802222,42.46005049,0,1
"1049 E NEWELL ST,WHITE CLOUD,MI,49349-8795",0.0,0.05263157894736842,0.0,-85.77565571,43.54899083,0,1
"1049 N MACOMB ST,MONROE,MI,48162-3126",1.0,0.0,0.0,-83.38694443,41.92907411,0,1
"1049 N PINE RD,ESSEXVILLE,MI,48732-1915",0.5,0.0,0.0,-83.83713996,43.59571158,0,1
"105 E GREEN ST,MARSHALL,MI,49068-1532",2.0,0.0,0.0,-84.95837999,42.2710905,0,1
"105 GILES AVE,BLISSFIELD,MI,49228-1238",1.0,0.0,0.0,-83.8613622,41.83152528,0,1
"105 HIGHLAND AVE,BATTLE CREEK,MI,49015-3264",2.0,0.0,0.0,-85.20137339,42.30405075,0,1
"10500 COUNTY ROAD 489,ATLANTA,MI,49709-8000",0.21428571428571427,0.0,0.0,-84.148983,44.99292048,0,1
"10501 ALLEN RD STE 105,ALLEN PARK,MI,48101-1157",2.0,0.0,0.0,-83.2289712,42.2307866,0,1
"10511 CITATION DR STE 100,BRIGHTON,MI,48116-8418",1.0,0.0,0.0,-83.7448384,42.52015242,0,1
"1052 E WEST MAPLE RD,WALLED LAKE,MI,48390-3571",1.5,0.0,0.0,-83.47937713,42.5379126,0,1
"10535 FARMINGTON RD,LIVONIA,MI,48150-5732",1.0,0.0,0.0,-83.37203671,42.36442746,0,1
"1055 W FAIR AVE,MARQUETTE,MI,49855-2665",2.0,0.0,0.0,-87.41165022,46.55673848,0,1
"10575 MICHIGAN AVE,POSEN,MI,49776-9125",0.14285714285714285,0.0,0.0,-83.69881192,45.267669,0,1
"1058 N IRISH RD,DAVISON,MI,48423-2209",0.5,0.0,0.0,-83.55588601,43.02113495,0,1
"106 CHESTNUT ST,BIG RAPIDS,MI,49307-2206",2.333333333333333,0.0,0.0,-85.48365721,43.69161148,0,1
"106 E GARFIELD AVE,CHARLEVOIX,MI,49720-1721",0.125,0.0,0.0,-85.25764366,45.31155047,0,1
"106 E HURON AVE STE A,ROGERS CITY,MI,49779-1317",0.08333333333333333,0.0,0.0,-83.81771412,45.42168765,0,1
"106 E MAIN ST,SEBEWAING,MI,48759-1568",0.5,0.0,0.0,-83.44968014,43.73175931,0,1
"106 LOCUST ST,BIG RAPIDS,MI,49307-2006",1.0,0.0,0.0,-85.48366691,43.69427385,0,1
"106 NANITA DR,MONTROSE,MI,48457-9164",0.5,0.0,0.0,-83.88500435,43.17652799,0,1
"106 S MAIN ST,ALMONT,MI,48003-1066",2.0,0.0,0.0,-83.04511787,42.92035971,0,1
"1060 W MAIN ST,GAYLORD,MI,49735-8101",2.2714914170796523,0.0,0.0,-84.69249083,45.02741946,0,1
"1061 E FRONT ST,TRAVERSE CITY,MI,49686-2707",1.0,0.0,0.0,-85.59544049,44.76421546,0,1
"10645 W WARREN AVE STE 100,DEARBORN,MI,48126-8009",0.6666666666666666,0.0,0.0,-83.16571534,42.34403728,0,1
"1068 S TELEGRAPH RD,MONROE,MI,48161-4056",1.0,0.0,0.0,-83.42088095,41.91205935,0,1
"10680 E CARTER RD,TRAVERSE CITY,MI,49684-5437",1.0,0.0,0.0,-85.640202,44.78061548,0,1
"10683 S SAGINAW ST STE A,GRAND BLANC,MI,48439-8127",0.0,0.0,1.0,-83.6412135,42.9368505,0,1
"107 E 8TH ST,MIO,MI,48647-2507",1.0,0.0,0.0,-84.11103390000002,44.65244622,0,1
"107 MUSTANG LN,AUBURN,MI,48611-9362",1.0,0.0,0.0,-84.08691617,43.60348268,0,1
"10711 N STRAITS HWY,CHEBOYGAN,MI,49721-9077",1.0,0.0,0.0,-84.47544263,45.61447716,0,1
"10720 W 7 MILE RD,DETROIT,MI,48221-1920",1.0,0.0,0.0,-83.16908099,42.43126551,0,1
"1074 JACKSON XING,JACKSON,MI,49202-2039",4.0843584969601965,0.0,0.0,-84.42950021,42.26752991,0,1
"10767 E TRAVERSE HWY,TRAVERSE CITY,MI,49684-6219",2.707575757575757,0.0,0.0,-85.64667404,44.77555106,0,1
"108 S LAKE ST,EAST JORDAN,MI,49727-9375",0.7,0.0,0.0,-85.14000138,45.15389009,0,1
"108 S MAIN ST,ITHACA,MI,48847-1440",1.0,0.0,0.0,-84.60569973,43.29113403,0,1
"1080 CREEKWOOD TRL,BURTON,MI,48509-1564",0.5263157894736842,0.0,0.0,-83.60844512,43.02093874,0,1
"1080 E WEST MAPLE RD,WALLED LAKE,MI,48390-3571",1.096825396825397,0.0,0.0,-83.47899013,42.53795963,0,1
"1080 S VAN DYKE RD STE C,BAD AXE,MI,48413-9635",1.0,0.0,0.0,-83.03191976,43.8023722,0,1
"1081 N ANN ARBOR ST,SALINE,MI,48176-2000",1.0,0.0,0.0,-83.78704363,42.17894269,0,1
"1083 E M 21,OWOSSO,MI,48867-9014",1.0,0.0,0.0,-84.15314139,42.99778253,0,1
"1083 E MAPLE RD,BIRMINGHAM,MI,48009-6424",1.0,0.0,0.0,-83.20615369,42.54694149,0,1
"10850 E TRAVERSE HWY STE 2250,TRAVERSE CITY,MI,49684-1319",1.0,0.0,0.0,-85.64310377,44.77521252,0,1
"10854 M 32 E,JOHANNESBURG,MI,49751-9622",0.21428571428571427,0.0,0.0,-84.45565512,44.98097544,0,1
"1088 S BAILEY AVE STE A,SOUTH HAVEN,MI,49090-6723",2.0,0.0,0.0,-86.26417766,42.38915399,0,1
"109 E SUPERIOR ST,MUNISING,MI,49862-1121",1.0,0.0,0.0,-86.65556075,46.41067022,0,1
"109 E WILLIAMS ST,OWOSSO,MI,48867-2360",1.0,0.0,0.0,-84.17006058,43.00070952,0,1
"1095 S STATE RD,DAVISON,MI,48423-1933",1.0,0.0,0.0,-83.51760449,43.01716528,0,1
"10984 MIDDLEBELT RD,LIVONIA,MI,48150-3058",0.5,0.0,0.0,-83.33278541,42.36524726,0,1
"1099 UNION LAKE RD,WHITE LAKE,MI,48386-4541",1.0,0.0,0.0,-83.45290773,42.62230998,0,1
"11 N MAPLE ST,GRANT,MI,49327-7900",1.3928571428571426,0.0,0.0,-85.81062128,43.33674692,0,1
