IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"1074 JACKSON XING,JACKSON,MI,49202-2039",7.490758261346498,0.0,0.0,-84.42950021,42.26752991,1,0
"10767 E TRAVERSE HWY,TRAVERSE CITY,MI,49684-6219",13.017099567099569,0.0,0.0,-85.64667404,44.77555106,1,0
"1080 N MONROE ST,MONROE,MI,48162-3193",1.0,0.0,0.0,-83.38977107,41.930447799999996,1,0
"1080 S VAN DYKE RD STE C,BAD AXE,MI,48413-9635",1.0,0.0,0.0,-83.03191976,43.8023722,1,0
"10850 E TRAVERSE HWY STE 2250,TRAVERSE CITY,MI,49684-1319",1.0,0.0,0.0,-85.64310377,44.77521252,1,0
"10854 M 32 E,JOHANNESBURG,MI,49751-9622",0.17786561264822134,0.0,0.0,-84.45565512,44.98097544,1,0
"109 E SUPERIOR ST,MUNISING,MI,49862-1121",1.0,0.0,0.0,-86.65556075,46.41067022,1,0
"1099 UNION LAKE RD,WHITE LAKE,MI,48386-4541",1.0,0.0,0.0,-83.45290773,42.62230998,1,0
"11 N MAPLE ST,GRANT,MI,49327-7900",0.4761904761904762,0.0,0.0,-85.81062128,43.33674692,1,0
"110 DEWITT LN,SPRING LAKE,MI,49456-1921",1.0,0.0,0.0,-86.17866487,43.07609691,1,0
"110 S BROADWAY ST,CASSOPOLIS,MI,49031-1243",1.0,0.0,0.0,-86.01253895,41.911245,1,0
"110 W 3RD ST,IMLAY CITY,MI,48444-1096",1.0,0.0,0.0,-83.07783469,43.02444644,1,0
"1100 E MILLER RD,LANSING,MI,48911-5311",1.0,0.0,0.0,-84.53611277,42.66920052,1,0
"1101 E WALTON BLVD STE 300,PONTIAC,MI,48340-1590",3.8526879982762336,0.0,0.07692307692307693,-83.26003249,42.67802651,1,0
"1101 W HURON ST,WATERFORD,MI,48328-3736",4.483333333333333,0.16666666666666666,0.0,-83.33388102,42.63493052,1,0
"1103 S CEDAR ST STE 100,MASON,MI,48854-2078",2.0,0.0,0.0,-84.44517426,42.56940017,1,0
"11032 GRAND RIVER RD,BRIGHTON,MI,48116-9589",1.0,0.0,0.0,-83.73324052,42.51632751,1,0
"1105 SEDGWICK ST,PORT HURON,MI,48060-3339",2.0,0.0,0.0,-82.43101311,42.98991645,1,0
"1106 1ST AVE S,ESCANABA,MI,49829-3411",1.0,0.0,0.0,-87.06280069,45.74471583,1,0
"111 ROCHDALE DR S,ROCHESTER HILLS,MI,48309-2274",0.0,0.0,1.0,-83.15882561,42.68051559,1,0
"111 S HOWELL ST,HILLSDALE,MI,49242-1873",1.0,0.0,0.0,-84.63183494,41.91422573,1,0
"111 S WALNUT ST,FENTON,MI,48430-2150",1.0,0.0,0.0,-83.70369656,42.79562128,1,0
"111 SAWYER ST,GRAND BLANC,MI,48439-1342",1.0,0.0,0.0,-83.62909441,42.92575992,1,0
"111 W 7 MILE RD,DETROIT,MI,48203-1968",0.29166666666666663,0.0,0.0,-83.10419974,42.43222448,1,0
"111 W DAYTON ST,FREMONT,MI,49412-1112",0.5,0.0,0.0,-85.94797049,43.46807646,1,0
"1110 W 8TH ST,MIO,MI,48647-9140",0.2778656126482214,0.0,0.0,-84.14285518,44.65234731,1,0
"1111 HECLA ST,HANCOCK,MI,49930-1000",1.0,0.0,0.0,-88.60959291,47.13126957,1,0
"1111 LAMBERT ST,NILES,MI,49120-3439",1.0,0.0,0.0,-86.24587169,41.81774448,1,0
"1111 W HILL RD STE B,FLINT,MI,48507-4724",1.0,0.0,0.0,-83.6960428,42.94422453,1,0
"11180 GRATIOT AVE,DETROIT,MI,48213-1363",1.4659090909090908,0.0,0.0,-82.99511236,42.408457399999996,1,0
"1120 COMMERCE DR,VASSAR,MI,48768-9588",1.5866161616161618,0.0,0.0,-83.56250928,43.371900200000006,1,0
"1120 GORNICK AVE,GAYLORD,MI,49735-1740",1.0,0.0,0.0,-84.68097243,45.01533235,1,0
"11200 E MCNICHOLS RD,DETROIT,MI,48234-3929",1.0,0.0,0.0,-83.01010972,42.41977254,1,0
"1122 S LINDEN RD,FLINT,MI,48532-3437",0.0,2.0,0.0,-83.77299052,43.01304224,1,0
"1124 28TH ST SW STE 38A,WYOMING,MI,49509-2855",12.652205147793383,0.0,0.0,-85.69086471,42.91330429999999,1,0
"1125 S LINDEN RD STE 800,FLINT,MI,48532-4069",0.0,1.0,0.0,-83.77292245,43.01340286,1,0
"1125 THOMAS EDISON DR,PORT HURON,MI,48060-8500",3.0,0.0,0.0,-82.42869228,42.99511339,1,0
"11270 E 13 MILE RD STE 3,WARREN,MI,48093-2599",1.0,0.0,0.0,-83.01340061,42.52132147,1,0
"113 E MAIN ST,FLUSHING,MI,48433-2023",1.0,0.0,0.0,-83.85535391,43.06304647,1,0
"11300 E 13 MILE RD,WARREN,MI,48093-2500",0.3333333333333333,0.0,0.0,-83.01277961,42.52133047,1,0
"11301 COMMERCE DR,ALLENDALE,MI,49401-8200",3.0,0.0,0.0,-85.92051244,42.97518964,1,0
"114 W STATE ST,EAST TAWAS,MI,48730-1259",1.0,0.0,0.0,-83.49127863,44.28180439,1,0
"1140 S BELSAY RD,BURTON,MI,48509-1909",2.0,0.0,0.0,-83.59528959,43.01513916,1,0
"11447 JOSEPH CAMPAU ST,HAMTRAMCK,MI,48212-3040",0.5833333333333333,0.0,0.0,-83.06083959,42.40113954,1,0
"115 MARKET PL,ALBION,MI,49224-1767",8.566666666666666,0.0,0.0,-84.75236638,42.24466875,1,0
"115 N LAKE ST LOWR,MANISTIQUE,MI,49854-1212",0.5,0.0,0.0,-86.24258222,45.95812504,1,0
"115 N LAKE ST,MANISTIQUE,MI,49854-1200",0.5,0.0,0.0,-86.24258222,45.95812504,1,0
"1150 MASON ST,DEARBORN,MI,48124-2801",0.0,0.3333333333333333,0.0,-83.24541338,42.30419041,1,0
"11525 HIGHLAND RD STE 23,HARTLAND,MI,48353-2726",0.0,0.0,2.5,-83.72943461,42.63619735,1,0
"11526 HIGHLAND RD,HARTLAND,MI,48353-2711",1.0,0.0,0.0,-83.72828736,42.63597056,1,0
"11552 E 12 MILE RD,WARREN,MI,48093-2644",3.428006101225917,0.0,0.12454212454212454,-83.00793277,42.50704849,1,0
"117 N FOREST ST,STANDISH,MI,48658-2506",1.0,0.0,0.0,-83.95846969,43.983369,1,0
"117 W PATERSON ST,KALAMAZOO,MI,49007-2557",2.117857142857143,0.0,0.0,-85.58440813,42.30328062,1,0
"1172 NIXON AVE NW,GRAND RAPIDS,MI,49534-3638",1.5,0.0,0.0,-85.74798445,42.98600368,1,0
"1173 PECK ST,MUSKEGON,MI,49441-3190",1.0,0.0,0.0,-86.24416918,43.23109567,1,0
"1179 EAST PARIS AVE SE STE 130,GRAND RAPIDS,MI,49546-3682",0.0,2.0,0.0,-85.57062054,42.94171699,1,0
"1179 WHITEHALL RD STE A,MUSKEGON,MI,49445-2497",1.0,0.0,0.0,-86.26031234,43.2743956,1,0
"118 N HANSELMAN ST,BAD AXE,MI,48413-1201",0.0,0.0,1.0,-82.99740622,43.80235727,1,0
"118 S GREENVILLE WEST DR STE 1,GREENVILLE,MI,48838-3554",1.0,0.0,0.0,-85.27875331,43.179938799999995,1,0
"118 W SHIAWASSEE AVE,FENTON,MI,48430-2006",1.0,0.0,0.0,-83.706512,42.79294645,1,0
"11800 E 12 MILE RD,WARREN,MI,48093-3472",3.1428571428571432,0.25,0.8976190476190476,-83.00502074,42.50712954,1,0
"11899 M 32,ATLANTA,MI,49709-9374",0.3324110671936759,0.0,0.0,-84.15552149,45.00736049,1,0
"1193 SOUTHFIELD RD,LINCOLN PARK,MI,48146-2450",3.1726190476190474,0.0,0.0,-83.17584146,42.24986804,1,0
"120 N MAIN ST,BELLEVUE,MI,49021-1232",1.0,0.0,0.0,-85.01807479,42.44443233,1,0
"1200 E 12 MILE RD,MADISON HEIGHTS,MI,48071-2652",2.0,0.0,0.0,-83.09281194,42.50500451,1,0
"1200 E MICHIGAN AVE STE 370,LANSING,MI,48912-1897",0.0,1.0,0.0,-84.53416049,42.73353751,1,0
"1200 KIRTS BLVD,TROY,MI,48084-4899",8.566666666666666,0.0,1.0,-83.16398986,42.55668018,1,0
"1200 N MAIN ST,ADRIAN,MI,49221-1759",0.8726551226551227,0.0,0.0,-84.02996891,41.90939749,1,0
"1201 FLUSHING RD STE 6,FLINT,MI,48504-4730",1.0,0.0,0.0,-83.7093722,43.01931152,1,0
"1202 S LAPEER RD,LAKE ORION,MI,48360-1433",1.0,0.0,0.0,-83.24188459,42.76451706,1,0
