IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1061 E FRONT ST,TRAVERSE CITY,MI,49686-2707",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10645 W WARREN AVE STE 100,DEARBORN,MI,48126-8009",0.6666666666666666,0.5,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"107 E 8TH ST,MIO,MI,48647-2507",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10720 W 7 MILE RD,DETROIT,MI,48221-1920",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1074 JACKSON XING,JACKSON,MI,49202-2039",4.0843584969601965,7.490758261346498,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10767 E TRAVERSE HWY,TRAVERSE CITY,MI,49684-6219",2.707575757575757,13.017099567099569,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1080 S VAN DYKE RD STE C,BAD AXE,MI,48413-9635",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10850 E TRAVERSE HWY STE 2250,TRAVERSE CITY,MI,49684-1319",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10854 M 32 E,JOHANNESBURG,MI,49751-9622",0.21428571428571427,0.17786561264822134,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"109 E SUPERIOR ST,MUNISING,MI,49862-1121",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1099 UNION LAKE RD,WHITE LAKE,MI,48386-4541",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"11 N MAPLE ST,GRANT,MI,49327-7900",1.3928571428571426,0.4761904761904762,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"110 DEWITT LN,SPRING LAKE,MI,49456-1921",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"110 S BROADWAY ST,CASSOPOLIS,MI,49031-1243",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"110 W 3RD ST,IMLAY CITY,MI,48444-1096",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1100 E MILLER RD,LANSING,MI,48911-5311",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1101 W HURON ST,WATERFORD,MI,48328-3736",2.2,4.483333333333333,0.0,0.16666666666666666,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1103 S CEDAR ST STE 100,MASON,MI,48854-2078",2.0,2.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"11032 GRAND RIVER RD,BRIGHTON,MI,48116-9589",0.5,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1105 SEDGWICK ST,PORT HURON,MI,48060-3339",1.0,2.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
