IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"15 ANDRE ST SE,GRAND RAPIDS,MI,49507-3010",,2.3166666666666664,,0.0,,0.5,,,,,,,1.0,0.0
"1500 SANDPOINT RD,MUNISING,MI,49862-1406",,0.0,,0.0,,0.05882352941176471,,,,,,,1.0,0.0
"1500 WATERTOWER PL,EAST LANSING,MI,48823-8048",,0.5,,0.0,,0.0,,,,,,,1.0,0.0
"1504 HARCREST DR STE 2,MIDLAND,MI,48640-4717",,0.5,,0.0,,0.0,,,,,,,1.0,0.0
"1510 W CENTRE AVE,PORTAGE,MI,49024-5326",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"156 E CHERRY AVE,ZEELAND,MI,49464-1724",,0.3333333333333333,,0.0,,0.0,,,,,,,1.0,0.0
"15600 MICHIGAN AVE,DEARBORN,MI,48126-2944",,4.333333333333333,,0.0,,0.0,,,,,,,1.0,0.0
"1590 BALDWIN AVE,PONTIAC,MI,48340-1112",,2.0,,0.0,,0.0,,,,,,,1.0,0.0
"160 DIVISION ST STE A,COLDWATER,MI,49036-2914",,0.0,,0.0,,1.0,,,,,,,1.0,0.0
"160 E BROADWAY AVE,MUSKEGON,MI,49444-2102",,2.6111111111111107,,0.0,,0.5,,,,,,,1.0,0.0
"16001 W 9 MILE RD,SOUTHFIELD,MI,48075-4818",,3.0595238095238093,,0.0,,0.6476190476190476,,,,,,,1.0,0.0
"1601 US HIGHWAY 131,PETOSKEY,MI,49770-8783",,0.0,,0.0,,1.0,,,,,,,1.0,0.0
"16869 E 14 MILE RD,FRASER,MI,48026-2239",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"1700 CLINTON ST,MUSKEGON,MI,49442-5502",,0.3333333333333333,,0.0,,0.0,,,,,,,1.0,0.0
"17284 FARMINGTON RD,LIVONIA,MI,48152-3151",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"177 N BARLOW RD,HARRISVILLE,MI,48740-9607",,4.088888888888889,,0.0,,0.0,,,,,,,1.0,0.0
"18000 VERNIER RD STE 605,HARPER WOODS,MI,48225-1030",,1.5,,1.0,,0.0,,,,,,,1.0,0.0
"18136 MACK AVE,GROSSE POINTE,MI,48230-6237",,0.0,,0.0,,1.0,,,,,,,1.0,0.0
"18161 W 12 MILE RD # 6,LATHRUP VILLAGE,MI,48076-2662",,0.3333333333333333,,0.0,,0.0,,,,,,,1.0,0.0
"1850 WHITES RD STE 1,KALAMAZOO,MI,49008-4801",,0.0,,0.0,,1.0,,,,,,,1.0,0.0
"18595 GRAND RIVER AVE,DETROIT,MI,48223-2377",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"1913 SOUTH BLVD W,TROY,MI,48098-1786",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"1915 TIMBER TRL,ANN ARBOR,MI,48103-2395",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"1928 E GENESEE AVE,SAGINAW,MI,48601-2410",,0.5,,0.0,,0.0,,,,,,,1.0,0.0
"1978 S STATE RD,IONIA,MI,48846-2132",,0.0,,0.0,,1.0,,,,,,,1.0,0.0
"200 S BOLTWOOD ST,HASTINGS,MI,49058-1993",,1.5639194139194137,,0.08333333333333333,,0.0,,,,,,,1.0,0.0
"2003 BURTON ST SE OFC 2,GRAND RAPIDS,MI,49506-4600",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"2017 EASTCASTLE DR SE STE A,GRAND RAPIDS,MI,49508-8872",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"202 BRADY ST,SAULT SAINTE MARIE,MI,49783-2016",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"2021 44TH ST SE,GRAND RAPIDS,MI,49508-5349",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"20217 ANN ARBOR TRL,DEARBORN HEIGHTS,MI,48127-2692",,2.125,,0.0,,0.0,,,,,,,1.0,0.0
"2037 S CENTER RD,BURTON,MI,48509",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"2037 W GRAND RIVER AVE,OKEMOS,MI,48864-1779",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"204 STATE ST,PETOSKEY,MI,49770-2718",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"20400 W 12 MILE RD,SOUTHFIELD,MI,48076-5415",,0.0,,0.0,,1.0,,,,,,,1.0,0.0
"205 S BRADLEY HWY,ROGERS CITY,MI,49779-2137",,0.043478260869565216,,0.0,,0.0,,,,,,,1.0,0.0
"20555 ECORSE RD,TAYLOR,MI,48180-1992",,2.0,,0.0,,0.0,,,,,,,1.0,0.0
"20755 GREENFIELD RD STE 500,SOUTHFIELD,MI,48075-5408",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"20851 W 7 MILE RD,DETROIT,MI,48219-1903",,0.3333333333333333,,0.0,,0.0,,,,,,,1.0,0.0
"20905 GREENFIELD RD STE 203,SOUTHFIELD,MI,48075-5346",,0.5,,0.0,,0.0,,,,,,,1.0,0.0
"21000 E 12 MILE RD STE 111,SAINT CLAIR SHORES,MI,48081-1156",,0.0,,0.0,,0.25,,,,,,,1.0,0.0
"21100 ALLEN RD,WOODHAVEN,MI,48183-1694",,0.3333333333333333,,0.0,,0.0,,,,,,,1.0,0.0
"2134 E G AVE,KALAMAZOO,MI,49004-1751",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"21427 GRAND RIVER AVE STE 100,DETROIT,MI,48219-3897",,2.8724682180564534,,0.0,,0.0,,,,,,,1.0,0.0
"21500 NORTHWESTERN HWY STE 640,SOUTHFIELD,MI,48075-5018",,1.25,,0.0,,0.0,,,,,,,1.0,0.0
"220 W GARFIELD AVE,CHARLEVOIX,MI,49720-1631",,28.89209956709957,,0.25,,0.5,,,,,,,1.0,0.0
"22101 MOROSS RD,DETROIT,MI,48236-2148",,6.142857142857142,,0.0,,1.5476190476190477,,,,,,,1.0,0.0
"22190 GARRISON ST STE 200,DEARBORN,MI,48124-2235",,0.5,,0.0,,0.0,,,,,,,1.0,0.0
"22201 MOROSS RD STE 252,GROSSE POINTE,MI,48236-2175",,0.3333333333333333,,0.0,,0.5833333333333333,,,,,,,1.0,0.0
"2222 S LINDEN RD STE K,FLINT,MI,48532-5413",,0.0,,1.0,,0.0,,,,,,,1.0,0.0
