BOD_addr,general,pediatric,specialist,Latitude,Longitude
"10460 PELHAM,TAYLOR,MI,48180",0.0,0.0,1.0,42.2314673,-83.23054859999998
"10488 FENCEPOST LANE,TRAVERSE CITY,MI,49685",1.0,0.0,0.0,44.7214634,-85.7806023
"1049 E SUMMERFIELD GLEN CIRCLE,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.25992577,-83.84323520000002
"1049 S STATE RD,DAVISON,MI,48423",1.0,0.0,0.0,43.018553000000004,-83.51475140000002
"1050 NORTH MONROE STREET,MONROE,MI,48162",1.0,0.0,0.0,41.93008144,-83.3899457
"1050 SCOTT PLACE,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.2892041,-83.7026297
"10500 MORNING LIGHT COURT,SOUTH LYON,MI,481788043",0.0,0.0,1.0,42.48049411,-83.73912024
"1051 S OXFORD RD,GROSSE POINTE WOODS,MI,48236",0.0,0.0,1.0,42.430645,-82.8968322
"10523 ROLLING OAKS,MANCHESTER,MI,48158",0.0,0.0,1.0,42.13740083,-84.05206359
"10548 CONCORD DR,BERRIEN SPRINGS,MI,49103",1.0,0.0,0.0,41.92318264,-86.33693437
"10578 N LONG LAKE RD,TRAVERSE CITY,MI,496850000",1.0,0.0,0.0,44.7323204,-85.7883983
"106 CHESTNUT,BIG RAPIDS,MI,49307",1.0,0.0,0.0,43.69165162,-85.48195932
"106 E. MAIN ST.,SEBEWAING,MI,48759",1.0,0.0,0.0,43.73137591,-83.44872567
"106 LOCUST ST.,BIG RAPIDS,MI,49307",1.0,0.0,0.0,43.69428844,-85.48204504
"1062 NORTH FAIRWAY DRIVE,PONTIAC,MI,48340",1.0,0.0,0.0,42.6796001,-83.2599337
"10641 HIGHLAND,WHITE LAKE,MI,48386",1.0,0.0,0.0,42.6492189,-83.4957373
"10680 EAST CARTER ROAD,TRAVERSE CITY,MI,49684",1.0,0.0,0.0,44.78052874,-85.64105934
"10691 SAYERS RD,MUNITH,MI,49259",1.0,0.0,0.0,42.38906959,-84.27990138
"107 E WASHTENAW,LANSING,MI,48933",1.0,0.0,0.0,42.73141623,-84.55215112
"107 SPRING ST,ST JOHNS,MI,48879",1.0,0.0,0.0,43.00147124,-84.55718441
"10700 PELHAM,TAYLOR,MI,48180",1.0,0.0,0.0,42.2300794,-83.2305811
"10702 DEER RIDGE CT.,ZEELAND,MI,49464",1.0,0.0,0.0,42.82973607,-86.04598669
"1075 MAPLE,PLYMOUTH,MI,48170",1.0,0.0,0.0,42.36917991,-83.47303912
"1075 WOODWARD AVENUE,KINGSFORD,MI,49802",1.0,0.0,0.0,45.80768897,-88.08534021
"108 FIRST STREET,AHMEEK,MI,49901",1.0,0.0,0.0,47.29415281,-88.38970451
"1080 N MONROE ST,MONROE,MI,48162",1.0,0.0,0.0,41.92994461,-83.39001984
"10811 DEERFIELD TR,KALAMAZOO,MI,49009",1.0,0.0,0.0,42.23878291,-85.76006321
"1087 BUSINESS PARK DR,TRAVERSE CITY,MI,49686",1.0,0.0,0.0,44.7433134,-85.5550523
"1087 BUSINESS PARK DRIVE,TRAVERSE CITY,MI,49686",1.0,0.0,1.0,44.7433134,-85.5550523
"109 W. HURLBUT,CHARLEVOIX,MI,49720",1.0,0.0,0.0,45.31402932,-85.25887205
"11 WEST 14 MILE RD,SUITE 204,CLAWSON,MI,48017",0.0,0.0,1.0,42.5331532,-83.1465896
"110 E. MICHIGAN AVE.,#205,KALAMAZOO,MI,49007",1.0,0.0,0.0,42.29158643,-85.58310633
"1100 BLUE RIDGE DR,CLARKSTON,MI,48348",1.0,0.0,0.0,42.7582138,-83.3278858
"1100 FIRST AVE N,ESCANABA,MI,49829",2.0,0.0,0.0,45.74691702,-87.06268183
"1100 HARRINGTON LN,EAST LANSING,MI,48823",1.0,0.0,0.0,42.76900856,-84.49738668
"1100 S LINDEN ROAD,FLINT,MI,48532",0.0,0.0,1.0,43.0142859,-83.773505
"1101 LINCOLN AVENUE,MARQUETTE,MI,49855",1.0,0.0,0.0,46.55367003,-87.41229668
"1101 WATER ST,PORT HURON,MI,48060",1.0,0.0,0.0,42.98137546,-82.43576166
"1103 GAYLE AVE,KALAMAZOO,MI,49048",1.0,0.0,0.0,42.30231798,-85.54646600000002
"1104 MCLNTYRE ST,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.33131743,-83.70707325
"1105 SMITH AVE,BIRMINGHAM,MI,48009",1.0,0.0,1.0,42.533734100000004,-83.205487
"1109 W BROAD ST,CHESANING,MI,48616",1.0,0.0,0.0,43.1860567,-84.12726994
"111 N JEFFERSON ST,MARSHALL,MI,49068",1.0,0.0,0.0,42.27214413,-84.95880227
"1111 E STADIUM BLVD,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.261108,-83.7357376
