BOD_addr,general,pediatric,specialist,Latitude,Longitude
"203 WEST MICHIGAN AVENUE,SUITE 101,SALINE,MI,48176",0.0,0.0,1.0,42.1654386,-83.78399358
"2030 LEONARD ST NW,GRAND RAPIDS,MI,49504",1.0,0.0,0.0,42.98592429,-85.71811946
"2030 ORCHARD CT,WEST BLOOMFIELD,MI,48324",1.0,0.0,0.0,42.6075711,-83.4170088
"2032 AUTUMN CREST LN,KALAMAZOO,MI,49008",1.0,0.0,0.0,42.24735048,-85.61212151
"20323 MACK AVE,GROSSE POINTE WOODS,MI,48236",0.0,0.0,1.0,42.4376492,-82.9083268
"2033 CORONADO DR SE,GRAND RAPIDS,MI,495063478",1.0,0.0,0.0,42.9422308,-85.6185196
"20337 FARMINGTON RD,LIVONIA,MI,48152",0.0,0.0,1.0,42.43796527,-83.37550276
"2035 CORNELL,DEARBORN,MI,48124",1.0,0.0,0.0,42.296584,-83.2680055
"20361 MACK AVE,GROSSE POINTE WOODS,MI,48236",1.0,0.0,0.0,42.438340000000004,-82.9082308
"20392 EUREKA RD,TAYLOR,MI,48180",0.0,0.0,1.0,42.19865822,-83.23102636
"204 ATHLONE BEACH,BAY CITY,MI,48706",2.0,0.0,0.0,43.67864079,-83.91640455
"2043 LAKESIDE DR,TROY,MI,48085",1.0,0.0,0.0,42.6150686,-83.1092932
"20440 ONEIDA DR,CLINTON TOWNSHIP,MI,48038",1.0,0.0,0.0,42.61569160000001,-82.92047509999998
"2046 S STATE RD,DAVISON,MI,48423",1.0,0.0,0.0,43.004292799999995,-83.5158228
"20461 NORTHVILLE PLACE DR, APT 2207,NORTHVILLE,MI,48167",1.0,0.0,0.0,42.43776665,-83.46553723
"205 CEDAR DRIVE,MOUNT PLEASANT,MI,48858",1.0,0.0,0.0,43.57515907,-84.85879959
"205 COLONY DR N,SAGINAW,MI,48638",1.0,0.0,0.0,43.41690523,-84.02270549
"205 COLONY DRIVE NORTH,SAGINAW,MI,48638",1.0,0.0,0.0,43.41690523,-84.02270549
"205 COLUMBIA DR,SOUTH LYON,MI,48178",1.0,0.0,0.0,42.4556723,-83.6365571
"205 ROSEVERE AVE,DEARBORN,MI,48124",1.0,0.0,0.0,42.31153803,-83.26797717
"20528 STARINA DRIVE,CLINTON TOWNSHIP,MI,48038",2.0,0.0,0.0,42.602845200000004,-82.91568459999998
"2054 KINGSWAY DR,TROY,MI,48098",0.0,0.0,1.0,42.5847332,-83.18918190000002
"2056 BELWOOD DR,OKEMOS,MI,48864",0.0,0.0,1.0,42.68975693,-84.42490812
"2060 ROBINSON RD SE,EAST GRAND RAPIDS,MI,49506",1.0,0.0,0.0,42.958250899999996,-85.6196428
"20600 BRADFORD CT,SOUTHFIELD,MI,48076",1.0,0.0,0.0,42.4909878,-83.2477305
"2061 PASSOLT STREET,SAGINAW,MI,48603",1.0,0.0,0.0,43.4369344,-83.99509454
"2061 PASSOLT,SAGINAW,MI,48603",1.0,0.0,0.0,43.4369344,-83.99509454
"20630 VERNIER,HARPER WOODS,MI,48225",1.0,0.0,0.0,42.44650532,-82.92046253
"2064 M-119,PETOSKEY,MI,49770",1.0,0.0,0.0,45.34624162,-84.89499646
"2067 EASTGATE STREET SE,GRAND RAPIDS,MI,49506",1.0,0.0,0.0,42.93358610000001,-85.6165524
"20690 VERNIER RD,HARPER WOODS,MI,48225",1.0,0.0,0.0,42.4458828,-82.9183934
"207 CALUMET ST,LAKE LINDEN,MI,49945",1.0,0.0,0.0,47.19019185,-88.40971374
"207 W MAIN ST,LOWELL,MI,49331",1.0,0.0,0.0,42.93454749,-85.33779375
"207 WINSTON DR,MARSHALL,MI,49068",1.0,0.0,0.0,42.26948611,-84.98594014
"207 WINSTON DRIVE,MARSHALL,MI,49068",1.0,0.0,0.0,42.26948611,-84.98594014
"20700 VERNIER ROAD,HARPER WOODS,MI,48225",1.0,0.0,0.0,42.44583508,-82.91773569
"20737 E 13 MILE RD,ROSEVILLE,MI,48066",1.0,0.0,0.0,42.5261095,-82.9084512
"2076 BALDWIN ST,JENISON,MI,49428",1.0,0.0,0.0,42.90708371,-85.83367586
"20793 FARMINGTON RD,SUITE 201,FARMINGTON HILLS,MI,48336",1.0,0.0,0.0,42.4420186,-83.37622569999998
"208 N SHIAWASSEE,OWOSSO,MI,48867",0.0,0.0,1.0,42.99860979,-84.17673470000003
"208 S ROBERT,UNIT 4,LUDINGTON,MI,49431",1.0,0.0,0.0,43.95356432,-86.45068261
"20805 E 12 MILE RD,STE 100,ROSEVILLE,MI,48066",1.0,0.0,0.0,42.5106522,-82.9062563
"20805 E 12 MILE ROAD,ROSEVILLE,MI,48066",1.0,0.0,0.0,42.5106522,-82.9062563
"2084 SOUTH MAIN STREET,ANN ARBOR,MI,48103",0.0,0.0,1.0,42.255833700000004,-83.75180759999998
"20840 VERNIER RD,HARPER WOODS,MI,48225",1.0,0.0,0.0,42.445310299999996,-82.91613620000003
"20840 VERNIER ROAD,HARPER WOODS,MI,48225",1.0,0.0,0.0,42.445310299999996,-82.91613620000003
"2088 ALSUP AVE,COMMERCE TOWNSHIP,MI,48382",0.0,0.0,1.0,42.6045705,-83.459611
"209 N SHELDON RD,PLYMOUTH,MI,48170",0.0,0.0,1.0,42.37401583,-83.4804705
"2098 DORCHESTER RD,BIRMINGHAM,MI,48009",1.0,0.0,0.0,42.548872700000004,-83.1950476
"2098 MEADOW REED,STERLING HEIGHTS,MI,48314",1.0,0.0,0.0,42.60337420000001,-83.0879642
"210 E KILBUCK,TECUMSEH,MI,49286",1.0,0.0,0.0,42.0011115,-83.9428863
"2100 ARBOR CIRCLE EAST,APT 103,YPSILANTI,MI,48197",1.0,0.0,0.0,42.2583213,-83.66654357
"2100 WASHTENAW AVENUE,YPSILANTI,MI,48197",1.0,0.0,0.0,42.24851727,-83.64607402
"2101 AURELIUS RD STE 1,HOLT,MI,48842",1.0,0.0,0.0,42.64516365,-84.52358247
"2101 NORTH AURELIUS #4,HOLT,MI,48842",0.0,0.0,1.0,42.64516365,-84.52358247
"2104 ASHMUN,SLT STE MARIE,MI,49783",1.0,0.0,0.0,46.48001656,-84.35383623
"21055 12 MILE ROAD,ROSEVILLE,MI,48066",0.0,0.0,1.0,42.510707399999994,-82.9036238
"2107 16TH STREET,BAY CITY,MI,48708",1.0,0.0,0.0,43.58573217,-83.87160954
"2107 N AURELIUS,HOLT,MI,48842",1.0,0.0,0.0,42.64518822,-84.52358273
"2109 AUGSBURG DRIVE,SAGINAW,MI,48603",1.0,0.0,0.0,43.43799713,-84.01913795
"211 E MERRILL STREET,APT 606,BIRMINGHAM,MI,48009",1.0,0.0,0.0,42.54544286,-83.21404373
"211 HARLEY ST BOX 65,JONESVILLE,MI,49250",1.0,0.0,0.0,41.97968052,-84.66825329
"211 S SWAN ST,PO BOX 612,COLON,MI,49040",1.0,0.0,0.0,41.95672863,-85.32480074
"2111 MERRITT RD,SUITE 102,EAST LANSING,MI,48823",0.0,0.0,1.0,42.76021119,-84.45521690000002
"2114 HAVERFORD DR,TROY,MI,48098",1.0,0.0,0.0,42.6030211,-83.19088570000002
"2115 M-119,PETOSKEY,MI,49770",2.0,0.0,1.0,45.34624162,-84.89499646
"2115 NATURE COVE COURT,#104,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.2569624,-83.7166226
"2115 ROBERTS LN,LANSING,MI,48910",1.0,0.0,0.0,42.71006211,-84.54350143
"2119 CHAPS DR.,TROY,MI,48085",0.0,0.0,1.0,42.5973845,-83.10735129999998
"2124 TUOMY RD,ANN ARBOR,MI,48104",0.0,0.0,1.0,42.2660565,-83.71644479999998
"2126 GANTON DRIVE,JACKSON,MI,49203",1.0,0.0,0.0,42.23083472,-84.45838646
"213 EAST MICHIGAN AVE,MARSHALL,MI,49068",1.0,0.0,0.0,42.27212626,-84.95762072
"213 W. ROCKWELL ST.,FENTON,MI,48430",1.0,0.0,0.0,42.79105420000001,-83.70793590000002
"2130 WASHTENNAW AVE,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.264515100000004,-83.7184964
"2131 64ST SW,UNIT 1201,BYRON CENTER,MI,49315",1.0,0.0,0.0,42.80008605,-85.73629241
"2131 HUDSON AVENUE,KALAMAZOO,MI,49008",0.0,0.0,1.0,42.27028823,-85.59700697
"2131 ITSELL RD,HOWELL,MI,48843",0.0,0.0,1.0,42.56727604,-83.84711181
"21312 VAN K DRIVE,GROSSE POINTE WOODS,MI,48236",1.0,0.0,0.0,42.4449998,-82.8800392
"2139 WILDFIELD DRIVE NE,GRAND RAPIDS,MI,49505",0.0,0.0,1.0,43.00108726,-85.61592894
"214 JOY RD,ADRIAN,MI,49221",1.0,0.0,0.0,41.90193326,-84.08489329
"214 WINSTON DRIVE,MARSHALL,MI,49068",0.0,0.0,1.0,42.26794523,-84.98612768
"2140 LAKE MICHIGAN DRIVE,GRAND RAPIDS,MI,49504",1.0,0.0,0.0,42.97143907,-85.72337216
"2145 MELROSE,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.267545500000004,-83.71595699999997
"2147 ASCOT,ANN ARBOR,MI,48103",0.0,0.0,1.0,42.2540467,-83.756359
"215 LOTHROP RD,GROSSE POINTE FARMS,MI,48236",0.0,0.0,1.0,42.4028265,-82.9013099
"2150 LAKE MICHIGAN DR NW,GRAND RAPIDS,MI,49504",1.0,0.0,0.0,42.97144049,-85.72346885
"2150 LAKE MICHIGAN DR.,GRAND RAPIDS,MI,49504",1.0,0.0,0.0,42.97144049,-85.72346885
"2151 E 14 MILE RD,BIRMINGHAM,MI,480097247",1.0,0.0,0.0,42.5325808,-83.1928572
"2157 LAWNDALE AVE.,WEST BLOOMFIELD,MI,48323",1.0,0.0,0.0,42.5554475,-83.32522220000001
"2160 PENNSYLVANIA AVE,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.2693546,-83.7793352
"2160 PENNSYLVANIA,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.2693546,-83.7793352
"21660 BARRINGTON DRIVE,WOODHAVEN,MI,48183",1.0,0.0,0.0,42.1491465,-83.25601280000002
"21671 RIVER RD,GROSSE POINTE WOODS,MI,48236",1.0,0.0,0.0,42.449513700000004,-82.8892797
"217 S BEECH DALY,DEARBORN HEIGHTS,MI,48125",1.0,0.0,0.0,42.3109362,-83.29057390000001
"2177 STONE RD,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.29495285,-83.70032558
"21775 WILDWOOD,DEARBORN,MI,48128",1.0,0.0,0.0,42.326112200000004,-83.2511281
"218 S MAIN,ROMEO,MI,48065",1.0,0.0,0.0,42.799190700000004,-83.0139724
"21800 PONTIAC TRAIL,SOUTH LYON,MI,48178",1.0,0.0,0.0,42.441094299999996,-83.64928509999999
"21800 PONTIAC TRAIL,SUITE 100,SOUTH LYON,MI,48178",1.0,0.0,0.0,42.441094299999996,-83.64928509999999
"219 W ROBERTS ST,FENTON,MI,48430",1.0,0.0,0.0,42.7973527,-83.70768290000002
"2200 FULLER CT #306B,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.2853114,-83.7171968
"22006 GREATER MACK,SAINT CLAIR SHORES,MI,48080",0.0,0.0,1.0,42.456131,-82.901813
"22039 BARCLAY DR,NOVI,MI,48374",1.0,0.0,0.0,42.4475385,-83.5113554
"2205 N CEDAR ST,HOLT,MI,48842",1.0,0.0,0.0,42.645898100000004,-84.52153609
"2206 WEST JOHN BEERS ROAD,STEVENSVILLE,MI,49127",1.0,0.0,0.0,42.0143345,-86.50676304
"2207 JACKSON AVENUE,ANN ARBOR,MI,48103",0.0,0.0,1.0,42.280345399999995,-83.7773817
"221 N FIFTH STREET,WEST BRANCH,MI,48661",1.0,0.0,0.0,44.27874676,-84.24138639
"221 N HOOKER,THREE RIVERS,MI,49093",1.0,0.0,0.0,41.94456342,-85.63937283
"2210 OAK AVE,MUSKEGON,MI,49445",1.0,0.0,0.0,43.26434825,-86.25638544
"22100 W OUTER DR,DEARBORN,MI,48124",1.0,0.0,0.0,42.2845146,-83.2325277
"2211 W GENESEE AVE.,SAGINAW,MI,48602",1.0,0.0,0.0,43.43525616,-83.96924890000003
"22110 ORCHARD WAY CT    42450 W 12 MILE RD #1,BEVERLY HILLS,MI,48025",0.0,0.0,1.0,42.5255145,-83.2654934
"2215 CLAWSON AVE,APARTMENT 204,ROYAL OAK,MI,48073",1.0,0.0,0.0,42.5072938,-83.1735897
"2215 FULLER RD,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.2865525,-83.7153695
"2215 FULLER RD.,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.2865525,-83.7153695
"2215 FULLER ROAD,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.2865525,-83.7153695
"2215 FULLER ROAD,VA ANN ARBOR HEALTHCARE,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.33131743,-83.70707325
"22150 ALLEN ROAD,WOODHAVEN,MI,48183",1.0,0.0,0.0,42.14685520000001,-83.2270267
"2222 LINDEN RD #D,FLINT,MI,485325413",1.0,0.0,0.0,42.9966664,-83.7731571
"2222 OAKSHIRE,BERKLEY,MI,48072",1.0,0.0,0.0,42.4927757,-83.19500649999998
"2223 PACKARD STE 14,ANN ARBOR,MI,48104",0.0,0.0,1.0,42.2551774,-83.725348
"22245 WATSONIA,DEARBORN,MI,48128",1.0,0.0,0.0,42.3247071,-83.2558855
"22265 CURRIE RD,NORTHVILLE,MI,48167",1.0,0.0,0.0,42.446188,-83.59411379999997
"2228 MAIN ST,UBLY,MI,48475",1.0,0.0,0.0,43.7100673,-82.93053696
"2232 S. MAIN STREET,APT 164,ANN ARBOR,MI,48103",1.0,0.0,0.0,42.25371276,-83.75007065
"22352 FOREST AVE,CASSOPOLIS,MI,49031",1.0,0.0,0.0,41.89837279,-85.98732071
"2236 PINEY POINT,LANSING,MI,48917",1.0,0.0,0.0,42.757917799999994,-84.6417613
"2237 BEDTELYON RD,WEST BRANCH,MI,48661",1.0,0.0,0.0,44.27032097,-84.08473773
"2241 JOHNS DR,BRIGHTON,MI,48114",1.0,0.0,0.0,42.57139948,-83.70929379
"22446 MADISON,ST. CLAIR SHORES,MI,48081",1.0,0.0,0.0,42.4814881,-82.8876021
"22449 PADDINGTON COURT,NOVI,MI,48374",1.0,0.0,0.0,42.4480545,-83.5049334
"225 E. GRAND RIVER,SUITE 200,BRIGHTON,MI,48116",0.0,0.0,1.0,42.52817917,-83.77946474
"2260 S HURON PKWY,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.254607899999996,-83.6972571
"22621 HARPER AVE,SAINT CLAIR SHORES,MI,480801821",1.0,0.0,0.0,42.4629527,-82.9095402
"2265 LIVENOIS,SUITE #406,TROY,MI,48083",1.0,0.0,0.0,42.55702216,-83.11685947
"22655 M82,HOWARD CITY,MI,49329",1.0,0.0,0.0,43.40631342,-85.48345945
"2266 FRANKFORT HWY,PO BOX 793,FRANKFORT,MI,49635",1.0,0.0,0.0,44.6339374,-86.1946259
"2266 MITCHELL PARK DRIVE,PETOSKEY,MI,49770",0.0,0.0,1.0,45.3747269,-84.92248190000002
"22692 PONTCHARTRAIN,SOUTHFIELD,MI,48301",0.0,0.0,1.0,42.4904494,-83.26777
"227 NORTH WILSON AVE,ROYAL OAK,MI,48067",1.0,0.0,0.0,42.4921348,-83.12613909999997
"2277 SCIENCE PARKWAY,OKEMOS,MI,48864",1.0,0.0,0.0,42.70670487,-84.43557174
"228 PINEHURST DR,CANTON,MI,48188",1.0,0.0,0.0,42.3054868,-83.49204540000002
"22801 NEWMAN,DEARBORN,MI,48124",0.0,0.0,1.0,42.30228320000001,-83.2563939
"22801 NEWMANSTREET,DEARBORN,MI,48124",0.0,0.0,1.0,42.29831617,-83.24750871
"2281 CHATEAU RD,CANTON,MI,48188",1.0,0.0,0.0,42.2852993,-83.5283505
"2281 POND VALLEE DRIVE,OAKLAND,MI,48363",1.0,0.0,0.0,42.751448499999995,-83.1846829
"2282 BREEZY POINT DR NE,GRAND RAPIDS,MI,49525",1.0,0.0,0.0,43.029055299999996,-85.6127983
"22847 BRAYDON CT,NOVI,MI,48374",1.0,0.0,0.0,42.458616299999996,-83.49512659999998
"2288 PRIVATE DRIVE,WATERFORD,MI,48329",0.0,1.0,0.0,42.6877676,-83.33390279999998
"22881 CHERRY HILL ST,DEARBORN,MI,48124",1.0,0.0,0.0,42.31034323,-83.25884182
"2289 NORWALK ST.,HAMTRAMCK,MI,48212",1.0,0.0,0.0,42.394304,-83.0615954
"229 NORTH HELEN AVE,ROCHESTER,MI,48307",1.0,0.0,0.0,42.6783669,-83.1460927
"22900 PONTIAC TRAIL,SOUTH LYON,MI,48178",0.0,0.0,1.0,42.44976196,-83.650563
"22905 W MAIN,PO BOX 905,ARMADA,MI,48005",1.0,0.0,0.0,42.84436470000001,-82.88664720000001
"22941 HOLLANDER,DEARBORN,MI,48128",1.0,0.0,0.0,42.3204854,-83.25980909999998
"22944 W OUTER DR,DEARBORN,MI,48124",1.0,0.0,0.0,42.277959700000004,-83.2185934
"230 S CLARK ST,ATHENS,MI,49011",1.0,0.0,0.0,42.08570129,-85.23696159999999
"2300 GENOA BUSINESS PARK DR,SUITE 250,BRIGHTON,MI,48114",1.0,0.0,0.0,42.570026399999996,-83.74842171
"2300 HAGGERTY RD  STE 2040,WEST BLOOMFIELD,MI,48323",1.0,0.0,0.0,42.5568141,-83.43789890000002
"2300 HAGGERTY RD,SUITE 1160,WEST BLOOMFIELD,MI,48323",0.0,0.0,2.0,42.5568141,-83.43789890000002
"2301 PLATT RD STE 100,ANN ARBOR,MI,48104",0.0,0.0,1.0,42.2536032,-83.6991908
"2301 S HURON PKWY,APT 1B,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.2535173,-83.69718409999999
"23015 BELLWOOD DR,SOUTHFIELD,MI,48034",1.0,0.0,0.0,42.4917687,-83.2709532
"23033 FREMONT DRIVE NORTH,SOUTH LYON,MI,48178",0.0,0.0,1.0,42.4540764,-83.5704085
"23077 GREENFIELD RD #210,SOUTHFIELD,MI,48075",1.0,0.0,0.0,42.4603458,-83.2024276
"2310 E. STADIUM BLVD.,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.259880100000004,-83.71532509999999
"23100 CHERRY HILL,DEARBORN,MI,48124",1.0,0.0,0.0,42.312085499999995,-83.2623605
"23100 CHERRY HILL,SUITE 3,DEARBORN,MI,48124",1.0,0.0,2.0,42.312085499999995,-83.2623605
"2315 EAST HAMMOND LAKE,BLOOMFIELD HILLS,MI,48302",1.0,0.0,0.0,42.606986299999996,-83.3203111
"2317 SMALLEY ST,JACKSON,MI,49203",0.0,0.0,1.0,42.23049883,-84.44146156
"2318 VALLEY VISTA,DAVISON,MI,48423",1.0,0.0,0.0,43.0397847,-83.5134839
"2319 MARSHWOOD DR,JACKSON,MI,49203",1.0,0.0,0.0,42.19702439,-84.45064316
"23190 HALSTED ROAD, APT 216,FARMINGTON HILLS,MI,48335",1.0,0.0,0.0,42.4597049,-83.4127955
"2323 EAST PARIS AVE. SE,SUITE 102,GRAND RAPIDS,MI,49546",0.0,0.0,1.0,42.92123294,-85.56929079999998
"2325 HAWTHORN DRIVE,MOUNT PLEASANT,MI,48858",1.0,0.0,0.0,43.61520274,-84.79617511
"2325 SUMMIT PARK DRIVE #D,PETOSKEY,MI,49770",1.0,0.0,0.0,45.376797499999995,-84.9218082
"2330 44TH ST SE,KENTWOOD,MI,49508",1.0,0.0,0.0,42.88363526,-85.60762648
"23304 ORCHARD LAKE RD,FARMINGTON HILLS,MI,48336",0.0,0.0,1.0,42.46310089999999,-83.3562878
"2340 MARWOOD,WATERFORD,MI,48328",1.0,0.0,0.0,42.6708982,-83.35274140000001
"2340 S COMMERCE RD,WALLED LAKE,MI,483902126",1.0,0.0,0.0,42.5548615,-83.47461070000001
"23400 MICHIGAN AVE SUITE 112,DEARBORN,MI,48124",0.0,0.0,1.0,42.3029718,-83.2645386
"23400 MICHIGAN AVE,STE 112,DEARBORN,MI,48124",0.0,0.0,2.0,42.3029718,-83.2645386
"2342 JOHN R ROAD,APT. 105,TROY,MI,48083",1.0,0.0,0.0,42.556998,-83.10534059999998
"23420 DENTON ST,APT 248,CLINTON TOWNSHIP,MI,48036",1.0,0.0,0.0,42.570873999999996,-82.88040840000002
"23441 CARLYSLE ST,,DEARBORN,MI,48124",1.0,0.0,0.0,42.28334,-83.2636282
"2349 HASLETT RD,EAST LANSING,MI,48823",1.0,0.0,0.0,42.74696272,-84.42769667
"235 S CENTER AVE,SAGINAW,MI,48638",1.0,0.0,0.0,43.41363003,-84.01473027
"235 S CENTER RD,SAGINAW,MI,486036112",1.0,0.0,0.0,43.41363003,-84.01473027
"2350 ARBOR TREE CT SE,GRAND RAPIDS,MI,49546",1.0,0.0,0.0,42.9220956,-85.5160264
"2350 GREEN ROAD,SUITE 190,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.308899200000006,-83.6897106
"2355 ARBOR TREE COURT,GRAND RAPIDS,MI,49546",1.0,0.0,0.0,42.9217904,-85.51699029999997
"2355 EAST PARIS RD,GRAND RAPIDS,MI,49546",1.0,0.0,0.0,42.92095516,-85.56927493
"2357 BAY WOODS COURT,BAY CITY,MI,48706",1.0,0.0,0.0,43.56164526,-83.96025337
"2362 EMERALD FOREST CIRCLE,EAST LANSING,MI,48823",1.0,0.0,0.0,42.73727536,-84.43891221
"23625 WOODWARD,FERNDALE,MI,48220",1.0,0.0,0.0,42.4678694,-83.14014240000002
"2368 HIGHLAND DRIVE,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.27668008,-83.71784429
"23693 LELO COURT,SOUTHFIELD,MI,48075",1.0,0.0,0.0,42.463675200000004,-83.2156895
"2373 TRILLIUM WOODS DR,ANN ARBOR,MI,48105",1.0,0.0,0.0,42.30527100000001,-83.67787269
"23800 GREATER MACK,SAINT CLAIR SHORES,MI,48080",0.0,0.0,1.0,42.4686069,-82.89638409999998
"2385 DORCHESTER DR N APT 205,TROY,MI,48084",1.0,0.0,0.0,42.55480131,-83.18458464
"23851 FORD RD,DEARBORN,MI,48128",0.0,0.0,1.0,42.326722600000004,-83.270895
"2388 COLE STREET #103,BIRMINGHAM,MI,48009",1.0,0.0,0.0,42.540112,-83.191006
"23895 NOVI ROAD,#200,NOVI,MI,48375",0.0,0.0,1.0,42.4643836,-83.4753608
"2393 HERONWOOD DRIOVE,BLOOMFIELD HILLS,MI,48302",1.0,0.0,0.0,42.58570015,-83.29518133
"23975 NOVI RD STE A-104,NOVI,MI,483753244",1.0,0.0,0.0,42.465402600000004,-83.4771285
"24 FAIR ACRES DR,GROSSE POINTE,MI,48236",0.0,0.0,1.0,42.4044099,-82.8892467
"240 E GRAND BLANC RD,GRAND BLANC,MI,484391304",2.0,0.0,0.0,42.9260691,-83.6324694
"240 VICTORIAN HILLS DR,OKEMOS,MI,48864",1.0,0.0,0.0,42.69962967,-84.36781712
"2402 VINEWOOD BLVD.,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.2726755,-83.71503009999998
"24070 MEADOWLARK STREET,OAK PARK,MI,48237",0.0,0.0,1.0,42.468561799999996,-83.15992740000002
"2410 E. G AVE,KALAMAZOO,MI,49004",1.0,0.0,0.0,42.33264129,-85.55054087
"24100 DRAKE RD.,SUITE C,FARMINGTON,MI,48335",1.0,0.0,0.0,42.468241600000006,-83.3956766
"2411 POINTER RD.,WEST BRANCH,MI,48661",1.0,0.0,0.0,44.26471882,-84.30661283
"2412 LAKE LANSING RD,LANSING,MI,48912",0.0,0.0,1.0,42.76064758,-84.51732869
"24125 DRAKE RD,FARMINGTON,MI,48335",1.0,0.0,0.0,42.46766029999999,-83.3980037
"2414 WALMAR DRIVE,LANSING,MI,48917",1.0,0.0,0.0,42.759189899999996,-84.6344793
"2421 MEDFORD ROAD,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.25270379999999,-83.7104066
"2424 SPRING ARBOR RD,JACKSON,MI,49203",1.0,0.0,0.0,42.23452237,-84.44293743
"2425 E. 12 MILE RD,SUITE B,WARREN,MI,48092",1.0,0.0,0.0,42.5057252,-83.08016629999999
"2425 EAST TWELVE MILE RD,SUITE B,WARREN,MI,48092",1.0,0.0,0.0,42.51399729,-83.05941438
"2425 OWEN ROAD,SUITE A,FENTON,MI,48430",1.0,0.0,0.0,42.7895544,-83.7227457
"24255 W 13 MILE RD.,SUITE 150,BINGHAM FARMS,MI,48025",0.0,0.0,1.0,42.515120700000004,-83.28362829999998
"24255 W 13 MILE,SUITE 170,FRANKLIN,MI,48025",1.0,0.0,0.0,42.515120700000004,-83.28362829999998
"24255 W THIRTEEN MILE RD,SUITE 150,BINGHAM FARMS,MI,48025",1.0,0.0,0.0,42.52034872,-83.26746367
"2429 WINDING BROOK,ROCHESTER,MI,48309",0.0,0.0,1.0,42.626989,-83.1775715
"2430 WASHTENAW,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.2598755,-83.7125047
"24301 AMANDA LANE,NOVI,MI,48375",1.0,0.0,0.0,42.4682354,-83.4475104
"24327 HOOVER CT. #1832,FARMINGTON HILLS,MI,48335",1.0,0.0,0.0,42.4704164,-83.4103083
"2440 PARMENTER BLVD,UNIT 201,ROYAL OAK,MI,48073",1.0,0.0,0.0,42.536282799999995,-83.17483309999999
"2440 PARMENTER BLVD,UNIT 206 B,ROYAL OAK,MI,48073",1.0,0.0,0.0,42.536282799999995,-83.17483309999999
"2444 PACKARD RD,YPSILANTI,MI,48197",1.0,0.0,0.0,42.24537700000001,-83.650287
"245 S RIDGE,PORT SANILAC,MI,48469",1.0,0.0,0.0,43.44059635,-82.55695261
"24516 CAVENDISH AVENUE EAST,NOVI,MI,48375",1.0,0.0,0.0,42.470848600000004,-83.48039320000002
"24519 THATCHER DRIVE,NOVI,MI,48375",1.0,0.0,0.0,42.4707547,-83.4846249
"24520 MEADOWBROOK STE 100,NOVI,MI,48375",1.0,0.0,0.0,42.4696338,-83.4547815
"2453 HIGHRIDGE HILLS LN SE,GRAND RAPIDS,MI,49546",1.0,0.0,0.0,42.92760487,-85.53744016
"24582 JAMESTOWN,NOVI,MI,48375",1.0,0.0,0.0,42.47007429999999,-83.4876974
"24619 HARPER AVE,SAINT CLAIR SHORES,MI,48080",1.0,0.0,0.0,42.4774015,-82.9032054
"2465 BYRON STATION DR SW,SUITE D,BYRON CENTER,MI,49315",1.0,0.0,0.0,42.8225828,-85.7244804
"2474 TAPIO CIR,ANN ARBOR,MI,48105",0.0,0.0,1.0,42.33131743,-83.70707325
"2476 JOLLY RD,OKEMOS,MI,48864",1.0,0.0,0.0,42.68300697,-84.44037003
"24800 LAHSER ROAD,SOUTHFIELD,MI,48034",1.0,0.0,0.0,42.4710598,-83.2597505
"2485 W WALTON BLVD,WATERFORD TOWNSHIP,MI,48329",1.0,0.0,1.0,42.6797431,-83.33748840000001
"2485 W WALTON BLVD,WATERFORD,MI,48329",1.0,0.0,0.0,42.6797431,-83.33748840000001
"2487 PONTIAC DR,SYLVAN LAKE,MI,48320",1.0,0.0,0.0,42.620090999999995,-83.33597309999998
"2490 S ROCHESTER RD,ROCHESTER HILLS,MI,48307",1.0,0.0,0.0,42.643491600000004,-83.1326332
"24901 KELLY RD,EASTPOINTE,MI,48021",2.0,0.0,0.0,42.4789823,-82.92817009999997
"2499 PACKARD ST APT D,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.24941667,-83.72122685
"250 CENTRAL ST,BATTLE CREEK,MI,49017",1.0,0.0,0.0,42.3350769,-85.17361993
"2500 7TH AVE S  STE 216,ESCANABA,MI,49829",1.0,0.0,0.0,45.73745277,-87.08748562
"2500 7TH AVE SO,SUITE 214,ESCANABA,MI,49829",0.0,0.0,1.0,45.73745277,-87.08748562
