IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"105 E GREEN ST,MARSHALL,MI,49068-1532",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"105 GILES AVE,BLISSFIELD,MI,49228-1238",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"105 HIGHLAND AVE,BATTLE CREEK,MI,49015-3264",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10501 ALLEN RD STE 105,ALLEN PARK,MI,48101-1157",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10511 CITATION DR STE 100,BRIGHTON,MI,48116-8418",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1052 E WEST MAPLE RD,WALLED LAKE,MI,48390-3571",1.5,,0.0,,0.0,,,,,,0.0,1.0,,
"10535 FARMINGTON RD,LIVONIA,MI,48150-5732",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1055 W FAIR AVE,MARQUETTE,MI,49855-2665",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"106 E GARFIELD AVE,CHARLEVOIX,MI,49720-1721",0.125,,0.0,,0.0,,,,,,0.0,1.0,,
"106 E HURON AVE STE A,ROGERS CITY,MI,49779-1317",0.08333333333333333,,0.0,,0.0,,,,,,0.0,1.0,,
"106 E MAIN ST,SEBEWAING,MI,48759-1568",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"106 NANITA DR,MONTROSE,MI,48457-9164",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"106 S MAIN ST,ALMONT,MI,48003-1066",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1060 W MAIN ST,GAYLORD,MI,49735-8101",2.2714914170796523,,0.0,,0.0,,,,,,0.0,1.0,,
"1068 S TELEGRAPH RD,MONROE,MI,48161-4056",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10680 E CARTER RD,TRAVERSE CITY,MI,49684-5437",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10683 S SAGINAW ST STE A,GRAND BLANC,MI,48439-8127",0.0,,0.0,,1.0,,,,,,0.0,1.0,,
"107 MUSTANG LN,AUBURN,MI,48611-9362",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10711 N STRAITS HWY,CHEBOYGAN,MI,49721-9077",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"108 S LAKE ST,EAST JORDAN,MI,49727-9375",0.7,,0.0,,0.0,,,,,,0.0,1.0,,
"108 S MAIN ST,ITHACA,MI,48847-1440",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1080 CREEKWOOD TRL,BURTON,MI,48509-1564",0.5263157894736842,,0.0,,0.0,,,,,,0.0,1.0,,
"1080 E WEST MAPLE RD,WALLED LAKE,MI,48390-3571",1.096825396825397,,0.0,,0.0,,,,,,0.0,1.0,,
"1081 N ANN ARBOR ST,SALINE,MI,48176-2000",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1083 E M 21,OWOSSO,MI,48867-9014",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1083 E MAPLE RD,BIRMINGHAM,MI,48009-6424",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1088 S BAILEY AVE STE A,SOUTH HAVEN,MI,49090-6723",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"109 E WILLIAMS ST,OWOSSO,MI,48867-2360",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1095 S STATE RD,DAVISON,MI,48423-1933",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10984 MIDDLEBELT RD,LIVONIA,MI,48150-3058",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"11 W 14 MILE RD STE 202,CLAWSON,MI,48017-3104",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"110 ARBOR LN,ALPENA,MI,49707-1302",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"110 E LAKE ST,SOUTH LYON,MI,48178-1409",3.0,,0.0,,0.0,,,,,,0.0,1.0,,
"110 N COCHRAN AVE,CHARLOTTE,MI,48813-1508",0.0,,0.0,,0.6666666666666666,,,,,,0.0,1.0,,
"110 S DRYDEN ST,HART,MI,49420-1105",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1100 4 MILE RD NW,GRAND RAPIDS,MI,49544-7397",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1100 W UNIVERSITY DR,ROCHESTER HILLS,MI,48307-1878",1.1666666666666667,,0.0,,0.0,,,,,,0.0,1.0,,
"11000 HIGHLAND RD,WHITE LAKE,MI,48386-2153",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1101 BYRON RD,HOWELL,MI,48843-1005",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1101 E WALTON BLVD STE 302,PONTIAC,MI,48340-1590",3.6264469640486623,,0.0,,0.0,,,,,,0.0,1.0,,
"1101 N ANN ARBOR ST,SALINE,MI,48176-2000",3.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1101 S LINCOLN RD,ESCANABA,MI,49829-2178",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1103 DELTA AVE,GLADSTONE,MI,49837-1438",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1103 N MAIN ST STE A,ROYAL OAK,MI,48067-1363",2.5,,0.0,,0.25,,,,,,0.0,1.0,,
"111 E LONG LAKE RD,TROY,MI,48085-5524",2.3583767539649902,,0.0,,0.09090909090909093,,,,,,0.0,1.0,,
"111 E MICHIGAN AVE,MARSHALL,MI,49068-1543",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"111 HAROLD ST,MIDLAND,MI,48640-4416",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"111 N HURON ST,YPSILANTI,MI,48197-2676",1.8931934692448318,,0.0,,0.028571428571428567,,,,,,0.0,1.0,,
"111 W 13 MILE RD,MADISON HEIGHTS,MI,48071-1857",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1110 E BROOMFIELD ST,MOUNT PLEASANT,MI,48858-4437",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1110 HENRY ST,ANN ARBOR,MI,48104-4339",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1111 W HILL RD STE A,FLINT,MI,48507-4724",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1113 BOARDMAN RD,JACKSON,MI,49202-1901",1.7627917833800184,,0.0,,0.0,,,,,,0.0,1.0,,
"11140 HIGHLAND RD,HARTLAND,MI,48353-2702",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1117 N SAGINAW ST,HOLLY,MI,48442-1354",2.215952511540748,,0.0,,0.0,,,,,,0.0,1.0,,
"1117 W CIVIC CENTER DR,TRAVERSE CITY,MI,49686-2964",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"112 E MAIN ST,BOYNE CITY,MI,49712-1336",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"112 N MONROE ST,ROCKFORD,MI,49341-1419",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"112 W GRAND RIVER AVE,HOWELL,MI,48843-2268",0.3333333333333333,,0.0,,0.0,,,,,,0.0,1.0,,
"1121 E STADIUM BLVD,ANN ARBOR,MI,48104-4615",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1121 N SAGINAW ST STE 4,HOLLY,MI,48442-1380",1.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1121 OTTAWA BEACH RD STE 100,HOLLAND,MI,49424-2528",3.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11225 TALLMADGE WOODS DR NW,GRAND RAPIDS,MI,49534-6306",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1124 28TH ST SW,WYOMING,MI,49509-2855",5.82420242496202,,0.0,,0.07142857142857142,,,,,,0.0,1.0,,
"1125 MICHIGAN AVE E STE 7,BATTLE CREEK,MI,49014-6832",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11270 E 13 MILE RD,WARREN,MI,48093-2599",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"113 E 7TH ST,MANTON,MI,49663-9429",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"113 N WASHINGTON ST,OXFORD,MI,48371-4670",0.5,,0.0,,0.5333333333333333,,,,,,0.0,1.0,,
"113 S CHERRY ST,FLUSHING,MI,48433-2018",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"113 S KALAMAZOO ST,WHITE PIGEON,MI,49099-8149",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"113 WASHINGTON ST,HART,MI,49420-1198",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11301 COMMERCE DR STE A,ALLENDALE,MI,49401-8200",4.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1132 VOORHEIS RD,WATERFORD,MI,48328-3944",1.3333333333333333,,0.0,,0.0,,,,,,0.0,1.0,,
"11329 JOSEPH CAMPAU ST,HAMTRAMCK,MI,48212-3038",0.3333333333333333,,0.0,,0.0,,,,,,0.0,1.0,,
"1134 E GANSON ST,JACKSON,MI,49201-1844",1.6666666666666663,,0.0,,0.0,,,,,,0.0,1.0,,
"1135 S LAPEER RD,LAKE ORION,MI,48360-1432",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"114 ARBOR LN,ALPENA,MI,49707-1302",0.3333333333333333,,0.0,,1.1666666666666663,,,,,,0.0,1.0,,
"114 N MAIN,PERRY,MI,48872-5103",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"114 S COCHRAN AVE,CHARLOTTE,MI,48813-1510",2.526315789473684,,0.3333333333333333,,0.0,,,,,,0.0,1.0,,
"114 W 5TH ST,CLARE,MI,48617-1415",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1140 N STATE ST STE 2805,SAINT IGNACE,MI,49781-1048",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11404 N STRAITS HWY,CHEBOYGAN,MI,49721-9001",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11436 HIGHLAND RD,HARTLAND,MI,48353-2735",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11451 JOSEPH CAMPAU ST,HAMTRAMCK,MI,48212-3040",0.6666666666666666,,0.0,,0.0,,,,,,0.0,1.0,,
"11453 15 MILE RD,STERLING HEIGHTS,MI,48312-3809",4.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11470 S LEELANAU HWY STE 101,EMPIRE,MI,49630-9701",1.3333333333333333,,0.0,,0.0,,,,,,0.0,1.0,,
"11479 HIGHLAND RD,HARTLAND,MI,48353-2737",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"115 ARBOR LN,ALPENA,MI,49707-1301",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"115 S PHELPS ST,DECATUR,MI,49045-1117",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1150 N HUDSON ST,LOWELL,MI,49331-1000",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1151 EAST PARIS AVE SE STE 100,GRAND RAPIDS,MI,49546-8369",1.1428571428571428,,0.0,,0.0,,,,,,0.0,1.0,,
"11525 HIGHLAND RD STE 11,HARTLAND,MI,48353-2726",0.0,,0.0,,0.3928571428571429,,,,,,0.0,1.0,,
"11525 HIGHLAND RD STE 21,HARTLAND,MI,48353-2726",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"11532 MORANG DR,DETROIT,MI,48224-1721",1.3575091575091571,,0.0,,0.0,,,,,,0.0,1.0,,
"116 COLE RD,MONROE,MI,48162-4104",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"116 E VICTORIA ST,HALE,MI,48739",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"116 N 9TH ST STE B,GLADSTONE,MI,49837-1660",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"116 N MAIN ST,STANDISH,MI,48658-5100",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"116 W COLBY ST STE 1,WHITEHALL,MI,49461-1084",3.0,,0.0,,0.0,,,,,,0.0,1.0,,
"116 W SUPERIOR ST,MUNISING,MI,49862-1124",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11666 MARTIN RD,WARREN,MI,48093-4511",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"117 MEDICAL CENTER DR,CARLETON,MI,48117-9461",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"11745 E MICHIGAN AVE,GRASS LAKE,MI,49240-9219",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1176 1/2 S LAPEER RD STE B,LAPEER,MI,48446-3385",0.0,,0.0,,1.0,,,,,,0.0,1.0,,
