IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1015 ASHMAN ST,MIDLAND,MI,48640-4910",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1017 HURON AVE,PORT HURON,MI,48060-3770",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1018 JOSLYN AVE,PONTIAC,MI,48340-2929",3.083333333333333,4.833333333333333,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10192 GRAND RIVER RD STE 104,BRIGHTON,MI,48116-6516",2.0,5.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"102 BRIDGE ST,ELK RAPIDS,MI,49629-5110",1.5,,0.0,,0.0,,,,,,0.0,1.0,,
"102 E CASS ST,SAINT JOHNS,MI,48879-1833",3.0,3.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"102 S BUCHANAN ST,SPRING LAKE,MI,49456-2005",1.1666666666666663,,0.0,,0.0,,,,,,0.0,1.0,,
"102 W MONROE ST,BANGOR,MI,49013-1333",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1020 E ILLINOIS ST,MT PLEASANT,MI,48858-2911",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1021 KARL GREIMEL DR STE 103,BRIGHTON,MI,48116-9465",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1024 FLEMING AVE,JACKSON,MI,49202-2536",0.5,2.083333333333333,0.0,0.0,0.0,0.5,,,,,0.0,1.0,1.0,0.0
"1024 N GENESEE RD,BURTON,MI,48509-1433",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10241 JOY RD,DETROIT,MI,48204-3004",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1025 N 3RD ST,MARQUETTE,MI,49855-3564",1.0,1.0,1.0,0.5,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1025 W GENESEE ST,FRANKENMUTH,MI,48734-1302",1.0,3.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
