idx,BOD_addr,general,hygienist,pediatric,specialist,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
55,"1003 Oak Rd., Lilburn GA  30047",1.0,0.0,0.0,0.0,0,0,2.0,0.0
56,"1005 Cherry Creek Drive, Valdosta GA  31605",1.0,0.0,0.0,0.0,0,0,2.0,0.0
57,"1005 S Tennille Avenue, Donalsonville GA  39845",1.0,0.0,0.0,0.0,0,0,2.0,0.0
58,"1005 cherbury lane, johns creek GA  30022",1.0,0.0,0.0,0.0,0,0,2.0,0.0
59,"10055 Ford Avenue, Richmond Hill GA  31324",1.0,0.0,0.0,0.0,0,0,2.0,0.0
60,"1006 Fernwood Drive, Milledgeville GA  31061",0.0,0.0,0.0,1.0,0,0,0.0,0.0
61,"1006 Professional Blvd. Suite B, Dalton GA  30720",1.0,0.0,0.0,0.0,0,0,2.0,0.0
62,"1008 Pine Grove Dr, Alpharetta GA  30009",1.0,0.0,0.0,0.0,0,0,2.0,0.0
63,"10080 HWY 92, Woodstock GA  30188",2.0,0.0,0.0,0.0,0,0,4.0,0.0
64,"101 Beckett Lane, Suite 404, Fayetteville GA  30214",1.0,0.0,0.0,0.0,0,0,2.0,0.0
65,"101 Brunswick Ave, Saint Simons Island GA  31522",2.0,0.0,0.0,0.0,0,0,4.0,0.0
66,"101 Brunswick Avenue, Saint Simons Island GA  31522",2.0,0.0,0.0,0.0,0,0,4.0,0.0
67,"101 Chelsea Circle, Statesboro GA  30458",1.0,0.0,0.0,0.0,0,0,2.0,0.0
68,"101 Eagle Lane, Adairsville GA  30103",1.0,0.0,0.0,0.0,0,0,2.0,0.0
69,"101 Little Neck Rd Ste F, Savannah GA  31419",1.0,0.0,0.0,0.0,0,0,2.0,0.0
70,"101 PARK PLACE, Peachtree City GA  30269",1.0,0.0,0.0,0.0,0,0,2.0,0.0
71,"101 Riverstone Vista, Ste. #202, Blue Ridge GA  30513",1.0,0.0,0.0,0.0,0,0,2.0,0.0
72,"101 Steeplechase Ct, Warner Robins GA  31088",1.0,0.0,0.0,0.0,0,0,2.0,0.0
73,"101 W. Fifth Street, Adel Dental Associates, Adel GA  31620",1.0,0.0,0.0,0.0,0,0,2.0,0.0
74,"101 Whistling Duck Court, savannah GA  31406",1.0,0.0,0.0,0.0,0,0,2.0,0.0
75,"101 barkley lane, sandy springs GA  30328",0.0,0.0,0.0,1.0,0,0,0.0,0.0
76,"101 brunswick ave, Saint Simons Island GA  31522",1.0,0.0,0.0,0.0,0,0,2.0,0.0
77,"1010 Brookview Place, Athens GA  30606",1.0,0.0,0.0,0.0,0,0,2.0,0.0
78,"1010 Liberty Way, Watkinsville GA  30677",1.0,0.0,0.0,0.0,0,0,2.0,0.0
79,"1010 N Tennessee St, Suite 105, Cartersville GA  30120",4.0,0.0,0.0,1.0,0,0,8.0,0.0
80,"1010 Prince Avenue, Athens GA  30606",1.0,0.0,0.0,0.0,0,0,2.0,0.0
81,"1010 Prince Avenue, Suite 202 East, Athens GA  30606",1.0,0.0,0.0,0.0,0,0,2.0,0.0
82,"1010 Woodlands Road, Watkinsville GA  30677",1.0,0.0,0.0,0.0,0,0,2.0,0.0
83,"10104 Ford Ave, Suite G, Richmond Hill GA  31324",1.0,0.0,0.0,0.0,0,0,2.0,0.0
84,"1011 Parkside Commons, Suite 103, Greensboro GA  30642",1.0,0.0,0.0,0.0,0,0,2.0,0.0
85,"1011 Parkside Main, Greensboro GA  30642",6.0,0.0,0.0,0.0,0,0,12.0,0.0
86,"10120 Link Court, Johns Creek GA  30022",1.0,0.0,0.0,0.0,0,0,2.0,0.0
87,"1013 Annazanes Ct, Alpharetta GA  30004",1.0,0.0,0.0,0.0,0,0,2.0,0.0
88,"1013 Centre Brook Court Suite A, Columbus GA  31904",1.0,0.0,0.0,0.0,0,0,2.0,0.0
89,"1013 North 5th Avenue, Suite 6, Rome GA  30165",1.0,0.0,0.0,0.0,0,0,2.0,0.0
90,"1015 Downing St, Alpharetta GA  30022",1.0,0.0,0.0,0.0,0,0,2.0,0.0
91,"1015 Woodbury Rd, Canton GA  30114",1.0,0.0,0.0,0.0,0,0,2.0,0.0
92,"1016 Beverly Heights Drive, Augusta GA  30907",2.0,0.0,0.0,0.0,0,0,4.0,0.0
93,"1016 Mansford Lane, Evans GA  30809",1.0,0.0,0.0,0.0,0,0,2.0,0.0
94,"1017 Barret Dr, Evans GA  30809",1.0,0.0,0.0,0.0,0,0,2.0,0.0
95,"10182 Hickory Flat Hwy, Woodstock GA  30188",2.0,0.0,0.0,0.0,0,0,4.0,0.0
96,"1019 Brighton Crest Circle, Stone Mountain GA  30087",1.0,0.0,0.0,0.0,0,0,2.0,0.0
97,"101D Northside Drive, Valdosta GA  31602",1.0,0.0,0.0,0.0,0,0,2.0,0.0
98,"102 Clarendon Court, Macon GA  31210",1.0,0.0,0.0,0.0,0,0,2.0,0.0
99,"102 Crescent West, Griffin GA  30224",1.0,0.0,0.0,0.0,0,0,2.0,0.0
100,"102 Gordon St, Lawrenceville GA  30046",1.0,0.0,0.0,0.0,0,0,2.0,0.0
101,"102 North Central Ave, Adairsville GA  30103",1.0,0.0,0.0,0.0,0,0,2.0,0.0
102,"102 Riverside Drive, Eatonton GA  31024",1.0,0.0,0.0,0.0,0,0,2.0,0.0
103,"102 South Houston Road, Warner Robins GA  31088",1.0,0.0,0.0,0.0,0,0,2.0,0.0
104,"1020 Hawthorne Ave, Athens GA  30606",1.0,0.0,0.0,0.0,0,0,2.0,0.0
105,"1020 Hawthorne Avenue, Athens GA  30606",1.0,0.0,0.0,0.0,0,0,2.0,0.0
