idx,IKN_addr,general,hygienist,pediatric,specialist,X,Y,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
726,"31 HIGHWAY 138 W STE 160,STOCKBRIDGE,GA,30281-4260",0.0,0.0,0.5,0.0,-84.26061621,33.55341162,0,1,0.0,1.0
727,"310 MAPLE DR,VIDALIA,GA,30474-8909",0.0,0.0,0.0,2.0,-82.39120601,32.20657933,0,1,0.0,0.0
728,"3110 CLIFTON SPRINGS RD,DECATUR,GA,30034-4600",0.8428571428571427,0.0,0.0,0.0,-84.26777673,33.69066243,0,1,1.6857142857142855,0.0
729,"3111 AVALON BLVD STE 100,CONYERS,GA,30013-6756",1.5976210057360691,0.0,1.3738427501860089,0.0,-83.98388323,33.61528302,0,1,3.1952420114721383,2.7476855003720178
730,"3111 AVALON BLVD,CONYERS,GA,30013-6756",0.4557280825987517,0.0,0.45002359273195697,0.0,-83.98388323,33.61528302,0,1,0.9114561651975034,0.9000471854639139
731,"313 MOOTY BRIDGE RD,LAGRANGE,GA,30240-1809",6.395833333333334,0.0,0.0,0.0,-85.03249181,33.05479175,0,1,12.791666666666668,0.0
732,"314 E LEE ST,THOMASTON,GA,30286-4122",0.2159090909090909,0.0,0.0,0.0,-84.32266875,32.88565217,0,1,0.4318181818181818,0.0
733,"315 W PONCE DE LEON AVE STE 200,DECATUR,GA,30030-2483",0.0,0.0,0.06941176470588238,0.0,-84.30044399,33.77564345,0,1,0.0,0.13882352941176476
734,"315 W PONCE DE LEON AVE STE 240,DECATUR,GA,30030-2483",1.0,0.0,0.0,0.0,-84.30044399,33.77564345,0,1,2.0,0.0
735,"315 W PONCE DE LEON AVE,DECATUR,GA,30030-2400",1.0,0.0,0.0,0.0,-84.30044399,33.77564345,0,1,2.0,0.0
736,"3155 ROYAL DR STE 125,ALPHARETTA,GA,30022-2477",0.16666666666666666,0.0,0.0,0.0,-84.26500275,34.05854461,0,1,0.3333333333333333,0.0
737,"3155 ROYAL DR,ALPHARETTA,GA,30022-2475",0.25,0.0,0.0,0.0,-84.26500275,34.05854461,0,1,0.5,0.0
738,"316 W 3RD ST,JACKSON,GA,30233-1913",0.75,0.0,0.0,0.0,-83.96920791,33.29443101,0,1,1.5,0.0
739,"3162 ELM ST NE # 278,COVINGTON,GA,30014-2461",1.5,0.0,0.0,0.0,-83.85557347,33.60357241,0,1,3.0,0.0
740,"3162 ELM ST NE,COVINGTON,GA,30014-2461",2.142857142857143,0.0,0.0,0.1,-83.85557347,33.60357241,0,1,4.285714285714286,0.0
741,"318 JOHNNY MERCER BLVD STE 12,SAVANNAH,GA,31410-2196",1.0,0.0,0.0,0.0,-80.98221683,32.01413192,0,1,2.0,0.0
742,"318 JOHNNY MERCER BLVD,SAVANNAH,GA,31410-2150",4.25,0.0,0.0,0.0,-80.98221683,32.01413193,0,1,8.5,0.0
743,"319 REDMOND RD NW,ROME,GA,30165-1539",0.5,0.0,0.0,0.0,-85.19019219,34.27815248,0,1,1.0,0.0
744,"320 N JEFF DAVIS DR,FAYETTEVILLE,GA,30214-1669",0.3928571428571429,0.0,0.0,0.0,-84.45025439,33.45355707,0,1,0.7857142857142858,0.0
745,"320 STEVENS ENTRY,PEACHTREE CITY,GA,30269-1325",0.125,0.0,0.0,0.0,-84.56459717,33.41352984,0,1,0.25,0.0
746,"3201 TUCKER NORCROSS RD STE D3,TUCKER,GA,30084-2174",0.3333333333333333,0.0,0.0,0.0,-84.2203493,33.88409887,0,1,0.6666666666666666,0.0
747,"3201 TUCKER NORCROSS RD,TUCKER,GA,30084-2150",0.3333333333333333,0.0,0.0,0.0,-84.2203493,33.88409887,0,1,0.6666666666666666,0.0
748,"3230 STEVE REYNOLDS BLVD STE 212,DULUTH,GA,30096-8833",2.0,0.0,0.0,0.0,-84.14176089,33.95760325,0,1,4.0,0.0
749,"3230 STEVE REYNOLDS BLVD,DULUTH,GA,30096-8839",0.5,0.0,0.0,0.0,-84.14176089,33.95760325,0,1,1.0,0.0
750,"3271 HIGHWAY 5,DOUGLASVILLE,GA,30135-2384",11.980788144603931,0.0,0.6109310390822995,1.5416666666666667,-84.76540619,33.71731759,0,1,23.961576289207862,1.221862078164599
751,"3273 SHALLOWFORD RD NE,ATLANTA,GA,30341-3632",1.0,0.0,0.0,0.0,-84.28487195,33.88334171,0,1,2.0,0.0
752,"3275 MARKET PLACE BLVD STE 150,CUMMING,GA,30041-7980",0.0,0.0,0.09090909090909093,0.0,-84.11608985,34.20931801,0,1,0.0,0.18181818181818185
753,"3275 MARKET PLACE BLVD,CUMMING,GA,30041-7976",0.0,0.0,0.09090909090909093,0.0,-84.11608985,34.20931801,0,1,0.0,0.18181818181818185
754,"3277 HIGHLAND FORGE TRL,DACULA,GA,30019-6719",0.14285714285714285,0.0,0.0,0.0,-83.91092381,34.04224225,0,1,0.2857142857142857,0.0
755,"328 NORTHGATE DR,DALTON,GA,30721-8680",0.4120644382939465,0.0,0.0,0.5535714285714286,-84.96080597,34.79802669,0,1,0.8241288765878929,0.0
756,"3280 HOWELL MILL RD NW STE 121,ATLANTA,GA,30327-4107",0.0,0.0,1.0,0.0,-84.42835319,33.8436958,0,1,0.0,2.0
757,"3280 HOWELL MILL RD NW STE 315,ATLANTA,GA,30327-4109",0.5,0.0,0.0,0.0,-84.42835319,33.8436958,0,1,1.0,0.0
758,"3280 HOWELL MILL RD NW,ATLANTA,GA,30327-4111",0.5,0.0,0.0,0.0,-84.42835319,33.8436958,0,1,1.0,0.0
759,"3280 OLD ALABAMA RD STE 200,JOHNS CREEK,GA,30022-8544",0.030303030303030307,0.0,0.0,0.0,-84.26530856,34.02130055,0,1,0.060606060606060615,0.0
760,"3280 OLD ALABAMA RD,JOHNS CREEK,GA,30022-8544",0.030303030303030307,0.0,0.0,0.0,-84.26530856,34.02130055,0,1,0.060606060606060615,0.0
761,"3296 SUMMIT RIDGE PKWY STE 2210,DULUTH,GA,30096-6337",1.0,0.0,0.0,0.0,-84.16365292,33.98615741,0,1,2.0,0.0
762,"3296 SUMMIT RIDGE PKWY,DULUTH,GA,30096-1624",1.0,0.0,0.0,0.0,-84.16365292,33.98615741,0,1,2.0,0.0
763,"3298 NORTHSIDE DR,MACON,GA,31210-2553",2.0,0.0,0.0,0.0,-83.67849012,32.89103344,0,1,4.0,0.0
764,"330 HODGSON CT,SAVANNAH,GA,31406-2569",1.0,0.0,0.0,0.0,-81.10779474,32.01056573,0,1,2.0,0.0
765,"3300 MEMORIAL DR STE D3,DECATUR,GA,30032-2700",0.5,0.0,0.0,0.0,-84.27620355,33.74982957,0,1,1.0,0.0
766,"3300 MEMORIAL DR,DECATUR,GA,30032-2700",1.5,0.0,0.0,0.0,-84.27620355,33.74982957,0,1,3.0,0.0
767,"3300 OLD MILTON PKWY STE 250,ALPHARETTA,GA,30005-2427",0.0,0.0,0.5,0.0,-84.26593957,34.068864399999995,0,1,0.0,1.0
768,"3300 OLD MILTON PKWY,ALPHARETTA,GA,30005-2423",0.0,0.0,0.5,0.0,-84.26593957,34.068864399999995,0,1,0.0,1.0
769,"3308 HIGHWAY 5,DOUGLASVILLE,GA,30135",1.0,0.0,0.0,0.25,-84.76641095,33.71621210000001,0,1,2.0,0.0
