id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US13009970400,,"Census Tract 9704, Baldwin County, Georgia",46,0,8,7,0,0,21,21,10,0,15,0,271,136,14,0,5,0,0,0,20,96,0,0,0,263,62,0,26,26,0,0,0,0,110,28,0,11,330,170,136,26,662,,
1400000US13009970500,,"Census Tract 9705, Baldwin County, Georgia",133,25,0,0,13,0,0,0,27,20,55,0,138,107,0,0,0,0,0,0,0,31,0,0,0,97,0,39,0,0,10,0,0,0,48,0,0,0,315.5,64.5,73,55,508,,
1400000US13009970600,,"Census Tract 9706, Baldwin County, Georgia",49,9,71,20,0,0,0,47,64,22,0,0,261,114,9,17,87,0,7,0,0,0,27,0,0,154,117,0,0,24,0,0,0,0,0,13,0,0,517,86,94,0,697,,
1400000US13009970701,,"Census Tract 9707.01, Baldwin County, Georgia",0,11,0,37,6,8,31,0,21,50,0,0,187,15,18,0,28,0,55,0,0,71,0,0,0,134,30,12,0,49,5,0,0,0,30,8,0,0,205.5,160.5,119,0,485,,
1400000US13009970702,,"Census Tract 9707.02, Baldwin County, Georgia",61,40,0,22,0,0,0,0,33,0,0,0,178,122,23,0,11,6,0,0,8,8,0,0,0,166,45,15,0,26,0,0,0,68,0,0,0,12,368,99.5,20.5,12,500,,
1400000US13009970800,,"Census Tract 9708, Baldwin County, Georgia",62,14,100,121,0,0,0,0,142,122,39,0,579,38,36,101,81,66,0,0,0,145,112,0,0,162,0,0,29,0,91,0,0,0,18,24,0,0,660.5,231,410.5,39,1341,,
1400000US13011970100,,"Census Tract 9701, Banks County, Georgia",30,12,17,31,33,60,0,43,81,34,18,0,462,0,85,14,97,45,53,0,24,77,42,19,6,488,7,23,2,37,119,41,0,37,95,43,35,49,453.5,483,245.5,127,1309,,
1400000US13011970200,,"Census Tract 9702, Banks County, Georgia",23,13,14,38,4,34,0,14,65,19,7,15,294,9,8,0,84,4,12,31,3,72,41,23,7,385,14,0,21,104,28,7,30,3,68,57,27,26,346,254.5,219.5,105,925,,
1400000US13011970300,,"Census Tract 9703, Banks County, Georgia",17,0,31,0,30,44,0,29,27,52,19,8,296,15,0,0,0,0,33,0,0,79,30,131,8,453,84,0,20,21,29,61,0,25,66,61,62,24,217.5,307.5,229,252,1006,,
1400000US13011970400,,"Census Tract 9704, Banks County, Georgia",102,0,35,92,11,60,0,0,49,36,17,0,323,64,0,0,11,31,41,0,53,35,65,23,0,275,12,0,0,6,14,55,42,0,20,60,34,32,350,331,213,106,1000,,
