County_ID,County_Name,State_ID,State_Name,n^M_i,n^H_i,n^U_i,n^O_i,p_i,PREDICTED_DEMAND,STATE_FIPS,COUNTY_FIPS,County_Population_2010,RUCC_2013,NUM_DENTISTS,ACCEPTS_MED,ACCEPTS_CHIP,ACCEPTS_MED_CHIP,ONLY_PRIVATE,NUM_GENERALIST,NUM_SPECIALIST,NUM_PEDIATRITION,NUM_MED_GENERALIST,NUM_MED_SPECIALIST,NUM_MED_PEDIATRITION,NUM_CHIP_GENERALIST,NUM_CHIP_SPECIALIST,NUM_CHIP_PEDIATRITION,NUM_MED_CHIP_GENERALIST,NUM_MED_CHIP_SPECIALIST,NUM_MED_CHIP_PEDIATRITION,PUBLIC_DENTIST_RATIO,PREDICTED_SUPPLY,PUBLIC_AVAILABILITY_RATIO,label
5,Baxter County,5,Arkansas,2518,1170.28,1784.72,1550,7023,6.346243043,5,5,0,7,18,8,8,8,10,17,1,0,7,1,0,7,1,0,7,1,0,0.444444444,1.54,0.242663256,0
7,Benton County,5,Arkansas,17601,10008.2,18748.8,22318,68676,53.75463822,5,7,0,2,134,47,47,47,87,123,8,3,40,5,2,40,5,2,40,5,2,0.350746269,10.48,0.194959921,-1
9,Boone County,5,Arkansas,3457,1580.36,2492.64,715,8245,8.731447124,5,9,0,7,20,6,6,6,14,18,1,1,4,1,1,4,1,1,4,1,1,0.3,1.72,0.19698911,0
11,Bradley County,5,Arkansas,1262,353.4,544.6,406,2566,2.504638219,5,11,0,7,3,3,3,3,0,3,0,0,3,0,0,3,0,0,3,0,0,1,0.66,0.263511111,0
13,Calhoun County,5,Arkansas,649,48.6,128.4,211,1037,0.957792208,5,13,0,9,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.22,0.229694915,0
15,Carroll County,5,Arkansas,2291,998.36,2095.64,732,6117,6.244202226,5,15,0,6,6,1,1,1,5,6,0,0,1,0,0,1,0,0,1,0,0,0.166666667,0.22,0.035232683,0
17,Chicot County,5,Arkansas,1411,295.2,458.8,291,2456,2.510435993,5,17,0,7,3,2,2,2,1,3,0,0,2,0,0,2,0,0,2,0,0,0.666666667,0.44,0.17526836,0
19,Clark County,5,Arkansas,1553,928,1153,523,4157,4.213821892,5,19,0,7,11.5,6.5,6.5,6.5,5,11.5,0,0,6.5,0,0,6.5,0,0,6.5,0,0,0.565217391,1.43,0.339359384,0
21,Clay County,5,Arkansas,1619,525.64,845.36,247,3237,3.467068646,5,21,0,7,6,3,3,3,3,6,0,0,3,0,0,3,0,0,3,0,0,0.5,0.66,0.190362542,0
23,Cleburne County,5,Arkansas,1657,691.32,1583.68,815,4747,4.559369202,5,23,0,6,12,4,4,4,8,11,1,0,4,0,0,4,0,0,4,0,0,0.333333333,0.88,0.193009156,0
25,Cleveland County,5,Arkansas,933,153.72,540.28,220,1847,1.886595547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Columbia County,5,Arkansas,2176,730.48,1043.52,898,4848,4.580241187,5,27,0,7,7,3,3,3,4,7,0,0,3,0,0,3,0,0,3,0,0,0.428571429,0.66,0.144097215,0
29,Conway County,5,Arkansas,1832,860.68,1390.32,565,4648,4.734461967,5,29,0,6,4,4,4,4,0,4,0,0,4,0,0,4,0,0,4,0,0,1,0.88,0.185871173,0
31,Craighead County,5,Arkansas,9251,4407.6,6350.4,5415,25424,23.20153061,5,31,0,3,68,44,44,44,24,57,9,2,34,8,2,34,8,2,34,8,2,0.647058824,9.16,0.394801539,-1
33,Crawford County,5,Arkansas,5720,2807.32,4433.68,2274,15235,15.02898887,5,33,0,2,17,10,10,10,7,17,0,0,10,0,0,10,0,0,10,0,0,0.588235294,2.2,0.146383767,2
35,Crittenden County,5,Arkansas,6346,1990.52,3076.48,1837,13250,13.23399814,5,35,0,1,27,21,21,21,6,26,1,0,20,1,0,20,1,0,20,1,0,0.777777778,4.4,0.332477,-1
37,Cross County,5,Arkansas,1581,577.56,893.44,954,4006,3.538961039,5,37,0,6,9,5,5,5,4,9,0,0,5,0,0,5,0,0,5,0,0,0.555555556,1.1,0.310825688,0
39,Dallas County,5,Arkansas,420,215.08,430.92,108,1174,1.236085343,5,39,0,6,2,1,1,1,1,2,0,0,1,0,0,1,0,0,1,0,0,0.5,0.22,0.177981238,0
41,Desha County,5,Arkansas,1766,273.64,730.36,164,2934,3.211966605,5,41,0,6,5,4,4,4,1,5,0,0,4,0,0,4,0,0,4,0,0,0.8,0.88,0.273975451,0
43,Drew County,5,Arkansas,1386,421.84,1360.16,635,3803,3.673469388,5,43,0,6,4,2,2,2,2,4,0,0,2,0,0,2,0,0,2,0,0,0.5,0.44,0.119777778,0
45,Faulkner County,5,Arkansas,8634,3366.36,8532.64,7916,28449,23.80913729,5,45,0,2,53,26,26,26,27,43,8,2,21,3,2,21,3,2,21,3,2,0.490566038,6.3,0.264604296,3
47,Franklin County,5,Arkansas,1879,350.96,1115.04,776,4121,3.878710575,5,47,0,6,3,2,2,2,1,3,0,0,2,0,0,2,0,0,2,0,0,0.666666667,0.44,0.113439761,0
49,Fulton County,5,Arkansas,1259,165.88,674.12,299,2398,2.43390538,5,49,0,9,2,1,1,1,1,2,0,0,1,0,0,1,0,0,1,0,0,0.5,0.22,0.090389709,0
