idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
633,"2051 W WARNER RD,CHANDLER,AZ,85224-2100",0.688034188034188,0.0,0.0,33.33504751,-111.8775876,1,1,1.376068376068376,0.0
634,"20542 N LAKE PLEASANT RD STE 1,PEORIA,AZ,85382-9749",0.3333333333333333,0.0,0.0,33.66990457,-112.2800955,1,1,0.6666666666666666,0.0
635,"20542 N LAKE PLEASANT RD STE,PEORIA,AZ,85382-9749",0.5,0.0,0.0,33.66975394,-112.2800955,1,1,1.0,0.0
636,"20542 N LAKE PLEASANT RD,PEORIA,AZ,85382-9749",0.5,0.0,0.0,33.66975394,-112.2800955,1,1,1.0,0.0
637,"2055 N ALMA SCHOOL RD,CHANDLER,AZ,85224-2866",0.5,0.0,0.0,33.33607378,-111.85903290000002,1,1,1.0,0.0
638,"2060 W 24TH ST,YUMA,AZ,85364-6123",1.3482142857142856,0.0,0.30952380952380953,32.68399351,-114.644484,1,1,2.6964285714285707,0.0
639,"2072 E SOUTHERN AVE STE A101,TEMPE,AZ,85282-7500",0.5,0.0,0.0,33.39302046,-111.897081,1,1,1.0,0.0
640,"2075 W WARNER RD,CHANDLER,AZ,85224-2109",0.25,0.0,0.0,33.33507753,-111.87791029999998,1,1,0.5,0.0
641,"20800 N JOHN WAYNE PKWY STE 1,MARICOPA,AZ,85139-2738",1.8651855197211242,0.09914529914529917,0.0,33.06801438,-112.046629,1,1,3.7303710394422485,0.19829059829059836
642,"20800 N JOHN WAYNE PKWY STE 105,MARICOPA,AZ,85139-2728",0.16988416988416988,0.0,0.0,33.06801438,-112.046629,1,1,0.33976833976833976,0.0
643,"20800 N JOHN WAYNE PKWY,MARICOPA,AZ,85139-2738",2.3444543932624424,0.022222222222222227,0.16666666666666666,33.06801438,-112.046629,1,1,4.688908786524885,0.04444444444444445
644,"209 W APACHE TRL,APACHE JCT,AZ,85120-3910",0.3333333333333333,0.07692307692307693,0.0,33.41396294,-111.5484262,1,1,0.6666666666666666,0.15384615384615385
645,"209 W APACHE TRL,APACHE JUNCTION,AZ,85120-3910",0.3333333333333333,0.07692307692307693,0.0,33.41396294,-111.5484262,1,1,0.6666666666666666,0.15384615384615385
646,"2095 W FRYE RD STE 2,CHANDLER,AZ,85224-6280",0.3611111111111111,0.0,0.0,33.29863852,-111.8779515,1,1,0.7222222222222222,0.0
647,"2095 W FRYE RD,CHANDLER,AZ,85224-6280",0.1111111111111111,0.0,0.25,33.29863852,-111.8779415,1,1,0.2222222222222222,0.0
648,"2096 N KOLB RD STE 108,TUCSON,AZ,85715-4055",0.0,0.25,0.0,32.2467078,-110.8482747,1,1,0.0,0.5
649,"2096 N KOLB RD,TUCSON,AZ,85715-4055",0.0,0.25,0.0,32.2467078,-110.8482747,1,1,0.0,0.5
650,"21001 N TATUM BLVD STE 80,PHOENIX,AZ,85050-4206",0.16666666666666666,0.12037037037037035,0.0,33.67830324,-111.977269,1,1,0.3333333333333333,0.2407407407407407
651,"21001 N TATUM BLVD STE 80-169,PHOENIX,AZ,85050-4206",0.0,0.12037037037037035,0.0,33.67830324,-111.977269,1,1,0.0,0.2407407407407407
652,"21001 N TATUM BLVD,PHOENIX,AZ,85050-4206",0.16666666666666666,0.12037037037037035,0.0,33.67830324,-111.977269,1,1,0.3333333333333333,0.2407407407407407
653,"2101 W BETHANY HOME RD,PHOENIX,AZ,85015-1936",1.0,0.0,0.0,33.52410154,-112.1041405,1,1,2.0,0.0
654,"2102 N COUNTRY CLUB DR STE A,MESA,AZ,85201-1207",0.125,0.0,0.0,33.45356929,-111.8397499,1,1,0.25,0.0
655,"2102 N COUNTRY CLUB RD STE A,TUCSON,AZ,85716-2831",3.2056401721694083,0.12222222222222225,0.08333333333333333,32.24753044,-110.926821,1,1,6.4112803443388175,0.2444444444444445
656,"2102 N COUNTRY CLUB RD,TUCSON,AZ,85716-2831",2.2115352812614475,0.12222222222222225,0.0,32.24753044,-110.926821,1,1,4.423070562522895,0.2444444444444445
657,"21116 N JOHN WAYNE PKWY STE B,MARICOPA,AZ,85139-2931",2.1666666666666665,0.13852813852813856,0.3333333333333333,33.07141461,-112.0449122,1,1,4.333333333333333,0.2770562770562771
658,"21116 N JOHN WAYNE PKWY,MARICOPA,AZ,85139-2931",0.5,1.0476190476190477,0.0,33.07141461,-112.0449122,1,1,1.0,2.095238095238096
659,"21188 E OCOTILLO RD APT BUI,CHANDLER HEIGHTS,AZ,85142-4941",1.0480951694109588,0.022222222222222227,0.0,33.24875936,-111.6280251,1,1,2.0961903388219176,0.04444444444444445
660,"21188 E OCOTILLO RD BLDG C,QUEEN CREEK,AZ,85142-4941",0.6198559180757323,0.0,0.0,33.24875936,-111.6280251,1,1,1.2397118361514643,0.0
661,"21188 E OCOTILLO RD STE 101,QUEEN CREEK,AZ,85142-4942",2.0040115629589312,0.09914529914529917,0.05882352941176471,33.24875936,-111.6280251,1,1,4.008023125917863,0.19829059829059836
662,"21188 E OCOTILLO RD,QUEEN CREEK,AZ,85142-4941",0.7261562843760986,0.0,0.0,33.24875936,-111.6280251,1,1,1.4523125687521972,0.0
663,"21300 N JOHN WAYNE PKWY STE 1,MARICOPA,AZ,85139-8979",0.0,0.0,0.25,33.07347275,-112.0438304,1,1,0.0,0.0
664,"21300 N JOHN WAYNE PKWY STE 117,MARICOPA,AZ,85139-8978",0.0,0.3333333333333333,0.0,33.07347275,-112.0438304,1,1,0.0,0.6666666666666666
665,"21300 N JOHN WAYNE PKWY,MARICOPA,AZ,85139-8979",0.0,0.3333333333333333,0.25,33.07347275,-112.0438304,1,1,0.0,0.6666666666666666
666,"2131 E CAMELBACK RD STE 102,PHOENIX,AZ,85016-4785",3.838034188034188,0.07142857142857142,1.0194805194805194,33.50921669,-112.03593329999998,1,1,7.676068376068376,0.14285714285714285
667,"2131 E CAMELBACK RD,PHOENIX,AZ,85016-4785",2.701129426129426,0.0,0.42857142857142855,33.50921669,-112.03593329999998,1,1,5.402258852258852,0.0
668,"21321 E OCOTILLO RD BLDG C,QUEEN CREEK,AZ,85142-5996",0.027027027027027032,0.0,0.0,33.24855152,-111.622895,1,1,0.054054054054054064,0.0
669,"21321 E OCOTILLO RD STE 109,QUEEN CREEK,AZ,85142-5993",0.5,0.6000000000000001,0.2,33.24855152,-111.622895,1,1,1.0,1.2000000000000002
670,"21321 E OCOTILLO RD,CHANDLER HEIGHTS,AZ,85142-5996",0.04,0.0,0.0,33.24855152,-111.622895,1,1,0.08,0.0
671,"21321 E OCOTILLO RD,QUEEN CREEK,AZ,85142-5996",0.20993464052287586,0.6000000000000001,0.2,33.24855152,-111.622895,1,1,0.4198692810457517,1.2000000000000002
672,"2175 N ALMA SCHOOL RD STE C-1,CHANDLER,AZ,85224-2878",0.08333333333333333,0.0,0.0,33.33846956,-111.85901909999998,1,1,0.16666666666666666,0.0
673,"2175 N ALMA SCHOOL RD STE C10,CHANDLER,AZ,85224-2878",1.9555555555555555,0.0,0.0,33.33846956,-111.85901909999998,1,1,3.911111111111111,0.0
674,"2175 N ALMA SCHOOL RD,CHANDLER,AZ,85224-2878",1.6805555555555556,0.0,0.0,33.33842958,-111.85901909999998,1,1,3.361111111111111,0.0
675,"2178 MCCULLOCH BLVD N STE 14,LAKE HAVASU CITY,AZ,86403-6869",1.0,0.0,0.0,34.47501320000001,-114.3238155,1,1,2.0,0.0
676,"2179 W 24TH ST,YUMA,AZ,85364-6163",1.2142857142857144,0.0,0.0,32.68381654,-114.6455916,1,1,2.4285714285714293,0.0
