State_County_Tract_FIPS_Code,Sum_by_tract
27123042401,225
27003050710,190
27053104400,159
27139080202,157
27037060711,138
27123030100,130
27041450701,126
27053024006,119
27053021400,116
27053026708,114
27123031100,114
27053104900,111
27003050805,110
27109000200,104
27123041103,103
27163070406,100
27003050609,98
27163070701,98
27037061008,98
27123041302,96
27123031801,96
27053020303,96
27053026205,95
27053021503,94
27053022901,94
27109000901,93
27171100802,92
27019090900,92
27053026822,91
27053026906,90
27137001900,88
27123042900,88
27037060814,85
27139080302,85
27163070203,84
27139080301,83
27037060505,82
27037060734,78
27085950400,77
27163071016,77
27109001401,76
27053026404,76
27053026018,74
27037060829,74
27053025701,73
27037060904,72
27007450200,72
27141030504,72
27053026514,70
27053026611,69
27109000100,67
27053104800,67
27123035000,65
27053103100,65
27123033400,64
27145000901,64
27163071208,63
27053106000,58
27053024004,53
27131070901,50
27123042402,49
27053002700,49
27013170500,49
27053027300,47
27095170700,46
27123040902,45
27037060727,44
27111960900,44
27053105400,42
27163071209,42
27123033200,39
27137015200,39
27171100203,38
27109001201,38
27071790200,37
27035951302,36
27053026710,33
27163071006,33
27035950700,33
27053110900,32
27037060506,31
27137012300,31
27053026021,31
27147960700,31
27037060744,31
27053125800,31
27123033100,30
27053020200,28
27003050607,28
27123041400,28
27027030201,28
27123030202,28
27061480900,27
27123040601,27
27035951301,27
27163070405,27
27123037100,26
27145010101,26
27137000300,25
27053026019,25
27053011703,25
27111961000,25
27145000701,25
27145010102,24
27053003800,24
27173970300,23
27059130301,23
27123036100,23
27053027203,23
27053024003,23
27137001300,23
27145001001,23
27137012600,22
27037060824,22
27017940000,22
27053024400,22
27067780700,22
27145000500,22
27123034201,21
27053026101,21
27075370400,21
27061480802,21
27037060105,21
27163070103,20
27123040803,19
27053108800,19
27053022000,19
27027020202,19
27137011200,19
27137015800,18
27017070500,18
27169670500,18
27145000401,18
27141030502,18
27137001700,18
27037060812,18
27013170400,18
27097780600,18
27053027501,18
27003051102,17
27123040503,17
27165950100,17
27163070601,17
27005450500,17
27137015400,16
27023950600,16
27037060603,16
27003050610,16
27123036500,16
27163071206,16
27053026104,16
27139080800,16
27137002300,16
27053026909,16
27123034701,15
27017070200,15
27137010300,15
27053126000,15
27065480300,14
27137015100,14
27013171202,14
27053026014,14
27037060735,14
27057070600,14
27053026713,14
27003051203,14
27145011302,13
27123040200,13
27053023700,13
27017070100,13
27137000400,13
27053103700,13
27109001402,13
27061480100,13
27001770300,13
27053106600,13
27111960500,13
27141030402,13
27091790600,12
27149480300,12
27137000700,12
27135970100,12
27123037500,12
27123031400,12
27083360100,12
27067780800,12
27003050501,12
27123030300,12
27123042800,12
27053005902,12
27137013800,12
27027030104,12
27053025401,12
27053026020,12
27053002200,12
27053024902,12
27107960200,12
27019090800,11
27053023000,11
27139080500,11
27053026712,11
27159480300,11
27139080205,11
27143170400,11
27003050806,11
27035951100,11
27137012400,11
27131070504,11
27053126100,11
27053021505,11
27053026507,11
27171100701,11
27053025803,11
27147960600,11
27145011301,10
27103480200,10
27053021602,10
27053012003,10
27103480400,10
27067770900,10
27003050602,10
27053002400,10
27123035900,10
27139081300,10
27145010600,10
27123041700,10
27131070700,10
27027020600,10
27005940000,10
27021940001,10
27085950700,10
27137012700,10
27149480200,10
27071790300,10
27095970200,9
27137015300,9
27095170500,9
27037060301,9
27061480500,9
27053102900,9
27053111500,9
27003050819,9
27123030602,9
27053102500,9
27067780500,9
27171100702,9
27003050820,9
27139080904,9
27003050608,9
27025110200,9
27007450600,9
27119021000,9
27163071010,9
27139080400,9
27145010401,9
27067781000,8
27163071003,8
27173970100,8
27053026605,8
27053027101,8
27053122600,8
27135970300,8
27123036900,8
27171101000,8
27137012100,8
27145011600,8
27003050811,8
27003050225,8
27033270400,8
27015960200,8
27069090100,8
27041450600,8
27031480200,8
27007450702,8
27025110501,8
27013170300,7
27053106200,7
27109000600,7
27053026702,7
27053024200,7
27037060745,7
27163070106,7
27147960100,7
27115950400,7
27137013100,7
27053101200,7
27123036300,7
27137013300,7
27003050704,7
27141030300,7
27053025801,7
27163071011,7
27003051400,7
27083360400,7
27163071017,7
27037061105,7
27053022802,7
27035951200,7
27123032100,7
27027030102,7
27037060502,7
27053026816,7
27021960802,7
27027030103,7
27137012800,7
27029000100,7
27123030702,7
27123032200,6
27137013600,6
27137010500,6
27093560400,6
27037060815,6
27105105500,6
27053026907,6
27005450600,6
27043460600,6
27123031802,6
27053026208,6
27053102100,6
27085950100,6
27137001600,6
27123037403,6
27003051302,6
27009020100,6
27123037200,6
27085950300,6
27053126200,6
27053109900,6
27053100500,6
27003051001,6
27053026807,6
27131070602,6
27053100900,6
27137003300,6
27163071015,6
27053103400,6
27161790400,6
27123031900,6
27053107000,6
27123030900,6
27123032700,6
27053020302,6
27021960700,6
27057070500,6
27123033900,6
27045960300,6
27013170100,6
27009020203,6
27053105204,6
27037061009,6
27129790400,6
27003051501,5
27053026910,5
27037060503,5
27123035200,5
27049080200,5
27123033600,5
27145010402,5
27121970400,5
27037060821,5
27053109400,5
27153790100,5
27053011800,5
27001770400,5
27163070204,5
27111960300,5
27037060902,5
27099000410,5
27061481000,5
27053025603,5
27145011000,5
27171100400,5
27015960101,5
27053020804,5
27145010200,5
27027020100,5
27121970100,5
27037061007,5
27171101300,5
27157490100,5
27053000603,5
27053026812,5
27047180600,5
27037060817,5
27163070104,5
27137015500,5
27137001400,5
27037060826,5
27123034202,4
27053101800,4
27123043000,4
27109001000,4
27109001503,4
27049080700,4
27111960600,4
27163070909,4
27055020300,4
27079950200,4
27099000800,4
27053023300,4
27137001800,4
27119020500,4
27115950700,4
27019090601,4
27127750300,4
27053110800,4
27055020500,4
27139081200,4
27009021200,4
27145000301,4
27049080400,4
27137000200,4
27169670600,4
27145000402,4
27003050208,4
27123031701,4
27137000900,4
27137003800,4
27065480200,4
27093560300,4
27123036700,4
27021940002,4
27137000600,4
27053125900,4
27053006800,4
27145000601,4
27037060732,4
27119020600,4
27109002100,4
27049080101,4
27053023600,4
27123034400,4
27083360500,4
27139080204,4
27053021800,4
27053022302,4
27163071207,4
27053008400,4
27053026512,4
27109000500,4
27141031500,4
27071790500,4
27053010700,3
27053109100,3
27163070704,3
27015960500,3
27129790500,3
27053024005,3
27015960300,3
27123042602,3
27171100703,3
27123030201,3
27123035100,3
27003051101,3
27037060104,3
27153790600,3
27155460100,3
27003051202,3
27099000100,3
27003050220,3
27145011100,3
27053125500,3
27137015700,3
27101900300,3
27053021001,3
27053007801,3
27061480300,3
27123042504,3
27173970200,3
27013170200,3
27037060605,3
27053105100,3
27037061402,3
27123042601,3
27109000903,3
27147960800,3
27037060717,3
27123031500,3
27159480100,3
27053024100,3
27109001100,3
27053122500,3
27053026402,3
27009021102,3
27083360600,3
27123033500,3
27107960300,3
27013170800,3
27053008500,3
27123030703,3
27169670800,3
27039950500,3
27053025100,3
27123030500,3
27151960200,3
27123040703,3
27131070902,3
27003050226,3
27003051304,3
27037060509,3
27123036400,3
27003051305,3
27009020300,3
27123040707,3
27003050229,3
27053102800,3
27053125600,3
27171101200,3
27015960600,3
27053026510,3
27053109200,3
27053026823,3
27003050901,3
27123036600,3
27111961600,3
27163071012,3
27053109000,3
27123030800,2
27145011500,2
27123041200,2
27151960400,2
27079950500,2
27053026016,2
27109001501,2
27019090100,2
27087940100,2
27073180300,2
27053103600,2
27109001800,2
27057070200,2
27053024801,2
27123041104,2
27025110401,2
27053110100,2
27053026706,2
27119020800,2
27087940300,2
27139081000,2
27091790100,2
27123041107,2
27123040502,2
27007450400,2
27053107400,2
27123034702,2
27081201002,2
27163071101,2
27037060729,2
27053026613,2
27145000602,2
27049080300,2
27137000100,2
27011950300,2
27107960100,2
27139081100,2
27031480100,2
27037060905,2
27053024500,2
27037060102,2
27013171000,2
27053026711,2
27053001100,2
27053012001,2
27053011000,2
27003050221,2
27083360700,2
27109002000,2
27053100700,2
27073180100,2
27063480400,2
27017070300,2
27037060750,2
27053108600,2
27089080400,2
27019090701,2
27003050813,2
27053026908,2
27053020700,2
27061480400,2
27053026714,2
27037060818,2
27053026819,2
