State_County_Tract_FIPS_Code,Sum_by_tract
27123042401,255
27003050710,215
27053104400,170
27139080202,170
27037060711,167
27041450701,150
27053104900,142
27053024006,138
27053026708,135
27123030100,132
27123031100,128
27053021400,128
27003050805,123
27053021503,118
27123041103,111
27163070406,110
27123031801,109
27123041302,109
27053020303,108
27109000200,107
27163070701,106
27037061008,103
27053022901,103
27171100802,103
27003050609,103
27053026205,102
27019090900,100
27053026822,100
27053026906,98
27109000901,98
27137001900,95
27139080302,93
27123042900,92
27085950400,89
27163070203,88
27037060814,87
27139080301,86
27037060505,86
27053104800,84
27007450200,84
27037060734,83
27053026514,82
27053026404,82
27123033400,80
27109001401,79
27163071016,77
27037060829,76
27053106000,74
27053026018,74
27037060904,73
27141030504,73
27053025701,73
27053103100,71
27145000901,69
27053026611,69
27109000100,68
27053024004,68
27123035000,66
27163071208,64
27053002700,61
27123033200,61
27131070901,60
27053027300,58
27013170500,58
27095170700,56
27171100203,56
27123042402,55
27123040902,54
27037060744,53
27037060727,52
27111960900,51
27163071209,48
27035951302,48
27053026710,47
27109001201,45
27137015200,45
27071790200,44
27053003800,44
27035950700,44
27123033100,42
27053105400,42
27053024400,40
27053026021,39
27037060506,37
27163071006,37
27137012300,36
27027030201,36
27053110900,35
27123040601,35
27123030202,34
27053026019,34
27147960700,34
27053125800,34
27053024003,33
27111961000,33
27123041400,32
27035951301,32
27053020200,32
27137000300,32
27145000701,31
27145010102,30
27075370400,30
27067780700,30
27163070103,29
27173970300,29
27123036100,29
27061480900,29
27163070405,29
27037060105,28
27137001300,28
27053026101,28
27145010101,28
27059130301,28
27017940000,28
27037060824,28
27003050607,28
27053011703,28
27123037100,27
27145000500,26
27139080800,26
27123034201,26
27163070601,26
27145001001,25
27053027501,25
27053026104,25
27003051102,24
27137001700,24
27137012600,24
27097780600,24
27163071206,23
27053022000,23
27123034701,23
27053027203,23
27005450500,22
27109001402,22
27053026909,22
27141030502,22
27053108800,22
27023950600,22
27169670500,22
27013170400,22
27123036500,21
27137010300,21
27037060603,21
27137011200,21
27061480802,21
27137015800,21
27037060735,21
27053103700,21
27003051203,20
27123040503,20
27137002300,20
27027020202,20
27165950100,20
27123040803,19
27057070600,19
27145000401,19
27123040200,19
27017070500,18
27053026713,18
27053106600,18
27037060812,18
27065480300,18
27053025803,18
27053126000,18
27017070200,18
27053026507,18
27137015400,18
27003050610,18
27141030402,17
27083360100,17
27013171202,17
27001770300,17
27053126100,17
27143170400,16
27053021602,16
27067780800,16
27091790600,16
27111960500,16
27147960600,16
27107960200,16
27171100701,15
27139080500,15
27003050811,15
27053021505,15
27053111500,15
27123031400,15
27135970100,15
27145011302,15
27123042800,15
27053026712,15
27053024902,15
27019090800,14
27103480400,14
27137015100,14
27061480100,14
27005940000,14
27017070100,14
27067770900,14
27053026014,14
27139080400,14
27037060745,14
27131070700,14
27053023700,14
27053023000,13
27139081300,13
27173970100,13
27137000400,13
27053012003,13
27139080904,13
27159480300,13
27145011301,13
27131070504,13
27053026020,13
27035951100,13
27003050501,13
27095970200,13
27149480200,13
27149480300,13
27053002200,13
27137012400,13
27025110200,12
27003050819,12
27053002400,12
27053102500,12
27053026702,12
27137013800,12
27025110501,12
27123037500,12
27003050225,12
27123030300,12
27085950700,12
27115950400,12
27053025401,12
27163071010,12
27135970300,12
27021940001,12
27137000700,12
27053005902,12
27027030104,12
27071790300,12
27145010600,11
27053027101,11
27145010401,11
27037060301,11
27139080205,11
27137015300,11
27003050820,11
27095170500,11
27067780500,11
27003050806,11
27123041700,11
27123030602,11
27003050704,11
27123036900,10
27031480200,10
27109000600,10
27171100702,10
