State_County_Tract_FIPS_Code,Sum_by_tract
4027000800,6
4013611600,6
4013616100,6
4013613900,6
4013111800,6
4013104223,6
4019003200,6
4013422507,6
4013116710,6
4013613000,6
4013103303,6
4025002001,6
4019004713,6
4013523006,6
4015953601,6
4013612600,6
4013422211,6
4013420706,6
4013422501,6
4019004716,5
4015952002,5
4027000501,5
4013420213,5
4013110502,5
4013319402,5
4019003101,5
4013061039,5
4019001900,5
4013813000,5
4013815000,5
4013092720,5
4013812300,5
4013216834,5
4013817500,5
4013422502,5
4013061028,5
4019004067,5
4005000700,5
4013420109,5
4005000800,5
4013611200,5
4013816600,5
4013615800,5
4013611700,5
4013104600,5
4013420302,5
4013040531,5
4013103701,5
4013116712,5
4019004711,5
4013108100,5
4013106200,5
4013319500,5
4013810500,5
4013613200,5
4013422209,5
4013815300,5
4013615600,5
4013810800,5
4013422607,5
4013216844,5
4013104224,5
4013615100,5
4013216901,5
4013103211,5
4013216839,5
4013816900,5
4013216835,5
4019004616,5
4013611300,5
4013815800,5
4013815900,5
4019004618,5
4013812800,5
4015953100,5
4013422504,5
4013104217,5
4015953000,5
4013619900,5
4013103217,5
4021000215,5
4013216821,5
4013422506,5
4013216853,5
4019004073,4
4013107900,4
4013061200,4
4013103214,4
4013811300,4
4013116728,4
4013610000,4
4013114100,4
4013218000,4
4013817100,4
4013040530,4
4019004055,4
4019004068,4
4013107800,4
4025000500,4
4003001703,4
4013611100,4
4013320100,4
4013612400,4
4013040520,4
4013422631,4
4005000900,4
4013422210,4
4019002702,4
4019004039,4
4019004051,4
4013814600,4
4013103502,4
4019004064,4
4021000206,4
4013422404,4
4013816100,4
4013817000,4
4019004323,4
4019004641,4
4013613500,4
4013116711,4
4019004710,4
4013071509,4
4025001200,4
4013106100,4
4013071517,4
4013610500,4
4013217001,4
4019004411,4
4019470500,4
4013422623,4
4013216841,4
4019004421,4
4019004633,4
4025000300,4
4013617600,4
4013216848,4
4001944000,4
4013616300,4
4013812900,4
4013092307,4
4013071516,4
4013116718,4
4013817600,4
4013319600,4
4019004726,4
4025001002,4
4013106300,4
4013216852,4
4009961400,3
4019004610,3
4013422305,3
4019004622,3
4015952003,3
4021000316,3
4013422616,3
4013217800,3
4013813300,3
4013112509,3
4013422105,3
4005000300,3
4021000210,3
4013814500,3
4021001305,3
4021000201,3
4025002004,3
4027000908,3
4001970200,3
4013422643,3
4019004626,3
4013422625,3
4013103212,3
4013116717,3
4013113100,3
4019004426,3
4013110702,3
4005000600,3
4003001702,3
4013422204,3
4019002703,3
4013422403,3
4013422216,3
4019004724,3
4013104801,3
4015953200,3
4013723307,3
4019004718,3
4013420215,3
4013619100,3
4013420208,3
4019004712,3
4013612900,3
4003001602,3
4013422308,3
4013216832,3
4009961202,3
4013420303,3
4009961300,3
4005001101,3
4013422617,3
4017964900,3
4013422637,3
4013815700,3
4013523103,3
4013217002,3
4019004635,3
4025001602,3
4013420901,3
4013103207,3
4019004427,3
4013061029,3
4013611400,3
4013108000,3
4019004721,3
4013105900,3
4013318700,3
4013103604,3
4013050606,3
4013817200,3
4019004615,3
4013108302,3
4013812200,3
4019004119,3
4003000902,3
4019004510,3
4013103612,3
4019004643,3
4019004063,3
4019004044,3
4005944900,3
4013216833,3
4025000607,3
4013610400,3
4013617800,3
4007000400,3
4019004639,3
4017965300,3
4013612000,3
4019001801,3
4013061025,3
4013061021,3
4013071510,3
4013107400,3
4013816800,3
4013061047,3
4013812700,3
4019004628,2
4013116713,2
4013105300,2
4013617500,2
4019003302,2
4013614000,2
4013061042,2
4025001801,2
4013061036,2
4013071600,2
4019004325,2
4013319907,2
4019004624,2
4013217101,2
4013610600,2
4013106802,2
4003002002,2
4019004030,2
4013811900,2
4013319800,2
4013061044,2
4019004061,2
4013109102,2
4021000801,2
4027011106,2
4013616400,2
4019004022,2
4013420214,2
4013421201,2
4019004630,2
4019410502,2
4013040527,2
4025001701,2
4013420304,2
4013116727,2
4013813900,2
4013811000,2
4013082016,2
4013106600,2
4019004428,2
4025000801,2
4021001200,2
4013523104,2
4013116704,2
4015954800,2
4013815100,2
4013116714,2
4013040519,2
4013040521,2
4013422401,2
4013613600,2
4015952900,2
4025000402,2
4013092309,2
4019004723,2
4013420902,2
4009961201,2
4019004404,2
4013103608,2
4013116721,2
4013420602,2
4013813500,2
4019004722,2
4013811200,2
4019004429,2
4013612700,2
4005000100,2
4019004025,2
4013116725,2
4021001711,2
4013061034,2
4021000802,2
4025000700,2
4013619800,2
4013071912,2
4019004070,2
4013104215,2
4021000208,2
4019004049,2
4005001600,2
4013111300,2
4013812100,2
4013112900,2
4015951402,2
4015953900,2
4013810900,2
4013420501,2
4013616700,2
4021000604,2
4013111900,2
4013422514,2
4013105400,2
4013422628,2
4013110400,2
4025000202,2
4013217400,2
4017965200,2
4015952600,2
4019004508,2
4013814700,2
4013106502,2
4025001702,2
4013612800,2
4005001301,2
4013103206,2
4007000301,2
4013813200,2
4013613800,2
4013050605,2
4013422646,2
4013422644,2
4013422642,2
4013422641,2
4013422307,2
4015951502,2
4013092500,2
4021000213,2
4013422302,2
4013010101,2
4013082020,2
4003000302,2
4013422513,2
4013816200,2
4013814400,2
4019004636,2
4013420800,2
4013815600,2
4013619400,2
4013116613,2
4017964800,2
4013422511,2
4013422508,2
4013422402,2
4019003901,2
4019004623,2
4019000200,2
4019004050,2
4013810000,2
4021000311,2
4013615700,2
4013110901,2
4003000201,2
4015953800,2
4021001408,2
4013813800,2
4013813100,2
4025002003,2
4013103219,2
4013114000,2
4013814100,1
4013104219,1
4013613400,1
4013104207,1
4013523102,1
4019004324,1
