State_County_Tract_FIPS_Code,Sum_by_tract
4019002506,94
4013111800,92
4013812400,86
4013817100,85
4021000312,82
4019004504,79
4013619100,77
4013113000,75
4013422204,74
4013618800,69
4021001701,68
4013105300,67
4013616500,67
4013116602,66
4013106900,66
4013103303,64
4013105400,60
4013083000,60
4013108502,60
4013071509,58
4013815400,58
4013105800,57
4019001801,56
4013071515,55
4013061200,55
4013422203,55
4027000907,54
4019004068,53
4013112509,52
4013107400,50
4013422504,49
4013116500,49
4027001003,49
4013422220,48
4019003503,48
4005001200,47
4013082016,46
4013421502,46
4019004627,45
4013092305,45
4013111602,44
4013106100,44
4013422211,43
4013114301,43
4013112401,42
4013112601,41
4013420800,41
4013217600,41
4013421501,40
4013061012,40
4013104000,39
4013616000,38
4013422636,37
4013061300,37
4019002300,36
4013421201,36
4019003705,35
4013106802,35
4013111000,35
4013108302,34
4019001900,34
4021000212,33
4013110801,33
4019004039,33
4013116613,32
4019004511,32
4021001404,32
4019000200,32
4013061022,31
4025000606,31
4013082002,31
4019002604,31
4025001001,30
4013320001,29
4013061009,29
4013422615,29
4013113400,28
4013422301,28
4013113700,27
4013811200,27
4013104217,27
4013104226,26
4013110002,26
4013109703,26
4013112503,26
4013612300,26
4007001100,25
4013810300,25
4013104224,25
4013523103,25
4021001405,24
4013816300,24
4013093002,24
4013082210,24
4013110502,24
4013116900,24
4003001602,23
4019004619,23
4013107102,23
4013040507,22
4013082023,22
4023966105,22
4013061028,22
4013617000,21
4013050609,21
4021001403,21
4013815700,20
4013040530,20
4013115802,20
4013421901,19
4019004426,19
4025001401,19
4013619800,19
4013216837,19
4013092900,18
4013092802,18
4013617700,18
4013421601,18
4013103215,18
4013050702,18
4013217201,18
4013082008,18
4013111601,18
4013421400,17
4019002904,17
4013523102,17
4013082017,17
4013116702,17
4019004710,17
4013107500,17
4003000902,17
4003001703,17
4019003003,16
4013104301,16
4013319402,16
4013116719,16
4013092307,16
4013422107,16
4013116609,16
4013116400,15
4013615900,15
4013104223,15
4013092708,15
4013420109,15
4019003200,15
4021001305,15
4013106801,15
4013109003,15
4013112504,14
4013613700,14
4019004043,14
4013113801,14
4013422209,14
4013040531,14
4013108301,14
4013522903,14
4019003004,13
4013104600,13
4019000300,13
4013109801,13
4019004120,13
4013112402,13
4027011403,13
4013319906,13
4013616400,13
4019004714,12
4013319905,12
4019002201,12
4007000301,12
4013113602,12
