State_County_Tract_FIPS_Code,Count
08103951200,22
08035014406,21
08069001809,20
08013012800,19
08041003902,19
08123002102,18
08005007106,18
08041007400,18
08069001709,17
08041007300,17
08077001501,16
08069002501,15
08037000403,15
08031006809,15
08035013911,14
08069001605,14
08035013909,14
08041007601,14
08035014008,13
08041003701,13
08123002103,12
08069002600,12
08123002007,12
08035014138,12
08035014132,12
08001008540,12
08041007500,12
08035014128,12
08041005106,12
08035014012,11
08035014134,11
08035014124,11
08081000300,11
08041004706,11
08041005107,11
08014030800,11
08001008523,11
08014031000,11
08031011902,11
08001008526,11
08077001502,11
08005086000,11
08035014006,10
08069002502,10
08013013506,10
08035014013,10
08035014137,10
08059012024,10
08001008524,10
08041004503,10
08067970701,10
08001008537,10
08069001807,10
08101002807,10
08041003706,10
08014031100,10
08059011712,10
08041003305,10
08101003004,10
08035014130,10
08013060600,9
08005085900,9
08001008542,9
08103951100,9
08069001308,9
08035014133,9
08077001402,9
08069002503,9
08059009842,9
08005006808,9
08119010103,9
08117000200,9
08041007102,9
08101002918,9
08123002203,9
08005006706,9
08001008545,9
08035013907,9
08041007101,9
08039961207,9
08013013508,9
08059011726,9
08059060500,9
08005083200,9
08035013908,9
08035014140,8
08041004703,8
08035014108,8
08005086600,8
08059009824,8
08001009204,8
08041004510,8
08069001607,8
08001008529,8
08059012055,8
08035014136,8
08013013212,8
08069001806,8
08035014135,8
08123001415,8
08041007201,8
08005085100,8
08005085600,8
08059009808,8
08101002903,8
08031003800,8
08069001704,8
08031001600,8
08005007104,8
08041005109,8
08035014405,8
08119010105,8
08031012010,8
08123001500,8
08041007700,8
08041004902,7
08101002913,7
08117000300,7
08059012058,7
08005004952,7
08031001701,7
08005085400,7
08059011202,7
08069001107,7
08041007000,7
08041007202,7
08001061200,7
08101003105,7
08101001600,7
08041005104,7
08005005628,7
08093000100,7
08041006802,7
08059011731,7
08059009827,7
08035014505,7
08031008389,7
08059009833,7
08123002208,7
08041007602,7
08041003705,7
08031003001,7
08005080300,7
08069001007,7
08041003400,7
08101002806,7
08035014604,7
08039961204,7
08067970600,7
08035014603,7
08059012022,7
08005006858,7
08035014503,6
08069001113,6
08005007105,6
08085966602,6
08005006856,6
08041004701,6
08045951902,6
08035014110,6
08031004306,6
08013012701,6
08123002501,6
08031008388,6
08001060000,6
08059012041,6
08059012036,6
08059012037,6
08041002502,6
08005006708,6
08005005630,6
08041001302,6
08043979100,6
08035014122,6
08001009408,6
08059012035,6
08005084600,6
08035014115,6
08059009838,6
08091967600,6
08037000501,6
08059012054,6
08069002007,6
08059012050,6
08005005623,6
08059012026,6
08077001302,6
08001008544,6
08001008538,6
08059011720,6
08101002911,6
08077001101,6
08101001700,6
08041003702,6
08005087200,6
08123002502,6
08013013702,6
08101002906,6
08001009327,6
08085966502,6
08031002803,6
08041004705,6
08013013208,6
08085966501,6
08013013003,6
08005083400,6
08123002205,6
08045951802,6
08123002019,6
08015000401,6
08067970704,6
08014030900,6
08069001106,6
08059009828,6
08117000401,6
08077001900,6
08105977000,6
08041003906,6
08007974200,6
08069001707,5
08059011729,5
08123002014,5
08014031400,5
08097000100,5
08077000602,5
08043979000,5
08065961700,5
08069001009,5
08051963700,5
08035014300,5
08059012045,5
08059011805,5
08001008543,5
08041003100,5
08077001002,5
08059012023,5
08001060100,5
08031006701,5
08107000500,5
08013012102,5
08041003909,5
08031007088,5
08005006601,5
08069002700,5
08101002808,5
08035013901,5
08035014403,5
08001008550,5
08059012051,5
08005007101,5
08001009401,5
08031004405,5
08005080400,5
08097000401,5
08005006709,5
08069001706,5
08031003902,5
08031000301,5
08003960200,5
08013013302,5
08031012014,5
08031002100,5
08031004107,5
08013012708,5
08005006100,5
08093000200,5
08035014131,5
08035014127,5
08045952001,5
08035014109,5
08041004511,5
08031004106,5
08059012052,5
08059010206,5
08005083900,5
08041003709,5
08015000200,5
08037000301,5
08041006901,5
08041003707,5
08005086800,5
08037000401,5
08059009837,5
08081000400,5
08031003300,5
08067940400,5
08031004304,5
08031000401,5
08059010603,5
08005005629,4
08005085500,4
08041003308,4
08041005601,4
08059011601,4
08077001404,4
08041005110,4
08059011100,4
08031007013,4
08005081700,4
08031006814,4
08077001600,4
08001008402,4
08093000300,4
08059060300,4
08051963800,4
08031005503,4
08001008606,4
08059011724,4
08031002702,4
08059009851,4
08031006804,4
08119010104,4
08059012038,4
08069001603,4
08059009843,4
08059012044,4
08031001102,4
08014031200,4
08014030500,4
08077001702,4
08005005634,4
08101002914,4
08005005632,4
08001009502,4
08005080600,4
08075966300,4
08029964900,4
08014030400,4
08069001902,4
08083969600,4
08014030600,4
08085966300,4
08005084800,4
08031000202,4
08031000302,4
08005084900,4
08059010701,4
08123002210,4
08031004302,4
08075966100,4
08005005614,4
08005083500,4
08041002000,4
08035014116,4
08059060400,4
08019014700,4
08059010209,4
08069002402,4
08031006811,4
08081000500,4
08001009326,4
08059010305,4
08031000600,4
08005085200,4
08035013910,4
08123002207,4
08001009002,4
08049000201,4
08059011701,4
08085966601,4
08059010503,4
08117000100,4
08069001602,4
08123002101,4
08041005105,4
08013060900,4
08125963200,4
08077001705,4
08069001903,4
08077001403,4
08067971100,4
08045952002,4
08041003708,4
08041004800,4
08007974400,4
08035014007,4
08031000303,4
08001009409,4
08041002501,4
08005086300,4
08101002700,4
08059009806,4
08069000902,4
08031002300,4
08013061300,4
08035014203,4
08059010100,4
08059010306,4
08059010308,4
08031004301,4
08069001008,4
08005086200,4
08059012059,4
08069001112,4
08059010502,4
08099000300,4
08059012027,4
08005083100,4
08059011709,4
08001009603,4
08001008541,4
08001008539,4
08059012039,4
08059011727,4
08069001104,4
08101003104,4
08059011725,4
08101003106,4
08005005952,3
08123002016,3
08035013905,3
08087000800,3
08013061400,3
08041002400,3
08035014010,3
08085966201,3
08059010403,3
08035014001,3
08041000202,3
08043978100,3
08031004004,3
08035014204,3
08007974300,3
08035014011,3
08069000505,3
08001060200,3
08059010303,3
08005006604,3
08083969300,3
08031004003,3
08059010406,3
08014030300,3
08067970800,3
08059010901,3
08005085000,3
08005080900,3
08123001800,3
08041006902,3
08059012043,3
08059012047,3
08113968102,3
08041002800,3
08031003601,3
08059012053,3
08059010801,3
08123001902,3
08035014112,3
08101002915,3
08101002917,3
08009964600,3
08031001702,3
08059010210,3
08005084700,3
08013012501,3
08031001800,3
08005086700,3
08041006301,3
08035014126,3
08013012202,3
08059010208,3
08059012048,3
08059010205,3
08077001200,3
08069001004,3
08123002018,3
08043978500,3
08077001102,3
08013013402,3
08043979200,3
08063962100,3
08005084300,3
08031001101,3
08059011602,3
08123001407,3
08031003202,3
08041006801,3
08077000400,3
08077000500,3
08005005622,3
08013013306,3
08123002013,3
08047013800,3
08031000501,3
08077000900,3
08101003200,3
08031000701,3
08059011702,3
08041000900,3
08067940300,3
08031002602,3
08041005108,3
08071000100,3
08059009850,3
08013013004,3
08101000903,3
08039961206,3
08039961208,3
08001008536,3
08069002300,3
08067970703,3
08031003702,3
08035014107,3
08037000200,3
08059015800,3
08001009410,3
08107000800,3
08001008604,3
08035014125,3
08059012046,3
08059012042,3
08005006855,3
08045951901,3
08059015900,3
08059011708,3
08041003905,3
08005006200,3
08085966400,3
08059009847,3
08059009845,3
08013012904,3
08059009823,3
08059009815,3
08059010702,3
08031003402,3
08031004303,3
08001009325,3
08005083800,3
08059011732,3
08083969200,3
08013013305,3
08005005627,3
08029965000,3
08041007900,3
08031002703,3
08001008505,3
08067971000,3
08059011550,3
08005005619,3
08005081600,3
08013013213,3
08035014602,3
08059009852,3
08041007800,3
08031002601,3
08005005611,3
08005005625,3
08107000700,3
08014031300,3
08069002011,3
08031005102,3
08013060800,3
08013013701,3
08005007702,3
08101000100,3
08123000900,3
08041003000,3
08001008353,3
08077001001,3
08059009849,3
08031002701,3
08059009848,3
08059011733,3
08029964600,3
08123001412,3
08005007400,3
08059012031,3
08031004700,3
08035014506,3
08087000700,3
08069001307,3
08059009900,3
08069000100,3
08069001109,3
08077001301,3
08005005631,3
08005005633,3
08059009846,3
08087000200,3
08035014005,3
08013012903,3
08013013205,3
08027970100,3
08123001406,3
08005005635,3
08001008533,3
08059011723,3
08113968103,2
08005084000,2
08005005800,2
08031001401,2
08013012508,2
08005081900,2
08005005621,2
08059011904,2
08041001800,2
08001008546,2
08013012510,2
08031004201,2
08089968200,2
08069000401,2
08059012049,2
08113968200,2
08041002200,2
08123002300,2
08031002801,2
08014030000,2
08059010504,2
08059010213,2
08059010211,2
08031006901,2
08013013201,2
08123002005,2
08041006200,2
08041002102,2
08041004502,2
08013013207,2
08041003306,2
08013013211,2
08123001907,2
08005084200,2
08087000100,2
08035014009,2
08035014113,2
08035014129,2
08031002901,2
08069002005,2
08005084100,2
08025969600,2
08059012030,2
08001008401,2
08059012033,2
08059011806,2
08059009839,2
08031004403,2
08031015300,2
08001008000,2
08123002020,2
08059011402,2
08059010902,2
08005005626,2
08005085700,2
08005005612,2
08041003303,2
08107000100,2
08001007900,2
08031002902,2
08041005300,2
08059011300,2
08013013210,2
08013013202,2
08031002802,2
08031004603,2
08123001416,2
08077000800,2
08031006812,2
08005087300,2
08013060700,2
08123002021,2
08039961209,2
08013013006,2
08049000202,2
08077000601,2
08107000300,2
08059009829,2
08013012710,2
08069002010,2
08041003801,2
08107000600,2
08031015700,2
08031000902,2
08059009807,2
08031005002,2
08001008548,2
08015000300,2
08013012203,2
08031001301,2
08041000600,2
08101002912,2
08001009321,2
08041001301,2
08059011730,2
08059011728,2
08041001600,2
08059011710,2
08123001202,2
08041000101,2
08107000400,2
08031015500,2
08031001302,2
08123001409,2
08123001405,2
08045951702,2
08059009834,2
08031005300,2
08101002801,2
08001009406,2
08101002300,2
08031003703,2
08005082000,2
08097000500,2
08041004300,2
08031004104,2
08045951804,2
08001009606,2
08069000901,2
08101000902,2
08001009407,2
08005082100,2
08063962300,2
08005006704,2
08005080800,2
08013012707,2
08123002204,2
08005086100,2
08059010402,2
08083969400,2
08083941100,2
08031003901,2
08031001403,2
08087000600,2
08031004202,2
08013012104,2
08041002101,2
08041006700,2
08069000300,2
08123002012,2
08031008306,2
08031008390,2
08005084400,2
08045952100,2
08001008507,2
08001009306,2
08063962200,2
08059010212,2
08013012507,2
08005006501,2
08029964700,2
08041000102,2
08031011903,2
08001009304,2
08005086400,2
08059010405,2
08005086500,2
08005015100,2
08045951600,2
08059010000,2
08001008549,2
08069000503,2
08059012057,2
08035014504,2
08031001402,2
08005081000,2
08031002000,2
08001008605,2
08033000100,2
08001009752,2
08031002403,2
08019014900,2
08005007103,1
08005006705,1
08069001111,1
08041000700,1
08089968600,1
08005005951,1
08041004100,1
08005081500,1
08001008705,1
08041005502,1
08041005000,1
08069001003,1
08069001306,1
08031001500,1
08001009607,1
08059011951,1
08001008100,1
08041005501,1
08031003102,1
08031015400,1
08015000100,1
08001008709,1
08013013601,1
08005007202,1
08023972600,1
08031003003,1
08067970900,1
08101000800,1
08099000600,1
08005080700,1
08101003500,1
08001008200,1
08059011803,1
08005085800,1
08073961700,1
08041001000,1
08005081800,1
08041008000,1
08005083700,1
08043978800,1
08059011721,1
08041001500,1
08071000500,1
08101003001,1
08041000500,1
08001009308,1
08095967600,1
08057955600,1
08075966400,1
08031003603,1
08031005200,1
08041003307,1
08005007201,1
08059011000,1
08031003201,1
08013012705,1
08123001408,1
08031007006,1
08005083000,1
08123000705,1
08069001114,1
08077001703,1
08045951803,1
08005005700,1
08001008535,1
08071000300,1
08075966200,1
08051963600,1
08001009501,1
08005083300,1
08031004801,1
08031980000,1
08069001110,1
08069002802,1
08089968400,1
08031003203,1
08031003004,1
08123001201,1
08005087000,1
08099000100,1
08123001410,1
08041005202,1
08013013602,1
08071000200,1
08041005400,1
08069001901,1
08101001900,1
08085966503,1
08029965100,1
08069001010,1
08041001104,1
08077001800,1
08069000600,1
08123002017,1
08011966700,1
08083969100,1
08043978200,1
08041002300,1
08001009001,1
08013012907,1
08123001905,1
08041004506,1
08041006100,1
08123002209,1
08031000800,1
08125963100,1
08101002500,1
08041004508,1
08069001301,1
08123000501,1
08005005553,1
08069001305,1
08031004006,1
08089968100,1
08003960300,1
08123002206,1
08069000700,1
08101001500,1
08037000701,1
08041000301,1
08037000703,1
08059012034,1
08041004401,1
08031001901,1
08037000302,1
08059009840,1
08013012101,1
08013012201,1
08101002916,1
08041006302,1
08123001006,1
08101000400,1
08031000702,1
08085966202,1
08005006300,1
08031004101,1
08059009830,1
08031004103,1
08005006713,1
08005006502,1
08059010307,1
08005006711,1
08005085300,1
08035013904,1
08005081300,1
08123002009,1
08001009101,1
08041000400,1
08005081200,1
08019014800,1
08059009836,1
08013012105,1
08005080200,1
08013012103,1
08041004403,1
08031001902,1
08041006000,1
08059009835,1
08023972700,1
08031008391,1
08005082300,1
08045951701,1
08013013005,1
08041004200,1
08041006600,1
08123001600,1
08101002000,1
08013012511,1
08041001700,1
08059011804,1
08051963900,1
08001009307,1
08001009309,1
08041004702,1
08049000100,1
08001009323,1
08005006000,1
08089968300,1
08069001804,1
08001009206,1
08123002004,1
08041004601,1
08035014202,1
08005082800,1
08005086900,1
08059012060,1
08081000600,1
08014030200,1
08059009841,1
08037000100,1
08041006502,1
08005082400,1
08005080500,1
08013013307,1
08101002802,1
08007940400,1
08041005111,1
08001008534,1
08069002803,1
08101002804,1
08043978300,1
08105976700,1
08031005502,1
08031003500,1
08029964800,1
08099000700,1
08041005900,1
08041004507,1
08077000700,1
08005081400,1
08123000401,1
08119010106,1
08001009411,1
08013012204,1
08031003401,1
08013013308,1
08101003103,1
