State_County_Tract_FIPS_Code,Count
8001008100,150
8005081100,62
8059010206,36
8031002403,33
8075966300,28
8001009603,28
8001009203,27
8005081800,22
8003960200,19
8085966300,18
8013012204,18
8059011402,18
8045951702,15
8041000101,15
8067971100,14
8041002101,14
8005081400,14
8059010502,13
8069000802,12
8005005632,12
8005080400,12
8101002903,12
8041005900,11
8077000500,11
8059011602,11
8101002300,11
8041007700,11
8101002807,11
8035013904,10
8031001701,9
8031006809,9
8031003602,9
8041007101,9
8069001704,9
8001009553,8
8059011805,8
8041003303,8
8069001010,8
8041003906,8
8059011000,8
8031006901,8
8069001305,8
8001009204,8
8031003800,8
8041007202,8
8059010208,7
8041000202,7
8005004952,7
8001060200,7
8117000200,7
8005005700,7
8005007600,7
8041005106,7
8123001006,6
8013013307,6
8031003102,6
8005080100,6
8005005624,6
8077000300,6
8031001600,6
8013012202,6
8005006601,6
8001007801,6
8001008706,6
8077000400,6
8035013905,6
8005080800,6
8013013003,6
8005007106,6
8083969400,6
8069001007,6
8123001202,6
8005007400,5
8005006706,5
8013012903,5
8005006858,5
8005006856,5
8077001002,5
8043978800,5
8013013210,5
8059010604,5
8043978600,5
8031015600,5
8045952002,5
8059011904,5
8101000902,5
8001008505,5
8059012044,5
8001009321,5
8031000301,5
8001008544,5
8001009316,5
8001008529,4
8031003203,4
8123001410,4
8069001809,4
8015000200,4
8005083700,4
8083969300,4
8013060800,4
8001008308,4
8041007300,4
8031006804,4
8069001605,4
8041006000,4
8041007000,4
8001008605,4
8041002000,4
8041007400,4
8013013306,4
8019014700,4
8041005104,4
8031001702,4
8069002005,4
8005084200,4
8069001106,4
8087000700,4
8013012605,4
8077000602,4
8059010603,4
8035014126,4
8123000501,4
8031000302,4
8031001800,3
8041002800,3
8123001201,3
8005086800,3
8031003901,3
8059010306,3
8123002019,3
8069001706,3
8013012800,3
8123001406,3
8031003201,3
8035014116,3
8085966400,3
8031011903,3
8001009310,3
8041007800,3
8041003706,3
8031001301,3
8059011803,3
8059009846,3
8065961700,3
8059012048,3
8031008390,3
8005082800,3
8059009900,3
8059012039,3
8001008539,3
8013060700,3
8063962300,3
8101000100,3
8031004107,3
8087000400,3
8059010308,3
8035014009,3
8031004603,3
8005006708,3
8101003500,3
8013012509,3
8031002803,3
8031006811,3
8041002300,3
8117000100,3
8101002700,3
8101002801,3
8035013907,3
8005083100,3
8001009604,2
8123000800,2
8001009408,2
8031015300,2
8005085300,2
8041006802,2
8059011804,2
8067970800,2
8071000800,2
8107000700,2
8005006501,2
8001008401,2
8107000600,2
8013060900,2
8001008523,2
8059009833,2
8031004304,2
8041007201,2
8031006812,2
8067940300,2
8001009607,2
8059060400,2
8005005633,2
8001008309,2
8101001900,2
8031005002,2
8041001302,2
8041005400,2
8041002900,2
8005083500,2
8069001110,2
8069001602,2
8069001603,2
8041000800,2
8069001111,2
8041003305,2
8031004506,2
8059010901,2
8014031100,2
8005085000,2
8013013503,2
8059011601,2
8001060000,2
8013013211,2
8123001412,2
8041003100,2
8069001804,2
8059011711,2
8031000905,2
8005083800,2
8049000202,2
8059009808,2
8041007102,2
8069002502,2
8049000100,2
8031002100,2
8001009318,2
8037000503,2
8085966501,2
8055960600,2
8059010402,2
8035014138,2
8113968200,2
8101002912,2
8007974200,2
8001008709,2
8041004701,2
8123002206,2
8005006400,2
8031004002,2
8101002901,2
8001008508,2
8001008606,2
8005086900,2
8031004302,2
8005006502,2
8123002502,2
8059012042,2
8059012047,2
8031003601,2
8059012050,2
8041004100,2
8031007037,1
8005005635,1
8005007202,1
8059011721,1
8037000401,1
8079973600,1
8099000700,1
8073961800,1
8031003002,1
8077000601,1
8035014503,1
8051963800,1
8041003308,1
8001009202,1
8069000801,1
8005007702,1
8005005634,1
8005082700,1
8005005622,1
8001060100,1
8059010307,1
8101001500,1
8041004300,1
8059010211,1
8071000400,1
8059009828,1
8123002207,1
8081000500,1
8077000800,1
8059010503,1
8031004106,1
8035014122,1
8001009608,1
8041005110,1
8035014110,1
8059010000,1
8089968600,1
8041004511,1
8035014113,1
8031000600,1
8031002602,1
8041003000,1
8123002300,1
8117000300,1
8001009001,1
8035014012,1
8031000800,1
8013012507,1
8013013401,1
8067971000,1
8001007802,1
8031004602,1
8031002802,1
8005084600,1
8101000600,1
8041005201,1
8059011202,1
8031004801,1
8031000702,1
8031000701,1
8101000400,1
8059012022,1
8069000504,1
8123002014,1
8031000303,1
8005006100,1
8035014115,1
8001009320,1
8077000900,1
8103951100,1
8059011806,1
8053973100,1
8005005629,1
8075966200,1
8043978500,1
8041003709,1
8041004706,1
8009964600,1
8001009325,1
8059012054,1
8035014406,1
8041004800,1
8059012024,1
8119010201,1
8059012032,1
8005084100,1
8123001800,1
8041003909,1
8041008000,1
8059012053,1
8105976700,1
8001008506,1
8123001700,1
8059012052,1
8031005502,1
8045951803,1
8035014405,1
8069001902,1
8031005104,1
8069001709,1
8005082300,1
8005007302,1
8019014800,1
8013013507,1
8005081600,1
8014030500,1
8041006801,1
8005005612,1
8005080900,1
8031008389,1
8014030000,1
8041001400,1
8001009501,1
8071000500,1
8077001301,1
8123001408,1
8033000100,1
8123000600,1
8059011723,1
8101002802,1
8051963700,1
8093000300,1
8121924200,1
8101002600,1
8101001000,1
8037000301,1
8031004102,1
8101001800,1
8005082200,1
8123001411,1
8069001003,1
8067970704,1
8069001707,1
