id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US23005004701,,"Census Tract 47.01, Cumberland County, Maine",0,0,0,0,0,0,0,0,0,18,35,36,153,0,0,0,0,0,0,0,0,0,45,34,74,163,0,0,0,0,13,9,0,21,12,41,42,25,17.5,27.06,114.44,246,405,
1400000US23005004702,,"Census Tract 47.02, Cumberland County, Maine",0,75,0,24,0,59,0,11,121,68,29,56,395,0,20,0,23,0,0,19,11,71,67,78,106,342,0,47,0,26,0,19,20,0,47,41,18,124,254,131.07,383.93,411,1180,
1400000US23005004801,,"Census Tract 48.01, Cumberland County, Maine",0,0,0,0,0,0,0,18,224,66,47,97,324,0,0,0,38,0,0,0,0,72,67,37,110,352,0,0,0,13,0,0,0,0,117,88,120,14,51,71.69,580.31,425,1128,
1400000US23005004802,,"Census Tract 48.02, Cumberland County, Maine",36,0,13,0,0,9,0,0,65,67,46,47,628,10,0,23,0,0,52,32,0,222,26,167,96,443,0,0,36,21,0,8,0,0,122,111,11,134,173.5,119.67,559.83,501,1354,
1400000US23005004803,,"Census Tract 48.03, Cumberland County, Maine",0,0,8,0,0,27,0,25,58,214,38,81,330,0,0,48,14,0,0,0,14,70,73,38,73,313,0,0,0,44,0,19,9,0,116,21,74,30,137,102.72,520.28,334,1094,
1400000US23005000500,,"Census Tract 5, Cumberland County, Maine",16,38,0,17,0,6,0,0,45,15,0,0,218,72,32,60,19,0,0,0,0,35,0,0,0,227,56,0,58,0,0,0,0,15,76,22,0,0,371,38.28,172.72,0,582,
1400000US23005000600,,"Census Tract 6, Cumberland County, Maine",31,66,45,0,0,0,0,0,19,0,22,30,135,53,50,25,0,0,0,0,0,0,0,0,7,61,0,0,0,53,0,0,0,0,8,0,0,0,323,3.51,23.49,59,409,
1400000US23005990000,,"Census Tract 9900, Cumberland County, Maine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1400000US23007970101,,"Census Tract 9701.01, Franklin County, Maine",10,0,3,0,4,0,0,0,13,0,6,52,49,4,0,0,3,3,0,0,0,19,9,6,5,84,0,0,4,6,3,6,0,0,33,19,7,6,43,11.45,84.55,82,221,
1400000US23007970102,,"Census Tract 9701.02, Franklin County, Maine",0,0,3,0,4,37,8,0,16,0,0,0,74,0,0,0,0,4,32,14,0,24,0,0,0,38,0,0,3,0,9,6,3,0,0,4,10,3,60.5,67.7,38.8,13,180,
