,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
434,1400000US24001000300,"Census Tract 3, Allegany County, Maryland",0,0,13,36,18,49,0,18,52,43,0,0,172,32,4,20,23,0,0,0,0,93,0,0,0,196,45,5,0,29,0,0,0,14,61,0,19,23,212.4,309.06,33.54,42,597,
454,1400000US24001000400,"Census Tract 4, Allegany County, Maryland",0,38,10,0,0,0,15,0,29,64,25,0,238,0,58,0,11,0,0,35,0,24,62,48,0,224,36,78,0,8,0,0,0,9,12,61,11,9,239,165.14,145.86,93,643,
435,1400000US24001000500,"Census Tract 5, Allegany County, Maryland",13,9,0,50,0,0,0,19,4,0,43,26,74,0,0,0,0,0,0,0,25,49,0,0,0,49,25,0,0,0,0,13,0,0,2,0,0,9,97,112,0,78,287,
453,1400000US24001000600,"Census Tract 6, Allegany County, Maryland",6,21,0,25,0,0,0,0,78,69,9,35,247,25,0,0,58,0,29,0,0,104,31,0,0,164,11,0,0,9,0,18,0,0,90,0,36,0,155,341,78,80,654,
445,1400000US24001000700,"Census Tract 7, Allegany County, Maryland",160,58,9,63,0,9,0,0,21,6,0,0,234,29,51,9,90,0,0,0,0,29,15,11,0,295,18,36,121,24,0,17,0,16,33,24,0,6,668,134.9,35.1,17,855,
446,1400000US24001000800,"Census Tract 8, Allegany County, Maryland",5,57,6,35,24,0,0,0,16,0,0,0,218,106,26,10,0,35,6,0,0,35,0,0,0,176,57,11,0,20,28,8,15,0,37,0,0,0,359.1,177.9,0,0,537,
674,1400000US24003701101,"Census Tract 7011.01, Anne Arundel County, Maryland",0,0,0,0,0,0,0,8,14,10,44,163,275,0,0,0,9,0,0,0,10,0,31,27,198,540,8,0,0,10,0,0,12,27,37,58,35,353,27,129.78,77.22,820,1054,
956,1400000US24003701102,"Census Tract 7011.02, Anne Arundel County, Maryland",69,0,0,0,13,0,15,58,104,91,54,251,487,0,76,0,0,38,0,15,17,0,117,51,173,284,0,0,42,0,0,0,24,0,58,66,52,42,202.3,386.98,213.72,623,1426,
728,1400000US24003701200,"Census Tract 7012, Anne Arundel County, Maryland",0,0,0,75,0,0,0,0,0,48,55,293,507,0,0,0,46,21,0,0,22,0,0,49,369,814,0,0,0,23,49,0,0,24,62,57,72,527,165,180.1,81.9,1365,1792,
704,1400000US24003701300,"Census Tract 7013, Anne Arundel County, Maryland",52,0,0,0,0,0,0,0,70,15,86,204,740,109,0,0,0,0,0,0,0,31,108,86,406,708,48,0,0,0,0,0,0,0,54,53,59,494,209,193.72,137.28,1335,1875,
1246,1400000US24003701400,"Census Tract 7014, Anne Arundel County, Maryland",0,0,29,9,0,12,0,0,0,8,0,156,221,0,14,0,0,0,12,0,0,10,0,15,170,515,0,35,23,0,0,0,0,0,26,178,56,197,110,100.92,145.08,594,950,
723,1400000US24003702100,"Census Tract 7021, Anne Arundel County, Maryland",43,82,0,0,0,0,0,0,18,28,64,307,590,9,16,52,0,0,0,0,27,39,0,7,440,276,0,0,0,0,0,0,0,13,91,0,0,172,202,194.16,21.84,990,1408,
1279,1400000US24003702204,"Census Tract 7022.04, Anne Arundel County, Maryland",0,0,0,0,23,0,0,0,24,52,62,201,321,0,0,0,0,0,12,0,0,0,48,85,176,366,0,0,0,9,0,12,0,0,16,0,11,318,15.9,102.1,78,853,1049,
1280,1400000US24003702205,"Census Tract 7022.05, Anne Arundel County, Maryland",0,0,49,0,0,0,0,0,115,176,52,131,559,0,0,0,0,0,0,10,0,42,119,104,284,239,0,0,0,0,0,0,0,0,0,0,25,214,49,231.9,230.1,810,1321,
1281,1400000US24003702206,"Census Tract 7022.06, Anne Arundel County, Maryland",0,0,0,0,0,0,14,0,49,350,14,208,515,0,0,0,0,0,0,0,0,48,251,97,119,641,0,0,0,0,23,0,0,0,64,115,96,343,6.9,348.62,558.48,877,1791,
1282,1400000US24003702208,"Census Tract 7022.08, Anne Arundel County, Maryland",0,0,0,27,19,0,0,0,0,290,335,154,658,0,21,0,0,0,0,0,0,41,183,180,233,567,14,0,23,0,0,0,0,0,37,73,138,282,90.7,211.42,425.88,1322,2050,
1283,1400000US24003702209,"Census Tract 7022.09, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,45,19,71,259,398,0,0,9,24,0,0,0,0,17,28,27,293,464,12,0,9,9,0,0,0,0,18,20,20,376,63,94.74,52.26,1046,1256,
945,1400000US24003702300,"Census Tract 7023, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,10,22,22,289,369,0,0,0,0,0,0,0,0,59,41,22,247,605,17,0,0,0,0,0,0,0,27,43,33,485,17,119.32,82.68,1098,1317,
724,1400000US24003702402,"Census Tract 7024.02, Anne Arundel County, Maryland",0,0,98,0,0,0,0,0,0,0,49,154,424,50,0,49,0,14,58,0,0,0,91,20,142,267,16,0,0,0,15,0,0,0,0,19,39,178,221.7,102.5,85.8,582,992,
722,1400000US24003702500,"Census Tract 7025, Anne Arundel County, Maryland",73,0,34,0,37,0,0,0,186,28,0,133,560,49,38,16,0,0,0,0,0,139,0,80,238,358,19,0,0,0,0,0,0,42,149,3,71,74,240.1,548.72,24.18,596,1409,
1248,1400000US24003702601,"Census Tract 7026.01, Anne Arundel County, Maryland",0,0,0,0,0,38,25,0,57,64,105,189,286,18,0,0,18,0,28,0,0,12,14,27,169,358,46,0,0,18,0,37,0,0,73,15,65,104,100,290.46,72.54,659,1122,
705,1400000US24003702602,"Census Tract 7026.02, Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,62,66,58,156,429,0,0,0,0,0,0,0,0,0,91,73,265,464,0,0,0,0,0,0,0,0,20,0,16,428,0,116.54,122.46,996,1235,
1284,1400000US24003702701,"Census Tract 7027.01, Anne Arundel County, Maryland",0,0,0,0,11,28,0,0,34,29,0,141,190,0,0,0,0,12,28,0,0,0,19,35,96,90,0,0,0,0,0,0,0,0,0,0,20,70,6.9,116.66,37.44,362,523,
1285,1400000US24003702702,"Census Tract 7027.02, Anne Arundel County, Maryland",0,0,0,0,0,4,0,0,0,0,28,99,367,0,0,0,0,0,0,0,0,34,5,27,301,279,0,0,0,0,0,0,0,0,68,0,8,203,0,107.1,3.9,666,777,
946,1400000US24003706101,"Census Tract 7061.01, Anne Arundel County, Maryland",20,0,0,0,0,84,0,0,11,0,9,86,54,16,0,0,0,8,30,0,0,0,0,0,0,147,88,0,10,0,0,29,0,0,0,0,0,20,136.4,159.6,0,115,411,
1286,1400000US24003706301,"Census Tract 7063.01, Anne Arundel County, Maryland",78,0,14,0,0,0,0,0,94,0,0,55,285,18,23,0,0,31,0,0,0,115,0,34,64,177,0,0,28,0,0,0,0,0,25,47,21,56,170.3,266.04,36.66,230,703,
1287,1400000US24003706302,"Census Tract 7063.02, Anne Arundel County, Maryland",0,0,0,0,9,0,0,0,0,0,4,24,56,0,0,0,0,0,45,0,0,0,0,11,0,68,0,0,0,0,0,0,0,0,0,0,0,68,2.7,51.3,0,107,161,
78,1400000US24003706401,"Census Tract 7064.01, Anne Arundel County, Maryland",86,81,0,0,332,0,0,0,139,0,47,245,588,15,0,0,0,168,0,0,0,227,50,27,101,522,26,0,0,0,224,0,25,0,45,77,21,104,425.2,970.74,99.06,545,2040,
79,1400000US24003706402,"Census Tract 7064.02, Anne Arundel County, Maryland",63,18,36,44,0,0,30,0,14,0,0,20,141,7,35,35,26,0,0,0,0,10,0,0,28,266,8,20,99,0,0,8,60,0,10,31,0,30,391,138.82,24.18,78,632,
953,1400000US24003706500,"Census Tract 7065, Anne Arundel County, Maryland",0,0,0,0,109,0,0,0,102,43,0,179,430,0,0,0,0,51,0,0,0,92,127,0,160,209,27,0,0,24,151,0,0,0,7,0,0,0,144.3,456.1,132.6,339,1072,
706,1400000US24003706600,"Census Tract 7066, Anne Arundel County, Maryland",34,0,0,0,0,0,9,49,62,11,23,243,542,33,57,0,41,0,20,0,0,9,33,60,289,335,0,53,0,0,14,0,19,0,15,21,10,203,222.2,207.1,50.7,828,1308,
