,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
144,1400000US32001950400,"Census Tract 9504, Churchill County, Nevada",0,0,0,0,66,16,0,22,36,10,0,7,56,0,0,0,0,9,0,0,0,15,32,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,41.5,78.05,90.45,7,217,
142,1400000US32001950500,"Census Tract 9505, Churchill County, Nevada",11,2,5,21,12,7,4,18,8,9,3,0,98,22,7,5,6,3,4,4,7,22,11,2,5,93,19,3,16,2,10,5,5,10,13,2,3,5,131.5,78.65,62.85,18,291,
176,1400000US32001950600,"Census Tract 9506, Churchill County, Nevada",0,0,0,0,0,0,0,0,16,142,132,29,516,180,0,0,24,0,0,0,0,48,191,49,24,320,21,0,0,0,0,0,37,18,57,72,37,78,225,61.05,519.95,349,1155,
641,1400000US32001950700,"Census Tract 9507, Churchill County, Nevada",24,0,0,0,0,148,0,0,29,25,22,92,571,26,0,0,0,0,135,47,0,177,14,72,100,404,36,0,0,0,0,52,11,0,120,94,0,91,86,409.3,442.7,377,1315,
318,1400000US32003000101,"Census Tract 1.01, Clark County, Nevada",0,0,0,17,77,34,11,80,52,7,0,42,766,84,16,8,116,92,91,14,67,169,87,22,0,710,74,44,27,30,121,30,14,57,192,95,10,16,561,563.65,581.35,90,1796,
486,1400000US32003000103,"Census Tract 1.03, Clark County, Nevada",82,119,68,10,60,99,0,0,121,26,38,56,426,96,0,48,60,53,28,24,19,44,43,0,11,573,48,0,79,124,21,121,23,31,68,47,0,11,801,423.65,337.35,116,1678,
351,1400000US32003000105,"Census Tract 1.05, Clark County, Nevada",0,0,9,15,0,0,45,0,26,61,16,0,693,0,0,14,416,32,57,0,0,63,98,13,0,199,0,0,0,0,17,57,0,0,88,14,0,23,478.5,192.35,341.15,52,1064,
642,1400000US32003000106,"Census Tract 1.06, Clark County, Nevada",63,0,0,88,112,0,18,0,0,19,0,0,200,30,0,33,0,53,0,16,0,68,0,0,0,324,81,0,55,15,126,0,15,12,20,0,0,0,510.5,210.9,102.6,0,824,
643,1400000US32003000107,"Census Tract 1.07, Clark County, Nevada",0,15,0,36,65,0,15,0,16,119,0,0,322,0,14,0,0,74,76,72,0,42,38,0,6,257,0,14,0,75,0,21,39,0,67,35,0,6,223.5,298.75,310.75,12,845,
644,1400000US32003000108,"Census Tract 1.08, Clark County, Nevada",85,0,0,115,0,0,0,92,43,54,0,0,300,39,0,68,26,0,0,62,60,16,29,0,0,364,46,0,46,26,54,59,0,32,38,63,0,0,478,336.85,238.15,0,1053,
