,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
321,1400000US32003001717,"Census Tract 17.17, Clark County, Nevada",0,0,0,0,0,0,0,0,4,0,0,7,33,0,0,0,0,0,0,0,0,0,0,19,14,72,7,0,14,0,0,0,0,0,18,0,14,19,21,1.1,20.9,73,116,
6,1400000US32003001718,"Census Tract 17.18, Clark County, Nevada",28,14,15,89,44,38,0,0,47,14,0,0,169,12,4,27,17,25,0,26,11,28,19,0,0,253,50,50,33,0,53,0,13,3,31,20,0,0,400,157.3,153.7,0,711,
335,1400000US32003001801,"Census Tract 18.01, Clark County, Nevada",131,0,0,93,177,0,0,45,83,50,0,37,405,51,17,33,38,84,40,0,62,0,65,0,15,313,91,0,0,15,0,38,0,0,83,68,0,18,599.5,323.8,340.7,70,1334,
164,1400000US32003001803,"Census Tract 18.03, Clark County, Nevada",0,0,30,0,61,12,0,0,109,10,0,11,192,0,0,134,15,27,0,0,0,16,0,0,0,210,0,0,0,0,65,0,35,0,71,0,29,10,255.5,133.3,196.2,50,635,
165,1400000US32003001804,"Census Tract 18.04, Clark County, Nevada",30,12,16,0,18,32,57,11,26,57,0,0,287,118,0,26,11,15,0,46,0,37,0,23,11,194,42,30,11,0,15,0,40,0,22,0,34,0,320,214.25,137.75,68,740,
231,1400000US32003001901,"Census Tract 19.01, Clark County, Nevada",71,0,29,60,5,90,0,0,13,138,20,41,368,54,18,30,32,108,0,30,0,12,84,0,0,275,38,75,0,29,81,34,18,0,0,0,0,0,533,270.25,245.75,61,1110,
180,1400000US32003001902,"Census Tract 19.02, Clark County, Nevada",7,24,0,19,47,28,0,0,51,10,19,0,283,0,24,27,39,15,0,0,0,95,83,0,0,435,0,12,36,0,63,20,0,0,198,90,0,16,250.5,127.7,509.8,35,923,
352,1400000US32003000201,"Census Tract 2.01, Clark County, Nevada",115,53,0,119,0,20,0,13,47,0,0,12,453,75,130,0,51,28,28,27,13,31,0,46,24,298,48,44,0,28,57,27,0,0,25,13,12,44,705.5,175.65,110.85,138,1130,
160,1400000US32003000203,"Census Tract 2.03, Clark County, Nevada",131,58,10,44,0,12,0,0,42,0,0,0,349,138,28,20,120,0,13,0,6,24,0,0,0,410,111,0,46,21,0,12,0,0,193,6,9,12,727,55.95,252.05,21,1056,
256,1400000US32003000204,"Census Tract 2.04, Clark County, Nevada",0,0,22,0,0,0,0,0,16,0,0,46,81,0,10,0,0,0,0,0,0,47,0,0,24,40,0,31,0,0,0,0,0,0,0,0,0,9,63,3.15,59.85,79,205,
510,1400000US32003002000,"Census Tract 20, Clark County, Nevada",80,0,0,0,0,0,0,4,0,0,0,20,259,60,74,0,88,0,0,0,0,0,0,0,37,34,0,0,0,19,0,0,0,0,15,0,0,0,321,4.75,14.25,57,397,
336,1400000US32003002201,"Census Tract 22.01, Clark County, Nevada",30,76,87,16,63,0,0,0,0,0,0,0,349,50,8,41,46,41,0,37,14,112,0,0,0,296,0,132,50,31,18,0,0,14,38,13,0,0,628,133.5,155.5,0,917,
337,1400000US32003002203,"Census Tract 22.03, Clark County, Nevada",87,21,60,80,60,20,34,0,12,0,0,0,617,180,22,19,109,89,39,54,21,65,0,0,19,514,57,39,0,98,200,0,28,26,32,3,11,20,946.5,401.95,106.55,50,1505,
182,1400000US32003002204,"Census Tract 22.04, Clark County, Nevada",301,63,0,30,84,10,19,0,15,19,0,0,715,190,164,89,100,21,10,0,40,85,16,0,0,443,55,137,51,85,8,9,42,14,28,0,0,14,1321.5,206.9,156.6,14,1699,
366,1400000US32003002206,"Census Tract 22.06, Clark County, Nevada",23,0,99,16,0,30,12,0,123,9,28,0,280,13,86,59,31,0,40,0,0,41,0,10,0,249,25,18,57,21,0,36,34,20,0,0,21,17,448,180.2,164.8,76,869,
387,1400000US32003002207,"Census Tract 22.07, Clark County, Nevada",46,96,83,27,36,100,0,17,0,0,0,0,640,18,79,118,109,110,85,0,105,16,0,0,0,415,104,21,80,42,71,47,0,13,28,7,0,2,931.5,477.7,48.8,2,1460,
388,1400000US32003002302,"Census Tract 23.02, Clark County, Nevada",0,0,0,0,0,0,0,0,0,10,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,47,0,0,0,0,0,0,7,47,10,0,64,
385,1400000US32003002303,"Census Tract 23.03, Clark County, Nevada",0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,6,0,0,0,4,6,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,11,23,
228,1400000US32003002403,"Census Tract 24.03, Clark County, Nevada",217,0,31,0,0,53,0,0,0,0,0,9,215,0,0,31,89,0,95,0,0,0,0,0,0,168,0,0,44,0,68,0,39,0,0,17,0,0,446,221,17,9,693,
338,1400000US32003002404,"Census Tract 24.04, Clark County, Nevada",337,112,145,60,61,0,0,10,21,16,0,0,627,275,111,112,0,15,90,0,0,24,0,0,0,190,103,0,21,14,35,0,0,0,17,0,0,0,1345.5,158.6,74.9,0,1579,
232,1400000US32003002405,"Census Tract 24.05, Clark County, Nevada",146,47,54,55,0,26,0,34,23,0,0,0,310,154,0,0,68,0,26,0,25,11,0,26,0,269,50,28,6,38,0,73,0,74,0,0,0,0,646,259.7,32.3,26,964,
267,1400000US32003002406,"Census Tract 24.06, Clark County, Nevada",0,0,49,0,0,0,0,0,0,0,0,0,87,11,0,10,0,0,0,37,0,29,0,0,0,229,58,0,67,0,0,0,62,0,14,28,0,0,195,101.15,68.85,0,365,
183,1400000US32003002501,"Census Tract 25.01, Clark County, Nevada",66,0,89,0,0,37,20,0,55,49,0,0,332,63,0,14,0,15,146,44,0,7,29,14,0,317,0,0,0,101,40,77,46,0,12,41,0,0,360.5,401.2,189.3,14,965,
230,1400000US32003002504,"Census Tract 25.04, Clark County, Nevada",32,0,40,20,0,49,0,13,96,65,0,0,196,0,0,21,11,0,0,0,11,40,55,35,23,121,44,0,20,0,0,0,0,0,22,0,35,0,188,80.9,270.1,93,632,
511,1400000US32003002505,"Census Tract 25.05, Clark County, Nevada",0,15,21,23,57,15,0,0,0,0,5,0,214,21,30,6,111,0,19,16,0,0,0,11,0,117,30,0,11,27,13,5,7,0,19,0,5,0,330,97.95,18.05,21,467,
186,1400000US32003002506,"Census Tract 25.06, Clark County, Nevada",54,0,120,84,45,0,0,23,90,0,0,0,323,25,0,53,70,11,24,0,0,119,0,0,21,158,0,0,79,19,35,12,0,0,13,0,0,0,549.5,115.6,210.9,21,897,
7,1400000US32003002603,"Census Tract 26.03, Clark County, Nevada",40,0,27,28,0,0,0,0,0,26,0,8,68,29,27,0,0,0,12,0,0,0,0,0,0,149,11,0,51,0,45,0,0,0,42,0,0,0,235.5,36.6,65.9,8,346,
389,1400000US32003002604,"Census Tract 26.04, Clark County, Nevada",0,8,3,5,7,0,0,0,17,39,0,0,74,0,35,2,4,7,0,0,0,0,26,0,0,94,37,0,22,1,0,10,0,0,0,24,0,0,124,17.85,105.15,0,247,
390,1400000US32003002605,"Census Tract 26.05, Clark County, Nevada",0,0,10,0,0,0,3,0,0,0,0,0,33,0,0,0,33,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,3,0,0,0,0,0,54,6,0,0,60,
339,1400000US32003002706,"Census Tract 27.06, Clark County, Nevada",37,15,69,0,21,13,0,0,0,0,0,0,405,64,25,93,19,38,26,0,34,84,22,0,0,341,57,36,59,0,63,0,0,24,82,20,0,0,535,166.3,199.7,0,901,
340,1400000US32003002707,"Census Tract 27.07, Clark County, Nevada",0,0,0,0,43,0,0,49,101,16,0,6,220,0,12,9,0,76,15,0,47,61,0,0,0,360,25,12,8,0,39,0,0,120,116,6,13,21,145,323.9,286.1,40,795,
539,1400000US32003002708,"Census Tract 27.08, Clark County, Nevada",104,0,85,38,61,10,0,0,24,0,10,0,250,67,0,34,22,0,51,0,0,68,0,8,0,247,65,0,88,23,8,18,0,9,36,0,0,0,560.5,128.9,121.6,18,829,
233,1400000US32003002808,"Census Tract 28.08, Clark County, Nevada",12,0,0,0,12,6,0,0,0,28,10,24,120,0,0,0,0,12,0,0,0,34,12,0,62,100,0,0,0,0,12,0,0,0,21,11,0,56,30,26.75,103.25,152,312,
341,1400000US32003002810,"Census Tract 28.10, Clark County, Nevada",25,0,45,81,9,0,0,40,27,0,0,0,208,17,8,25,15,0,28,0,36,28,0,8,43,316,25,7,0,54,27,94,0,28,81,0,0,0,320,250.8,129.2,51,751,
342,1400000US32003002811,"Census Tract 28.11, Clark County, Nevada",12,0,18,0,0,34,0,0,0,29,21,64,233,0,0,0,0,19,24,0,0,110,43,0,37,349,43,0,0,0,9,0,0,0,142,52,59,44,87,84.6,363.4,225,760,
187,1400000US32003002814,"Census Tract 28.14, Clark County, Nevada",28,0,0,0,0,13,14,0,12,0,22,108,516,68,0,17,0,17,0,0,0,130,136,67,81,416,16,0,17,16,27,0,0,0,46,48,71,175,184,58.4,362.6,524,1129,
540,1400000US32003002821,"Census Tract 28.21, Clark County, Nevada",26,15,0,0,0,0,0,0,53,23,0,13,435,0,0,14,0,0,0,0,0,346,0,0,75,160,0,0,25,0,0,60,0,0,59,0,0,16,80,82.9,458.1,104,725,
322,1400000US32003002822,"Census Tract 28.22, Clark County, Nevada",11,52,8,0,42,32,0,37,0,0,0,0,354,24,89,31,17,73,6,0,0,79,35,0,0,272,9,38,0,0,22,66,0,6,120,0,0,11,347.5,225.45,224.05,11,808,
323,1400000US32003002823,"Census Tract 28.23, Clark County, Nevada",0,0,91,9,50,18,0,0,52,0,0,0,177,0,0,63,0,0,0,0,0,64,0,40,10,203,0,0,20,0,9,9,0,0,117,12,36,0,212.5,68.15,233.35,86,600,
234,1400000US32003002824,"Census Tract 28.24, Clark County, Nevada",0,0,6,0,0,0,0,0,28,30,0,27,45,0,0,4,12,0,0,0,0,29,0,0,0,101,3,0,0,12,0,0,0,0,51,25,0,10,37,5.4,157.6,37,237,
320,1400000US32003002825,"Census Tract 28.25, Clark County, Nevada",32,7,0,19,0,0,0,0,21,153,0,26,206,134,6,18,17,0,0,0,0,25,6,0,0,151,17,0,0,27,0,0,0,0,17,44,46,0,277,3.15,262.85,72,615,
512,1400000US32003002826,"Census Tract 28.26, Clark County, Nevada",0,0,0,21,0,0,28,0,20,9,0,38,121,0,0,0,10,24,0,0,1,35,9,0,42,293,7,10,0,27,25,0,0,0,148,65,0,11,99.5,63.65,275.85,91,530,
268,1400000US32003002827,"Census Tract 28.27, Clark County, Nevada",11,0,11,0,62,0,0,15,83,3,61,22,121,0,0,0,32,29,0,0,3,37,11,0,9,165,0,0,23,34,0,0,0,0,68,14,0,26,156.5,72.9,206.6,118,554,
343,1400000US32003002828,"Census Tract 28.28, Clark County, Nevada",12,0,21,22,0,0,38,0,0,46,0,15,190,12,0,0,20,0,0,0,0,0,92,45,21,221,0,0,0,21,0,0,0,0,9,20,135,36,108,38.45,166.55,252,565,
541,1400000US32003002829,"Census Tract 28.29, Clark County, Nevada",0,0,0,0,0,0,8,0,51,18,0,44,241,0,0,10,29,7,0,19,0,104,26,25,21,259,0,0,28,22,0,0,0,0,61,26,84,38,92.5,41.3,275.2,212,621,
184,1400000US32003002830,"Census Tract 28.30, Clark County, Nevada",0,0,15,5,10,0,0,0,41,66,12,60,476,0,0,0,3,209,0,0,0,84,87,36,57,538,0,0,14,0,70,17,0,15,76,298,18,30,181.5,186.55,641.95,213,1223,
188,1400000US32003002831,"Census Tract 28.31, Clark County, Nevada",0,0,0,0,0,71,0,0,122,79,75,0,191,0,23,20,0,20,59,0,22,35,12,0,0,103,0,0,0,0,42,61,0,0,0,0,0,0,74,251.85,240.15,75,641,
189,1400000US32003002832,"Census Tract 28.32, Clark County, Nevada",0,0,0,56,63,0,0,0,33,0,62,0,397,12,0,53,47,121,0,62,2,84,0,16,0,432,0,0,47,95,63,66,0,2,21,55,27,56,433.5,262.4,186.1,161,1043,
324,1400000US32003002833,"Census Tract 28.33, Clark County, Nevada",10,0,15,10,0,0,0,31,18,108,8,96,292,12,0,9,22,0,0,0,0,121,39,18,71,445,33,0,0,9,26,11,0,21,58,88,47,152,133,85.85,422.15,392,1033,
190,1400000US32003002834,"Census Tract 28.34, Clark County, Nevada",0,0,0,0,0,0,0,0,139,54,0,103,629,0,0,0,0,0,0,0,0,446,72,18,93,178,0,0,32,0,0,0,0,19,56,9,11,51,32,51.05,743.95,276,1103,
344,1400000US32003002835,"Census Tract 28.35, Clark County, Nevada",10,0,23,0,40,0,0,0,85,23,27,0,152,0,0,0,0,66,8,0,0,18,48,0,12,193,0,0,11,0,48,9,0,0,61,15,0,49,121,102.2,241.8,88,553,
181,1400000US32003002836,"Census Tract 28.36, Clark County, Nevada",0,24,0,0,18,44,0,0,70,29,0,11,422,26,9,0,0,38,89,0,0,67,161,0,32,300,24,31,7,0,13,10,15,47,31,112,0,10,155.5,247.9,461.6,53,918,
391,1400000US32003002837,"Census Tract 28.37, Clark County, Nevada",41,0,0,0,0,0,99,0,90,0,49,149,233,73,0,0,0,0,0,0,0,0,0,76,84,511,0,0,0,38,0,0,193,0,0,0,62,218,152,296.5,85.5,638,1172,
392,1400000US32003002838,"Census Tract 28.38, Clark County, Nevada",3,0,0,0,73,31,0,0,58,165,2,141,236,3,0,0,0,0,16,0,0,30,81,50,56,255,51,0,0,0,53,0,0,0,42,45,0,64,120,116.5,414.5,313,964,
393,1400000US32003002841,"Census Tract 28.41, Clark County, Nevada",0,55,0,0,0,0,0,10,39,29,0,134,274,0,16,0,0,0,0,0,0,40,35,115,68,231,0,0,0,0,0,26,0,0,45,15,24,121,71,42.2,196.8,462,772,
394,1400000US32003002842,"Census Tract 28.42, Clark County, Nevada",0,22,0,18,134,57,31,0,63,63,49,81,593,0,0,62,0,118,71,44,30,56,53,94,65,569,23,50,0,0,14,66,36,92,115,59,70,44,308,571.7,397.3,403,1680,
395,1400000US32003002843,"Census Tract 28.43, Clark County, Nevada",0,0,88,65,89,14,55,137,174,108,47,73,983,52,0,0,154,0,35,0,127,134,158,153,170,825,64,0,0,42,0,21,0,51,85,297,62,203,509.5,504.15,936.35,708,2658,
396,1400000US32003002844,"Census Tract 28.44, Clark County, Nevada",0,0,23,59,23,19,0,29,181,61,0,48,435,0,0,0,0,0,0,0,57,100,165,0,113,315,17,0,19,0,52,25,0,55,48,99,0,0,155.5,238.95,637.55,161,1193,
397,1400000US32003002845,"Census Tract 28.45, Clark County, Nevada",49,0,67,93,63,42,0,34,0,21,73,11,279,52,0,39,29,46,31,0,22,0,33,8,19,436,74,0,11,0,52,0,0,19,147,77,33,23,494.5,235.85,270.65,167,1168,
398,1400000US32003002846,"Census Tract 28.46, Clark County, Nevada",0,0,89,0,0,27,39,154,19,55,313,0,384,0,0,118,0,10,17,46,53,62,0,64,14,516,33,0,0,34,17,18,46,75,86,17,0,190,287.5,496.85,230.65,581,1596,
399,1400000US32003002847,"Census Tract 28.47, Clark County, Nevada",53,124,90,4,148,0,0,0,52,18,18,0,271,0,70,39,4,0,55,0,31,26,24,0,22,240,26,0,66,6,0,0,0,76,38,0,0,28,556,241.8,152.2,68,1018,
400,1400000US32003002848,"Census Tract 28.48, Clark County, Nevada",4,0,0,33,0,0,0,33,45,0,45,0,133,0,0,0,27,27,0,0,0,18,19,20,22,260,27,0,0,0,27,15,0,0,35,145,0,11,118,79.9,257.1,98,553,
185,1400000US32003002905,"Census Tract 29.05, Clark County, Nevada",0,0,0,40,129,60,0,0,43,12,0,0,195,32,0,0,0,39,13,0,0,67,12,0,32,237,0,85,33,17,9,0,0,0,89,0,4,0,295.5,171.45,213.05,36,716,
211,1400000US32003002915,"Census Tract 29.15, Clark County, Nevada",21,42,0,0,0,0,0,4,29,0,10,19,207,19,68,0,0,0,0,0,4,10,0,55,51,161,0,22,0,20,0,63,0,0,9,0,22,25,192,73.4,45.6,182,493,
325,1400000US32003002916,"Census Tract 29.16, Clark County, Nevada",0,0,9,10,0,0,12,31,110,0,0,75,205,0,0,0,33,0,20,0,29,96,8,0,19,132,0,0,0,0,0,19,0,0,61,0,0,52,52,124.35,261.65,146,584,
542,1400000US32003002919,"Census Tract 29.19, Clark County, Nevada",0,14,82,0,0,31,0,29,72,0,0,0,386,0,91,128,12,0,31,0,0,80,33,11,0,396,0,51,28,0,44,45,0,0,69,92,0,67,428,169.05,334.95,78,1010,
543,1400000US32003002935,"Census Tract 29.35, Clark County, Nevada",0,0,0,0,18,0,0,0,0,0,45,15,144,0,0,0,0,50,0,0,12,0,67,3,12,130,4,0,0,32,22,14,0,11,0,5,0,42,81,82,72,117,352,
513,1400000US32003002936,"Census Tract 29.36, Clark County, Nevada",28,0,0,18,12,54,0,0,44,0,0,19,248,34,20,0,25,0,0,0,53,58,44,14,0,147,9,0,9,5,0,11,0,6,46,0,41,20,154,137.4,184.6,94,570,
191,1400000US32003002937,"Census Tract 29.37, Clark County, Nevada",112,58,13,24,59,64,11,12,175,0,8,0,565,45,47,6,26,169,33,0,26,176,0,28,9,313,49,47,9,0,87,0,0,0,65,56,0,0,593.5,324.3,451.2,45,1414,
326,1400000US32003002938,"Census Tract 29.38, Clark County, Nevada",0,0,0,0,52,0,0,0,0,12,0,17,105,0,0,0,0,0,0,0,18,0,8,65,14,109,6,0,0,0,16,0,0,6,10,54,0,17,40,58.5,83.5,113,295,
345,1400000US32003002939,"Census Tract 29.39, Clark County, Nevada",0,6,0,0,0,0,0,0,20,0,0,43,73,0,0,0,0,0,0,0,0,6,19,12,36,112,6,0,0,0,0,0,0,6,38,19,4,39,12,9.2,98.8,134,254,
327,1400000US32003002940,"Census Tract 29.40, Clark County, Nevada",21,0,11,0,28,0,0,0,53,39,20,6,269,0,34,11,0,10,0,0,29,80,70,35,0,338,0,98,0,0,14,0,0,8,78,104,36,0,201,73.55,413.45,97,785,
262,1400000US32003002941,"Census Tract 29.41, Clark County, Nevada",16,35,48,0,0,0,17,0,0,9,20,10,380,7,34,82,69,71,0,45,0,48,0,24,0,425,23,19,73,29,0,0,74,11,128,36,7,25,470.5,191.3,212.2,86,960,
235,1400000US32003002942,"Census Tract 29.42, Clark County, Nevada",0,0,33,0,47,0,59,13,73,14,0,33,212,0,34,0,0,30,8,17,23,12,38,50,0,324,46,48,34,0,52,0,0,80,20,30,0,14,259.5,269.75,181.75,97,808,
514,1400000US32003002944,"Census Tract 29.44, Clark County, Nevada",23,17,0,0,23,0,42,13,154,27,3,12,220,10,12,1,0,0,0,0,0,130,0,39,28,158,11,0,0,0,0,0,0,0,33,0,86,28,85.5,82.35,328.15,196,692,
236,1400000US32003002946,"Census Tract 29.46, Clark County, Nevada",6,0,0,0,0,9,6,0,3,24,0,6,76,8,10,0,0,27,0,0,0,22,9,0,0,92,6,0,5,0,7,5,0,10,26,29,0,4,52,49.55,110.45,10,222,
237,1400000US32003002947,"Census Tract 29.47, Clark County, Nevada",0,0,0,0,0,0,0,0,133,0,0,35,114,0,0,0,0,0,0,0,0,51,8,7,48,154,0,0,0,0,0,0,0,0,61,48,45,0,0,12.25,288.75,135,436,
192,1400000US32003002948,"Census Tract 29.48, Clark County, Nevada",45,21,38,42,9,19,15,58,26,69,0,35,309,14,11,16,70,9,9,62,35,48,35,0,0,349,7,0,76,88,10,0,32,18,48,70,0,0,442,268.1,289.9,35,1035,
544,1400000US32003002949,"Census Tract 29.49, Clark County, Nevada",0,0,11,0,0,0,0,38,0,0,0,0,230,0,0,10,0,88,96,0,0,0,20,0,16,214,47,0,10,0,43,56,0,0,40,18,0,0,143.5,257.5,76,16,493,
545,1400000US32003002950,"Census Tract 29.50, Clark County, Nevada",48,13,0,70,13,64,0,30,21,38,15,0,178,0,0,0,38,32,8,0,0,52,15,0,33,324,29,0,0,4,8,92,0,0,89,0,19,83,228.5,228.6,206.9,150,814,
238,1400000US32003002951,"Census Tract 29.51, Clark County, Nevada",62,0,18,23,0,0,0,0,84,21,104,0,642,0,313,52,115,18,0,0,12,42,41,12,37,445,61,98,82,0,0,21,0,12,42,48,29,52,833,62.4,269.6,234,1399,
328,1400000US32003002952,"Census Tract 29.52, Clark County, Nevada",6,0,0,0,0,0,50,0,51,9,0,10,86,0,0,0,10,11,0,45,0,0,8,0,12,69,0,0,0,0,0,0,0,33,33,0,0,3,21.5,137.7,96.8,25,281,
546,1400000US32003002953,"Census Tract 29.53, Clark County, Nevada",0,20,36,0,41,16,0,0,21,84,0,17,268,0,21,0,18,57,8,34,66,19,21,24,0,272,0,21,0,32,29,19,9,0,36,53,24,49,211.5,219.3,230.2,114,775,
212,1400000US32003002954,"Census Tract 29.54, Clark County, Nevada",98,83,0,74,7,0,34,0,30,32,0,0,241,46,45,13,33,0,0,27,15,62,0,0,0,259,91,0,13,24,0,0,27,51,53,0,0,0,523.5,164.75,169.75,0,858,
515,1400000US32003002956,"Census Tract 29.56, Clark County, Nevada",12,0,16,0,28,39,0,25,56,26,0,0,44,0,18,0,0,0,0,0,0,26,0,0,0,228,0,17,25,9,9,68,0,14,34,52,0,0,115.5,170.3,188.2,0,474,
348,1400000US32003002957,"Census Tract 29.57, Clark County, Nevada",0,8,0,0,12,0,0,0,0,0,30,18,79,0,9,0,0,36,0,0,0,0,34,0,0,60,0,0,0,0,0,0,0,0,0,45,0,15,41,24,79,63,207,
193,1400000US32003002958,"Census Tract 29.58, Clark County, Nevada",0,0,46,38,0,38,11,0,71,23,45,28,348,40,0,26,40,28,80,0,0,35,36,63,0,360,0,0,13,84,13,78,39,0,47,52,20,14,307.5,274.15,256.35,170,1008,
269,1400000US32003002961,"Census Tract 29.61, Clark County, Nevada",0,24,0,22,12,0,0,0,40,20,0,62,139,6,0,0,0,0,0,0,0,23,26,10,74,89,0,0,0,0,0,0,0,0,15,24,15,35,58,9.9,144.1,196,408,
194,1400000US32003002962,"Census Tract 29.62, Clark County, Nevada",0,0,11,0,6,18,0,0,0,41,0,14,69,0,0,0,0,26,0,0,0,0,32,0,11,99,0,0,0,5,29,0,0,0,6,20,17,22,46.5,48.8,98.7,64,258,
401,1400000US32003002964,"Census Tract 29.64, Clark County, Nevada",0,38,79,20,0,36,0,69,34,39,0,0,313,0,67,22,20,97,49,0,28,30,0,0,0,395,19,54,21,26,47,6,0,28,144,50,0,0,438,298.4,286.6,0,1023,
402,1400000US32003002965,"Census Tract 29.65, Clark County, Nevada",41,16,28,47,45,25,0,0,28,0,0,0,305,35,31,44,10,55,76,0,0,35,0,19,0,157,0,0,5,55,17,31,0,0,49,0,0,0,370.5,196.1,106.4,19,692,
403,1400000US32003002966,"Census Tract 29.66, Clark County, Nevada",32,85,15,64,205,72,46,0,76,25,0,0,367,61,39,13,87,89,0,23,0,55,0,0,0,346,61,36,0,121,108,0,0,0,20,0,0,0,815,349.55,168.45,0,1333,
404,1400000US32003002967,"Census Tract 29.67, Clark County, Nevada",13,0,17,0,0,37,13,0,109,10,14,0,281,12,0,0,0,0,18,17,0,175,59,0,0,167,0,0,0,0,0,14,18,0,114,21,0,0,42,136.9,468.1,14,661,
405,1400000US32003002968,"Census Tract 29.68, Clark County, Nevada",0,15,0,72,10,0,0,0,38,0,12,17,252,0,0,17,64,41,0,0,16,27,38,21,28,98,0,0,0,22,18,0,0,0,24,1,14,19,224.5,54.95,123.55,111,514,
406,1400000US32003002969,"Census Tract 29.69, Clark County, Nevada",16,20,0,35,21,11,18,29,8,11,0,4,124,16,23,0,13,0,0,8,0,32,23,0,9,129,0,5,0,16,21,0,6,0,27,52,0,2,165,96.35,149.65,15,426,
407,1400000US32003002970,"Census Tract 29.70, Clark County, Nevada",0,0,26,27,55,21,0,0,29,57,0,17,144,26,0,26,0,0,0,11,0,53,28,0,0,147,0,0,0,0,29,0,0,0,41,50,27,0,147,80.15,251.85,44,523,
408,1400000US32003002974,"Census Tract 29.74, Clark County, Nevada",0,0,0,0,44,0,0,0,182,163,19,34,267,0,0,0,0,0,0,0,30,93,107,0,37,437,14,0,0,0,0,15,0,0,237,62,16,93,36,92.6,818.4,199,1146,
409,1400000US32003002975,"Census Tract 29.75, Clark County, Nevada",10,0,23,12,26,76,0,0,84,49,0,16,424,9,40,26,103,33,37,0,0,127,17,0,32,474,0,40,45,45,64,48,0,41,60,33,37,61,414.5,277.05,356.45,146,1194,
410,1400000US32003002976,"Census Tract 29.76, Clark County, Nevada",41,0,0,12,0,16,14,0,106,46,14,72,364,99,27,0,11,52,22,17,16,26,17,33,44,512,139,27,0,0,67,17,0,0,121,58,55,28,415.5,174.15,361.35,246,1197,
411,1400000US32003002977,"Census Tract 29.77, Clark County, Nevada",0,0,0,11,79,5,0,0,16,90,10,162,358,0,0,0,0,80,77,0,6,0,66,37,92,213,0,0,0,0,25,0,0,13,57,0,53,65,103,196.65,225.35,419,944,
412,1400000US32003002978,"Census Tract 29.78, Clark County, Nevada",0,16,0,0,0,0,0,0,121,117,131,80,406,0,8,0,10,0,0,0,0,84,111,49,144,230,0,0,0,16,0,8,0,0,0,71,54,81,50,18.25,493.75,539,1101,
413,1400000US32003002979,"Census Tract 29.79, Clark County, Nevada",0,0,38,0,11,0,0,0,34,42,0,42,153,0,0,0,0,11,23,0,0,34,12,21,52,182,0,0,34,0,0,23,0,27,24,14,21,39,83,88.6,155.4,175,502,
414,1400000US32003002980,"Census Tract 29.80, Clark County, Nevada",0,0,39,20,0,45,19,130,192,92,56,0,794,23,0,0,116,0,0,30,59,304,87,113,62,400,61,0,0,46,41,0,13,60,168,11,0,0,325.5,409.7,820.8,231,1787,
415,1400000US32003002981,"Census Tract 29.81, Clark County, Nevada",11,0,0,0,12,16,0,165,19,54,40,56,422,70,0,46,0,0,0,0,39,23,133,111,0,190,30,9,22,0,31,10,0,0,43,29,0,16,209.5,255.75,296.75,223,985,
