id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US04003001000,,"Census Tract 10, Cochise County, Arizona",0,0,0,0,0,15,12,26,0,0,12,0,114,0,13,0,0,22,0,13,0,0,14,23,29,30,0,0,14,16,0,0,0,0,0,0,0,0,54,77,14,64,209,
1400000US04003001100,,"Census Tract 11, Cochise County, Arizona",0,0,0,17,34,0,5,0,31,12,0,0,372,41,20,7,39,54,31,54,24,72,30,0,0,163,24,19,6,19,8,35,2,0,40,10,0,0,247,206.15,187.85,0,641,
1400000US04003001200,,"Census Tract 12, Cochise County, Arizona",3,80,18,0,12,0,0,0,0,24,0,0,160,31,10,3,0,6,0,0,0,8,33,69,0,315,5,119,8,26,5,2,0,34,63,27,26,0,332.5,51.05,151.45,95,630,
1400000US04003001300,,"Census Tract 13, Cochise County, Arizona",13,58,18,33,32,4,0,61,59,49,8,0,484,38,79,25,11,12,0,0,51,171,81,14,2,314,8,38,53,8,49,31,0,3,69,40,15,0,458.5,211.45,454.05,39,1163,
1400000US04003001401,,"Census Tract 14.01, Cochise County, Arizona",86,5,52,34,25,40,98,0,137,46,0,13,351,7,10,7,27,18,5,69,0,73,28,35,72,102,14,5,0,0,4,0,0,0,15,5,6,53,243.5,246.75,292.75,179,962,
1400000US04003001402,,"Census Tract 14.02, Cochise County, Arizona",0,0,0,0,33,0,0,0,91,80,23,22,93,0,0,0,0,3,0,0,0,37,35,0,18,113,0,0,0,0,0,0,0,0,30,0,0,83,18,25.9,265.1,146,455,
1400000US04003001501,,"Census Tract 15.01, Cochise County, Arizona",31,9,0,0,23,1,0,0,89,11,9,10,134,34,0,0,0,0,22,0,0,42,24,3,9,198,43,0,0,0,0,20,0,0,66,0,51,18,97.5,64.35,222.15,100,484,
1400000US04003001502,,"Census Tract 15.02, Cochise County, Arizona",60,0,57,50,37,50,0,0,27,0,0,34,523,18,42,78,80,85,138,0,13,32,37,0,0,168,40,12,0,3,9,37,0,12,13,7,0,35,580.5,319.1,112.4,69,1081,
1400000US04003001601,,"Census Tract 16.01, Cochise County, Arizona",0,199,65,0,44,65,61,0,37,9,35,50,404,0,95,23,0,13,77,0,44,96,41,15,0,534,33,0,38,0,138,16,18,79,91,67,9,45,638.5,468.7,329.8,154,1591,
1400000US04003001602,,"Census Tract 16.02, Cochise County, Arizona",45,59,0,0,0,33,0,0,69,0,0,0,133,0,30,0,9,0,0,0,0,34,32,28,0,231,30,13,11,57,0,0,0,0,80,0,0,40,209,42.15,205.85,68,525,
